"Player";"Team";"Match";"Competition";"Position";"Position Group";"Minutes Played";"Birthdate";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Yevgeniy Shevchenko";"Veres Rivne";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"LB";"Full Back";"95.58";"1995-12-02";"9984.0";"1495.3";"647.8";"221.3";"869.1";"54.6";"8.5";"63.1";"97.9";"7.5";"73.4";"15.1";"27.90"
"Roman  Didyk";"FC Rukh Lviv";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"LCB";"Central Defender";"95.58";"2002-12-02";"8947.3";"1121.5";"288.1";"137.5";"425.6";"27.3";"9.4";"36.7";"79.1";"4.7";"59.3";"9.4";"28.60"
"Vladyslav  Sharay";"Veres Rivne";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"LW";"Wide Attacker";"83.83";"1997-05-25";"9915.8";"1587.9";"562.6";"256.6";"819.2";"51.5";"10.7";"62.3";"80.5";"5.4";"71.9";"19.3";"30.40"
"Stanislav Sharay";"Veres Rivne";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"RM";"Midfield";"63.73";"1997-05-25";"10874.0";"1669.2";"744.2";"255.6";"999.8";"49.4";"9.9";"59.3";"94.6";"0.0";"76.3";"0.0";"29.30"
"Vitaliy Roman";"FC Rukh Lviv";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"LB";"Full Back";"75.00";"2003-04-15";"9922.8";"1381.2";"625.2";"274.8";"900.0";"44.4";"13.2";"57.6";"92.4";"6.0";"73.2";"21.6";"28.30"
"Yuriy Klymchuk";"FC Rukh Lviv";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"CF";"Center Forward";"75.00";"1997-05-05";"9441.6";"1231.2";"622.8";"285.6";"908.4";"55.2";"15.6";"70.8";"90.0";"12.0";"75.6";"16.8";"30.90"
"Valeriy Kucherov";"Veres Rivne";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"DM";"Midfield";"95.58";"1993-08-11";"10283.4";"1707.2";"577.2";"105.5";"682.7";"49.0";"8.5";"57.4";"88.5";"3.8";"84.7";"15.1";"26.30"
"Mykola Gayduchyk";"Veres Rivne";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"CF";"Center Forward";"63.73";"1999-12-30";"10083.2";"1430.6";"723.1";"201.9";"925.0";"60.7";"12.7";"73.4";"90.4";"5.6";"74.8";"22.6";"28.40"
"Yevgeniy Pastukh";"FC Rukh Lviv";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"RM";"Midfield";"95.58";"2004-03-19";"10910.5";"2096.0";"797.6";"194.0";"991.5";"65.0";"7.5";"72.5";"95.1";"1.9";"72.5";"16.0";"28.70"
"Dmytro Klyots";"Veres Rivne";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"LM";"Midfield";"63.73";"1996-04-15";"10679.1";"1881.1";"439.2";"107.3";"546.5";"45.2";"5.6";"50.8";"90.4";"0.0";"72.0";"11.3";"28.40"
"Oleksiy Sych";"FC Rukh Lviv";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"RB";"Full Back";"95.58";"2001-04-01";"10085.7";"1525.4";"753.3";"409.6";"1162.9";"59.3";"16.9";"76.3";"95.1";"10.4";"74.4";"16.9";"32.60"
"Bogdan Slyubyk";"FC Rukh Lviv";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"RCB";"Central Defender";"95.58";"2004-02-11";"9355.9";"1133.7";"435.0";"251.4";"686.4";"35.8";"10.4";"46.1";"77.2";"3.8";"52.7";"8.5";"32.60"
"Oleksandr Kucherenko";"Veres Rivne";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"LCB";"Central Defender";"95.58";"1991-10-01";"9403.0";"1302.3";"482.1";"84.7";"566.9";"39.5";"3.8";"43.3";"80.0";"4.7";"62.1";"9.4";"26.00"
"Marko Sapuga";"FC Rukh Lviv";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"LM";"Midfield";"95.58";"2003-05-29";"10673.3";"1938.8";"729.8";"217.5";"947.3";"55.6";"11.3";"66.9";"88.5";"7.5";"76.3";"13.2";"29.40"
"Denys Balan";"Veres Rivne";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"RB";"Full Back";"95.58";"1993-08-18";"10106.4";"1615.8";"639.4";"197.7";"837.1";"49.9";"10.4";"60.3";"98.9";"8.5";"83.8";"16.0";"28.70"
"Vasyl Runich";"FC Rukh Lviv";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"LW";"Wide Attacker";"75.00";"2000-01-31";"10843.2";"1755.6";"1002.0";"314.4";"1316.4";"78.0";"16.8";"94.8";"92.4";"3.6";"85.2";"21.6";"28.00"
"Vasyl Kurko";"Veres Rivne";"Veres Rivne v FC Rukh Lviv";"UKR - Premier League";"RCB";"Central Defender";"95.58";"1995-04-25";"9458.6";"1258.0";"395.5";"133.7";"529.2";"32.0";"7.5";"39.5";"75.3";"1.9";"64.0";"8.5";"28.60"
"Volodymyr Shepelev";"FC Dynamo Kyiv";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"RW";"Wide Attacker";"68.45";"1997-06-01";"11229.9";"1697.4";"809.9";"385.2";"1195.2";"65.7";"18.4";"84.1";"90.7";"2.6";"82.8";"23.7";"30.10"
"Oleksandr Andrievskyi";"FC Dynamo Kyiv";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"LDM";"Midfield";"68.45";"1994-06-25";"11949.2";"2289.1";"671.9";"57.9";"729.7";"59.2";"1.3";"60.5";"105.2";"6.6";"92.0";"13.1";"25.00"
"Vitaliy Buyalskyi";"FC Dynamo Kyiv";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"AM";"Midfield";"99.22";"1993-01-06";"10321.6";"1480.3";"424.5";"71.7";"496.2";"37.2";"5.4";"42.6";"81.6";"3.6";"78.9";"12.7";"26.40"
"Eduard Sarapiy";"Sportyvny Klub Dnipro-1";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"LCB";"Central Defender";"99.22";"1999-05-12";"9285.7";"958.8";"303.0";"104.3";"407.3";"21.8";"3.6";"25.4";"76.2";"4.5";"74.4";"10.0";"28.10"
"Valentin Rubchynskyi";"Sportyvny Klub Dnipro-1";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"LM";"Midfield";"99.22";"2002-02-15";"11248.6";"1893.1";"631.3";"131.5";"762.9";"50.8";"7.3";"58.1";"103.4";"3.6";"91.6";"15.4";"27.30"
"Vasyl Kravets";"Sportyvny Klub Dnipro-1";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"LB";"Full Back";"80.90";"1997-08-20";"10037.9";"1392.8";"565.1";"165.8";"730.9";"44.5";"8.9";"53.4";"102.3";"4.4";"77.9";"15.6";"30.00"
"Ruslan Babenko";"Sportyvny Klub Dnipro-1";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"DM";"Midfield";"99.22";"1992-07-08";"11459.1";"1991.0";"571.5";"108.8";"680.3";"48.1";"5.4";"53.5";"107.0";"3.6";"100.7";"13.6";"26.20"
"Oleksandr Filippov";"Sportyvny Klub Dnipro-1";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"CF";"Center Forward";"69.14";"1992-10-23";"10897.9";"1843.2";"626.1";"140.6";"766.7";"61.2";"7.8";"69.0";"97.6";"10.4";"79.4";"24.7";"28.80"
"Oleksandr Svatok";"Sportyvny Klub Dnipro-1";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"RCB";"Central Defender";"99.22";"1994-09-27";"9435.4";"1201.0";"420.9";"140.6";"561.5";"34.5";"9.1";"43.5";"87.1";"4.5";"76.2";"17.2";"29.70"
"Bogdan Lednev";"Sportyvny Klub Dnipro-1";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"LW";"Wide Attacker";"99.22";"1998-04-07";"10521.2";"1576.5";"612.3";"297.5";"909.8";"49.9";"18.1";"68.0";"94.3";"8.2";"70.8";"17.2";"29.00"
"Oleksandr Tymchyk";"FC Dynamo Kyiv";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"RB";"Full Back";"99.22";"1997-01-20";"11249.5";"1937.5";"794.6";"421.8";"1216.4";"64.4";"19.0";"83.5";"98.0";"8.2";"99.8";"20.9";"30.70"
"Oleksiy Gutsulyak";"Sportyvny Klub Dnipro-1";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"RW";"Wide Attacker";"64.94";"1997-12-25";"10017.2";"1399.8";"687.4";"221.7";"909.1";"65.1";"13.9";"79.0";"94.2";"9.7";"91.5";"31.9";"29.00"
"Volodymyr Adamyuk";"Sportyvny Klub Dnipro-1";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"RB";"Full Back";"99.22";"1991-07-17";"9570.6";"1359.7";"525.2";"53.5";"578.7";"48.1";"4.5";"52.6";"91.6";"8.2";"91.6";"14.5";"25.60"
"Nazar Voloshyn";"FC Dynamo Kyiv";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"LW";"Wide Attacker";"68.45";"2003-06-17";"10593.6";"1580.4";"798.1";"428.6";"1226.7";"68.4";"22.4";"90.7";"96.0";"14.5";"92.0";"22.4";"29.60"
"Volodymyr Brazhko";"FC Dynamo Kyiv";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"RDM";"Midfield";"99.22";"2002-01-23";"11144.3";"1902.1";"487.1";"62.6";"549.7";"41.7";"2.7";"44.4";"107.0";"1.8";"89.8";"13.6";"25.90"
"Vladyslav Vanat";"FC Dynamo Kyiv";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"CF";"Center Forward";"85.49";"2002-01-04";"10378.1";"1393.8";"691.7";"365.3";"1057.0";"59.0";"17.9";"76.9";"95.8";"9.5";"72.6";"16.8";"30.30"
"Oleksandr Pikhalyonok";"Sportyvny Klub Dnipro-1";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"RM";"Midfield";"99.22";"1997-05-07";"11396.5";"1927.5";"583.2";"50.8";"634.0";"49.9";"1.8";"51.7";"88.0";"4.5";"83.5";"6.3";"24.60"
"Oleksandr Syrota";"FC Dynamo Kyiv";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"LCB";"Central Defender";"99.22";"2000-06-11";"10165.6";"1546.6";"420.9";"102.5";"523.4";"37.2";"3.6";"40.8";"84.4";"2.7";"67.1";"10.9";"28.90"
"Denys Popov";"FC Dynamo Kyiv";"FC Dynamo Kyiv v Sportyvny Klub Dnipro-1";"UKR - Premier League";"RCB";"Central Defender";"99.22";"1999-02-17";"9910.7";"1518.4";"324.7";"98.0";"422.7";"26.3";"7.3";"33.6";"88.0";"4.5";"68.9";"8.2";"28.00"
"Vladyslav Dmytrenko";"FC Metalist 1925 Kharkiv";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"LW";"Wide Attacker";"60.79";"2000-05-24";"9869.1";"1492.4";"891.3";"411.6";"1302.8";"53.3";"17.8";"71.1";"94.8";"8.9";"82.9";"23.7";"30.50"
"Beka Vachiberadze";"FC Metalist 1925 Kharkiv";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"RM";"Midfield";"96.77";"1996-03-05";"10185.8";"1555.0";"711.5";"192.5";"904.0";"55.8";"9.3";"65.1";"83.7";"6.5";"72.5";"17.7";"27.90"
"Rostyslav Rusyn";"FC Metalist 1925 Kharkiv";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"RW";"Wide Attacker";"81.24";"1995-10-26";"9519.6";"1110.0";"446.5";"216.0";"662.5";"36.6";"8.9";"45.4";"82.0";"4.4";"69.8";"14.4";"28.50"
"Yaroslav Martynyuk";"FC Metalist 1925 Kharkiv";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"LM";"Midfield";"60.79";"1989-02-20";"10801.8";"1760.3";"771.3";"143.6";"915.0";"57.7";"7.4";"65.1";"99.2";"4.4";"79.9";"16.3";"26.10"
"Oleg Kozhushko";"FK Kryvbas Kryvyi Rih";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"CF";"Center Forward";"85.34";"1998-02-17";"10135.8";"1339.3";"622.2";"425.0";"1047.2";"48.5";"20.0";"68.5";"96.0";"8.4";"79.1";"20.0";"30.40"
"Mykyta Tatarkov";"FK Kryvbas Kryvyi Rih";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"LM";"Midfield";"93.45";"1995-01-04";"10592.9";"1649.8";"648.2";"286.0";"934.2";"47.2";"8.7";"55.9";"89.6";"2.9";"76.1";"18.3";"28.70"
"Andriy Ponedelnik";"FK Kryvbas Kryvyi Rih";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"RB";"Full Back";"96.77";"1997-02-28";"10268.6";"1460.2";"693.8";"360.9";"1054.7";"56.7";"14.9";"71.6";"91.1";"0.0";"81.8";"14.9";"30.80"
"Roman Debelko";"FK Kryvbas Kryvyi Rih";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"RM";"Midfield";"96.77";"1993-08-08";"11065.6";"1968.0";"742.2";"191.6";"933.8";"51.2";"10.2";"61.4";"92.1";"6.5";"78.1";"14.9";"26.70"
"Danylo Beskorovaynyi";"FK Kryvbas Kryvyi Rih";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"RCB";"Central Defender";"96.77";"1999-02-07";"9146.0";"1159.8";"290.2";"98.6";"388.8";"23.3";"1.9";"25.1";"80.9";"2.8";"63.2";"10.2";"25.90"
"Andriy Boryachuk";"FC Metalist 1925 Kharkiv";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"CF";"Center Forward";"60.79";"1996-04-23";"9639.6";"1348.7";"424.9";"208.8";"633.7";"51.8";"11.8";"63.7";"97.7";"10.4";"77.0";"25.2";"30.40"
"Junior Yvan Nyabeye Dibango";"FK Kryvbas Kryvyi Rih";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"LB";"Full Back";"96.77";"2002-03-10";"10409.9";"1502.9";"819.4";"485.5";"1304.8";"58.6";"26.0";"84.6";"94.9";"7.4";"80.9";"16.7";"31.10"
"Maryan Faryna";"FC Metalist 1925 Kharkiv";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"LB";"Full Back";"81.24";"2003-08-28";"10398.1";"1547.6";"597.1";"236.0";"833.1";"47.6";"8.9";"56.5";"95.3";"8.9";"76.4";"16.6";"28.80"
"Mykyta Bezuglyi";"FC Metalist 1925 Kharkiv";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"LCB";"Central Defender";"96.77";"1995-08-01";"9583.1";"1278.8";"476.2";"210.2";"686.4";"37.2";"7.4";"44.6";"81.8";"3.7";"68.8";"14.9";"29.50"
"Maksym Zaderaka";"FK Kryvbas Kryvyi Rih";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"LW";"Wide Attacker";"93.45";"1994-09-07";"10351.2";"1523.6";"688.6";"251.4";"940.0";"54.9";"12.5";"67.4";"86.7";"3.9";"74.2";"19.3";"29.60"
"Tymur  Stetskov";"FK Kryvbas Kryvyi Rih";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"LCB";"Central Defender";"96.77";"1998-01-27";"9474.3";"1268.6";"482.7";"208.3";"691.0";"38.1";"10.2";"48.4";"85.6";"9.3";"68.8";"14.9";"29.50"
"Artem Gabelok";"FC Metalist 1925 Kharkiv";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"DM";"Midfield";"96.77";"1995-01-02";"10558.7";"1704.8";"420.4";"143.2";"563.6";"35.3";"4.7";"40.0";"93.9";"0.0";"78.1";"13.0";"26.60"
"Maksym Zhychykov";"FC Metalist 1925 Kharkiv";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"RB";"Full Back";"96.77";"1992-11-07";"9692.9";"1374.6";"708.7";"352.5";"1061.2";"42.8";"14.9";"57.7";"88.4";"4.7";"80.9";"14.9";"31.10"
"Yevgeniy  Tkachuk";"FC Metalist 1925 Kharkiv";"FC Metalist 1925 Kharkiv v FK Kryvbas Kryvyi Rih";"UKR - Premier League";"RCB";"Central Defender";"96.77";"1991-06-27";"9076.3";"1094.7";"438.0";"173.9";"612.0";"38.1";"5.6";"43.7";"81.8";"2.8";"66.0";"10.2";"28.30"
"Ilya  Putrya";"FC Chernomorets Odessa";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"RB";"Full Back";"94.46";"1998-05-15";"10358.7";"1235.8";"586.9";"292.5";"879.4";"46.7";"11.4";"58.1";"73.4";"9.5";"68.6";"16.2";"29.40"
