"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Antoine Bernede";"Servette FC v FC Lausanne-Sports";"RM";"98.30";"10437.4";"1613.2";"563.1";"110.8";"673.9";"50.4";"7.3";"57.7";"96.1";"6.4";"90.6";"15.6";"27.50"
"Antoine Bernede";"Lugano v FC Lausanne-Sports";"LM";"90.43";"11536.9";"2213.4";"708.6";"180.1";"888.8";"58.7";"10.0";"68.7";"84.6";"8.0";"81.6";"16.9";"27.10"
"Antoine Bernede";"FC Stade Lausanne-Ouchy v FC Lausanne-Sports";"LM";"99.52";"10067.1";"1796.0";"672.8";"195.3";"868.2";"59.7";"7.2";"66.9";"99.5";"7.2";"81.4";"17.2";"30.70"
"Antoine Bernede";"FC Lausanne-Sports v FC Luzern";"LM";"102.32";"10407.3";"1881.5";"581.4";"213.7";"795.2";"44.0";"7.0";"51.0";"84.4";"7.9";"74.8";"12.3";"29.30"
"Antoine Bernede";"FC St. Gallen v FC Lausanne-Sports";"RM";"90.78";"10348.3";"1878.7";"671.2";"44.6";"715.8";"50.6";"2.0";"52.5";"95.2";"4.0";"70.4";"13.9";"25.00"
"Antoine Bernede";"FC Lausanne-Sports v FC Winterthur";"RM";"95.11";"10839.6";"1766.7";"478.8";"279.2";"758.0";"45.4";"11.4";"56.8";"80.4";"5.7";"75.7";"12.3";"29.90"
"Antoine Bernede";"FC Lausanne-Sports v FC Basel";"LM";"104.62";"10108.9";"1814.3";"688.2";"147.1";"835.3";"67.1";"7.7";"74.8";"86.9";"7.7";"74.8";"18.1";"28.80"
"Antoine Bernede";"FC Basel v FC Lausanne-Sports";"RM";"100.62";"10057.2";"1637.7";"461.5";"65.3";"526.8";"42.9";"2.7";"45.6";"81.4";"4.5";"70.7";"16.1";"25.90"
"Antoine Bernede";"FC Lausanne-Sports v Yverdon Sport FC";"RM";"97.75";"10375.5";"1761.3";"569.9";"111.4";"681.3";"53.4";"6.4";"59.8";"83.8";"5.5";"77.3";"12.9";"27.00"
"Antoine Bernede";"FC Lausanne-Sports v Grasshopper Club Zürich";"RM";"94.32";"11145.0";"2058.2";"554.4";"152.7";"707.1";"45.8";"6.7";"52.5";"88.7";"7.6";"93.5";"13.4";"27.10"
"Antoine Bernede";"BSC Young Boys v FC Lausanne-Sports";"RM";"100.22";"10787.1";"1902.9";"546.9";"103.3";"650.2";"53.0";"7.2";"60.2";"79.0";"5.4";"85.3";"15.3";"26.30"
"Antoine Bernede";"FC Lausanne-Sports v Lugano";"LM";"99.83";"10688.6";"1978.9";"781.6";"204.6";"986.3";"62.2";"10.8";"73.0";"106.4";"8.1";"73.9";"24.3";"29.20"
"Antoine Bernede";"Yverdon Sport FC v FC Lausanne-Sports";"LM";"100.05";"10337.6";"1890.0";"761.9";"152.9";"914.8";"57.6";"9.9";"67.5";"73.8";"5.4";"72.0";"18.0";"27.10"
"Antoine Bernede";"FC Lausanne-Sports v FC Zürich";"LM";"91.48";"11525.5";"2209.7";"664.1";"124.9";"789.0";"54.1";"5.9";"60.0";"96.4";"10.8";"88.5";"14.8";"26.40"
"Antoine Bernede";"FC Lausanne-Sports v FC Stade Lausanne-Ouchy";"LM";"98.22";"10465.2";"1877.5";"572.7";"76.1";"648.7";"45.8";"5.5";"51.3";"91.6";"10.1";"88.0";"21.1";"26.00"
"Antoine Bernede";"Grasshopper Club Zürich v FC Lausanne-Sports";"LM";"70.08";"10406.3";"1670.8";"685.8";"105.3";"791.1";"43.7";"5.1";"48.8";"109.2";"11.6";"91.2";"12.8";"27.30"
"Antoine Bernede";"FC Lausanne-Sports v Servette FC";"LM";"106.45";"9999.3";"1649.5";"591.8";"227.4";"819.3";"44.8";"8.5";"53.3";"91.3";"5.9";"73.6";"17.8";"30.20"
"Antoine Bernede";"FC Winterthur v FC Lausanne-Sports";"LM";"95.80";"10621.5";"1772.8";"525.2";"163.5";"688.6";"49.8";"6.6";"56.4";"108.0";"5.6";"98.6";"15.0";"29.10"
"Antoine Bernede";"FC Lausanne-Sports v FC St. Gallen";"LM";"97.10";"11228.2";"2447.9";"647.9";"52.8";"700.7";"54.7";"3.7";"58.4";"86.2";"5.6";"85.3";"10.2";"25.30"
"Antoine Bernede";"FC Luzern v FC Lausanne-Sports";"RM";"100.86";"10527.7";"1972.0";"924.4";"212.4";"1136.8";"67.8";"10.7";"78.5";"74.1";"2.7";"75.8";"14.3";"27.20"
"Antoine Bernede";"FC Zürich v FC Lausanne-Sports";"LM";"100.78";"10378.0";"2092.4";"501.0";"67.0";"568.0";"46.4";"3.6";"50.0";"110.7";"1.8";"82.2";"12.5";"25.80"
"Antoine Bernede";"FC Lausanne-Sports v BSC Young Boys";"LM";"97.88";"10943.8";"2259.2";"699.7";"78.2";"777.9";"59.8";"5.5";"65.3";"86.4";"5.5";"96.5";"18.4";"25.60"
"Antoine Bernede";"FC Stade Lausanne-Ouchy v FC Lausanne-Sports";"LDM";"99.37";"10327.8";"1763.4";"500.9";"79.7";"580.6";"43.5";"6.3";"49.8";"96.0";"4.5";"80.6";"11.8";"26.70"
"Antoine Bernede";"FC Lausanne-Sports v Yverdon Sport FC";"LM";"89.55";"10554.8";"1883.4";"712.6";"87.4";"800.0";"58.3";"3.0";"61.3";"99.5";"6.0";"88.4";"15.1";"26.50"
"Antoine Bernede";"FC Lausanne-Sports v FC Winterthur";"LM";"96.10";"10808.4";"1894.6";"680.9";"119.9";"800.7";"51.5";"4.7";"56.2";"101.1";"5.6";"84.3";"26.2";"26.10"
"Antoine Bernede";"FC Basel v FC Lausanne-Sports";"LM";"100.07";"11100.9";"2263.7";"700.6";"238.3";"938.9";"59.4";"14.4";"73.7";"89.9";"5.4";"95.3";"14.4";"27.30"
"Antoine Bernede";"Servette FC v FC Lausanne-Sports";"LM";"97.25";"10366.0";"1759.3";"719.1";"166.6";"885.7";"61.1";"7.4";"68.5";"108.3";"2.8";"94.4";"13.0";"27.90"
"Antoine Bernede";"FC Lausanne-Sports v BSC Young Boys";"LDM";"97.52";"11058.0";"2132.8";"941.3";"216.9";"1158.2";"68.3";"9.2";"77.5";"74.8";"6.5";"78.4";"14.8";"28.00"
"Antoine Bernede";"Grasshopper Club Zürich v FC Lausanne-Sports";"LM";"97.65";"10918.0";"1898.6";"694.9";"215.7";"910.6";"61.8";"10.1";"71.9";"94.9";"4.6";"82.0";"16.6";"28.00"
"Antoine Bernede";"FC Lausanne-Sports v FC St. Gallen";"LM";"73.28";"11020.3";"2162.8";"1024.3";"149.8";"1174.1";"73.7";"7.4";"81.1";"94.6";"4.9";"73.7";"18.4";"27.00"
"Antoine Bernede";"FC Luzern v FC Lausanne-Sports";"LM";"74.37";"10723.3";"2013.7";"809.6";"231.1";"1040.7";"69.0";"10.9";"79.9";"104.1";"6.1";"79.9";"18.2";"29.10"
"Antoine Bernede";"FC Lausanne-Sports v FC Zürich";"LM";"71.45";"10337.7";"1495.2";"521.5";"86.9";"608.4";"36.5";"5.0";"41.6";"71.8";"6.3";"69.3";"20.2";"26.70"
"Antoine Bernede";"Lugano v FC Lausanne-Sports";"LDM";"97.57";"10887.3";"2166.8";"776.7";"86.7";"863.4";"60.0";"5.5";"65.5";"101.5";"8.3";"93.2";"13.8";"25.70"
