"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Bright Akwo Arrey-Mbi";"FC Kaiserslautern v Hannover 96";"LCB";"108.07";"8726.0";"998.5";"311.5";"105.8";"417.2";"29.1";"5.0";"34.1";"79.1";"5.8";"65.8";"16.7";"28.10"
"Bright Akwo Arrey-Mbi";"Hannover 96 v SV Wehen Wiesbaden";"LCB";"84.28";"9315.0";"1097.8";"370.6";"137.8";"508.3";"33.1";"9.6";"42.7";"81.2";"5.3";"60.9";"17.1";"29.80"
"Bright Akwo Arrey-Mbi";"Fortuna Düsseldorf v Hannover 96";"LB";"101.48";"9470.0";"988.0";"370.7";"102.9";"473.6";"40.8";"8.9";"49.7";"86.9";"8.0";"81.6";"21.3";"29.30"
"Bright Akwo Arrey-Mbi";"Hannover 96 v VfL Osnabrück";"LCB";"99.27";"8800.5";"971.9";"337.3";"75.2";"412.5";"22.7";"6.3";"29.0";"76.2";"8.2";"57.1";"13.6";"28.50"
"Bright Akwo Arrey-Mbi";"Hannover 96 v 1. FC Magdeburg";"LCB";"99.08";"9213.5";"1155.4";"332.5";"131.7";"464.2";"35.4";"7.3";"42.7";"79.0";"7.3";"66.3";"14.5";"29.50"
"Bright Akwo Arrey-Mbi";"FC Schalke 04 v Hannover 96";"LCB";"87.18";"8932.9";"883.7";"305.6";"176.5";"482.1";"29.9";"7.2";"37.2";"78.5";"13.4";"57.8";"21.7";"31.60"
"Bright Akwo Arrey-Mbi";"SpVgg Greuther Fürth v Hannover 96";"LCB";"99.18";"8825.8";"904.7";"337.6";"109.8";"447.4";"26.3";"6.4";"32.7";"58.1";"4.5";"53.5";"14.5";"29.80"
"Bright Akwo Arrey-Mbi";"Hannover 96 v Hamburger SV";"LCB";"100.00";"9447.3";"1067.4";"410.4";"161.1";"571.5";"31.5";"10.8";"42.3";"73.8";"4.5";"63.0";"10.8";"31.30"
"Bright Akwo Arrey-Mbi";"FC Hansa Rostock v Hannover 96";"LCB";"105.61";"8250.1";"727.8";"274.4";"136.4";"410.8";"19.6";"9.4";"29.0";"69.9";"6.0";"58.8";"12.8";"32.60"
"Bright Akwo Arrey-Mbi";"FC Nürnberg v Hannover 96";"LCB";"106.66";"8648.1";"937.5";"292.0";"113.9";"405.9";"22.8";"5.1";"27.8";"68.3";"4.2";"54.8";"12.7";"29.70"
"Bright Akwo Arrey-Mbi";"Hannover 96 v Eintracht Braunschweig";"LCB";"102.63";"8802.7";"985.7";"324.5";"83.3";"407.8";"25.4";"6.1";"31.6";"86.8";"7.0";"67.5";"14.9";"30.50"
"Bright Akwo Arrey-Mbi";"FC St. Pauli v Hannover 96";"LB";"100.75";"9541.3";"1060.3";"419.9";"119.7";"539.6";"45.6";"8.0";"53.6";"103.6";"8.0";"61.6";"17.9";"30.00"
"Bright Akwo Arrey-Mbi";"Hannover 96 v Hertha BSC Berlin";"LCB";"97.50";"9550.2";"1192.6";"456.9";"175.4";"632.3";"37.8";"10.2";"48.0";"86.8";"8.3";"61.8";"17.5";"30.00"
"Bright Akwo Arrey-Mbi";"SC Paderborn 07 v Hannover 96";"LCB";"100.28";"9018.8";"904.7";"311.4";"150.8";"462.2";"26.9";"9.0";"35.9";"87.1";"6.3";"78.1";"18.8";"31.60"
"Bright Akwo Arrey-Mbi";"Hamburger SV v Hannover 96";"LCB";"105.01";"8994.9";"1121.9";"340.3";"124.3";"464.5";"26.6";"6.9";"33.4";"87.4";"4.3";"64.3";"8.6";"28.80"
"Bright Akwo Arrey-Mbi";"Hannover 96 v SpVgg Greuther Fürth";"LCB";"97.31";"9195.1";"1056.2";"367.2";"173.9";"541.1";"31.4";"11.1";"42.5";"80.5";"6.5";"63.8";"12.0";"31.40"
"Bright Akwo Arrey-Mbi";"VfL Osnabrück v Hannover 96";"LB";"101.07";"9405.2";"1119.3";"450.6";"280.5";"731.1";"32.1";"10.7";"42.7";"76.6";"9.8";"63.2";"21.4";"33.60"
"Bright Akwo Arrey-Mbi";"Hannover 96 v Fortuna Düsseldorf";"LB";"96.36";"10302.9";"1246.0";"521.2";"304.5";"825.7";"46.7";"14.0";"60.7";"90.6";"9.3";"82.2";"18.7";"31.60"
"Bright Akwo Arrey-Mbi";"SV Wehen Wiesbaden v Hannover 96";"LCB";"95.43";"8885.9";"956.3";"374.4";"246.1";"620.6";"26.4";"10.4";"36.8";"67.0";"4.7";"51.9";"10.4";"33.90"
"Bright Akwo Arrey-Mbi";"Hannover 96 v FC Kaiserslautern";"LB";"100.70";"9364.6";"1035.8";"492.5";"294.9";"787.4";"43.8";"17.9";"61.7";"93.8";"5.4";"80.4";"18.8";"32.60"
"Bright Akwo Arrey-Mbi";"1. FC Magdeburg v Hannover 96";"LCB";"98.60";"8774.5";"965.7";"285.7";"155.2";"440.9";"22.8";"4.6";"27.4";"70.3";"3.7";"51.1";"13.7";"30.60"
"Bright Akwo Arrey-Mbi";"Hannover 96 v FC Schalke 04";"LCB";"100.95";"8515.0";"945.9";"347.7";"187.2";"534.9";"31.2";"10.7";"41.9";"70.4";"3.6";"56.2";"13.4";"31.70"
"Bright Akwo Arrey-Mbi";"Eintracht Braunschweig v Hannover 96";"LCB";"100.57";"8395.9";"986.2";"299.8";"97.5";"397.3";"23.3";"5.4";"28.6";"95.8";"4.5";"68.0";"13.4";"31.40"
