"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Archie Brown";"KAA Gent v Breidablik UBK";"LWB";"93.75";"10458.2";"1507.2";"706.6";"425.3";"1131.8";"60.5";"23.0";"83.5";"111.4";"9.6";"96.0";"20.2";"31.80"
"Archie Brown";"KSV Cercle Brugge v KAA Gent";"LWB";"63.22";"10743.9";"1484.8";"741.7";"300.4";"1042.1";"62.6";"22.8";"85.4";"99.7";"11.4";"85.4";"28.5";"29.50"
"Archie Brown";"KAA Gent v Maccabi Tel Aviv FC";"LCB";"99.08";"9985.6";"1389.8";"553.2";"234.4";"787.5";"46.3";"12.7";"59.0";"97.2";"4.5";"64.5";"13.6";"29.80"
"Archie Brown";"Royal Antwerp FC v KAA Gent";"LWB";"97.79";"10797.4";"1415.5";"604.7";"365.4";"970.0";"46.0";"19.3";"65.3";"102.2";"4.6";"85.6";"18.4";"30.80"
"Archie Brown";"KAA Gent v KAS Eupen";"LCB";"103.24";"10291.9";"1408.8";"451.6";"211.8";"663.4";"39.2";"9.6";"48.8";"81.9";"5.2";"75.0";"11.3";"32.10"
"Archie Brown";"Racing White Daring Molenbeek v KAA Gent";"LWB";"104.07";"9576.8";"1115.6";"483.4";"242.1";"725.6";"37.2";"12.1";"49.3";"89.1";"8.6";"77.8";"16.4";"30.90"
"Archie Brown";"Oud-Heverlee Leuven v KAA Gent";"LWB";"73.10";"9728.9";"1233.7";"677.2";"371.8";"1049.0";"56.6";"20.9";"77.6";"109.6";"9.8";"70.2";"14.8";"31.20"
"Archie Brown";"FC Zorya Lugansk v KAA Gent";"LWB";"76.84";"10915.0";"1492.2";"822.2";"514.2";"1336.4";"58.6";"22.3";"80.8";"103.1";"8.2";"78.5";"22.3";"32.10"
"Archie Brown";"KAA Gent v Club Brugge KV";"LWB";"102.70";"9956.1";"1254.9";"624.0";"340.0";"964.0";"38.6";"14.9";"53.5";"83.3";"10.5";"80.6";"13.1";"33.90"
"Archie Brown";"Apoel Nicosia FC v KAA Gent";"LWB";"101.22";"9794.0";"1412.0";"593.1";"267.6";"860.7";"53.3";"11.6";"64.9";"90.7";"8.9";"81.8";"15.1";"31.50"
"Archie Brown";"KAA Gent v Apoel Nicosia FC";"LWB";"65.55";"10875.5";"1602.3";"748.3";"462.7";"1211.0";"50.8";"23.3";"74.1";"116.7";"9.6";"83.8";"19.2";"32.10"
"Archie Brown";"KAA Gent v Sint-Truidense VV";"LWB";"101.22";"10466.2";"1518.7";"657.1";"370.8";"1027.9";"60.5";"16.0";"76.5";"97.8";"12.4";"92.5";"19.6";"31.70"
"Archie Brown";"KAA Gent v Standard de Liège";"LWB";"101.23";"10566.5";"1586.1";"681.9";"287.2";"969.1";"49.8";"12.4";"62.2";"103.1";"7.1";"83.6";"19.6";"31.80"
"Archie Brown";"Sporting Charleroi v KAA Gent";"LWB";"80.59";"10875.0";"1605.9";"658.9";"400.9";"1059.8";"54.7";"11.2";"65.9";"88.2";"14.5";"86.0";"16.8";"31.80"
"Archie Brown";"KAA Gent v RSC Anderlecht";"LWB";"100.55";"10416.9";"1593.2";"707.1";"288.2";"995.3";"52.8";"11.6";"64.4";"120.8";"7.2";"90.4";"17.0";"34.80"
"Archie Brown";"KAA Gent v KRC Genk";"LWB";"103.98";"9486.4";"1189.3";"398.2";"228.5";"626.7";"39.8";"8.7";"48.5";"101.3";"5.2";"81.4";"19.0";"32.00"
"Archie Brown";"KAA Gent v KV Mechelen";"LWB";"97.05";"11372.2";"1703.6";"623.2";"258.7";"881.9";"60.3";"13.0";"73.3";"103.9";"12.1";"88.1";"19.5";"30.20"
"Archie Brown";"KAA Gent v KVC Westerlo";"LWB";"101.31";"10117.6";"1361.0";"634.3";"333.1";"967.4";"54.2";"15.1";"69.3";"98.6";"5.3";"79.1";"16.9";"30.90"
"Archie Brown";"RSC Anderlecht v KAA Gent";"LWB";"100.27";"11069.8";"1859.8";"768.3";"412.0";"1180.3";"58.3";"16.2";"74.5";"105.9";"8.1";"94.2";"16.2";"30.40"
"Archie Brown";"Maccabi Haifa FC v KAA Gent";"LWB";"95.50";"10703.9";"1541.8";"620.1";"316.6";"936.8";"53.7";"14.1";"67.9";"99.0";"15.1";"84.8";"23.6";"31.10"
"Archie Brown";"KAS Eupen v KAA Gent";"LWB";"70.30";"10906.3";"1505.5";"823.2";"376.4";"1199.6";"61.5";"16.6";"78.1";"130.6";"10.2";"121.6";"23.0";"29.30"
"Archie Brown";"KAA Gent v Maccabi Haifa FC";"LWB";"96.37";"10931.3";"1655.8";"855.5";"442.7";"1298.1";"66.3";"27.1";"93.4";"118.6";"12.1";"107.4";"23.3";"31.10"
"Archie Brown";"KAA Gent v Royal Antwerp FC";"LWB";"99.82";"11031.4";"1784.3";"721.3";"440.0";"1161.3";"54.1";"21.6";"75.7";"112.7";"12.6";"82.0";"15.3";"31.40"
"Archie Brown";"Standard de Liège v KAA Gent";"LWB";"105.79";"10554.3";"1550.9";"644.9";"421.1";"1066.0";"51.9";"16.2";"68.1";"86.8";"6.8";"84.2";"16.2";"34.10"
"Archie Brown";"Royale Union Saint-Gilloise v KAA Gent";"LW";"95.38";"11641.1";"1941.9";"946.4";"489.7";"1436.2";"76.4";"20.8";"97.2";"83.0";"16.0";"90.6";"23.6";"31.50"
"Archie Brown";"KAA Gent v Sporting Charleroi";"LWB";"77.91";"11242.2";"1857.5";"750.9";"352.3";"1103.2";"67.0";"17.3";"84.3";"112.1";"11.6";"95.9";"19.6";"32.30"
"Archie Brown";"KAA Gent v Standard de Liège";"LWB";"95.80";"10726.7";"1543.5";"617.2";"412.4";"1029.6";"47.0";"16.0";"62.9";"93.0";"6.6";"90.2";"16.0";"31.30"
"Archie Brown";"KVC Westerlo v KAA Gent";"LWB";"84.13";"10218.5";"1519.1";"573.4";"340.2";"913.6";"49.2";"13.9";"63.1";"78.1";"11.8";"68.5";"22.5";"31.80"
