"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Alessio Castro-Montes";"Royale Union Saint-Gilloise v KAS Eupen";"RWB";"84.05";"10403.8";"1575.1";"727.1";"232.4";"959.4";"50.3";"10.7";"61.0";"91.0";"8.6";"69.6";"13.9";"29.00"
"Alessio Castro-Montes";"Racing White Daring Molenbeek v Royale Union Saint-Gilloise";"RWB";"77.35";"9774.9";"1120.5";"541.0";"317.6";"858.7";"38.4";"14.0";"52.4";"95.4";"7.0";"84.9";"18.6";"30.70"
"Alessio Castro-Montes";"KSV Cercle Brugge v Royale Union Saint-Gilloise";"RWB";"100.15";"9950.8";"1338.1";"718.9";"254.3";"973.2";"57.5";"13.5";"71.0";"92.6";"2.7";"74.6";"16.2";"30.40"
"Alessio Castro-Montes";"Sint-Truidense VV v Royale Union Saint-Gilloise";"RWB";"78.36";"11086.9";"1455.2";"763.8";"354.9";"1118.7";"60.9";"20.7";"81.5";"105.7";"6.9";"91.9";"24.1";"29.10"
"Alessio Castro-Montes";"Royale Union Saint-Gilloise v KRC Genk";"RWB";"90.34";"10128.7";"1465.5";"626.6";"199.2";"825.9";"51.8";"11.0";"62.8";"77.7";"8.0";"59.8";"20.9";"29.30"
"Alessio Castro-Montes";"KVC Westerlo v Royale Union Saint-Gilloise";"RWB";"73.41";"10836.5";"1612.2";"663.3";"315.1";"978.3";"55.2";"14.7";"69.9";"88.3";"9.8";"77.2";"20.8";"30.40"
"Alessio Castro-Montes";"Royale Union Saint-Gilloise v Club Brugge KV";"RWB";"99.22";"9784.6";"1312.5";"628.6";"241.3";"869.9";"49.0";"12.7";"61.7";"94.3";"5.4";"75.3";"12.7";"30.10"
"Alessio Castro-Montes";"KAA Gent v Royale Union Saint-Gilloise";"RWB";"99.85";"10153.7";"1252.0";"701.3";"466.9";"1168.2";"55.0";"18.0";"73.0";"94.6";"6.3";"79.3";"20.7";"30.20"
"Alessio Castro-Montes";"Sporting Charleroi v Royale Union Saint-Gilloise";"LWB";"93.92";"10993.2";"1441.2";"816.4";"416.8";"1233.3";"64.2";"20.1";"84.3";"93.0";"7.7";"79.5";"19.2";"29.50"
"Alessio Castro-Montes";"Royale Union Saint-Gilloise v KV Mechelen";"RWB";"68.47";"11057.1";"1601.0";"885.9";"258.9";"1144.9";"68.4";"17.1";"85.4";"97.3";"11.8";"74.9";"22.3";"27.90"
"Alessio Castro-Montes";"KAS Eupen v Royale Union Saint-Gilloise";"RWB";"100.07";"9490.2";"1202.5";"538.7";"179.9";"718.6";"54.9";"9.0";"63.9";"112.4";"10.8";"93.5";"18.0";"30.20"
"Alessio Castro-Montes";"Club Brugge KV v Royale Union Saint-Gilloise";"RWB";"102.38";"9921.3";"1479.5";"645.2";"307.7";"952.9";"46.6";"14.1";"60.7";"98.5";"6.2";"73.0";"12.3";"29.40"
"Alessio Castro-Montes";"Royale Union Saint-Gilloise v Sint-Truidense VV";"LWB";"104.51";"10089.4";"1520.0";"726.8";"269.5";"996.4";"59.4";"12.9";"72.3";"87.8";"7.8";"80.9";"20.7";"30.00"
"Alessio Castro-Montes";"RSC Anderlecht v Royale Union Saint-Gilloise";"RWB";"100.02";"10937.3";"1489.2";"647.9";"395.9";"1043.8";"52.2";"12.6";"64.8";"85.5";"5.4";"81.9";"16.2";"30.30"
"Alessio Castro-Montes";"KRC Genk v Royale Union Saint-Gilloise";"RWB";"95.74";"9965.4";"1270.0";"665.6";"311.2";"976.7";"63.9";"10.3";"74.3";"78.0";"5.6";"70.5";"17.9";"29.40"
"Alessio Castro-Montes";"KV Kortrijk v Royale Union Saint-Gilloise";"RWB";"89.80";"10742.9";"1533.4";"759.7";"376.8";"1136.5";"57.1";"15.0";"72.2";"106.2";"10.0";"87.2";"14.0";"29.80"
"Alessio Castro-Montes";"Royale Union Saint-Gilloise v Standard de Liège";"RWB";"77.48";"10152.3";"1258.0";"635.4";"293.9";"929.3";"46.5";"16.3";"62.7";"75.5";"10.5";"51.1";"17.4";"29.10"
"Alessio Castro-Montes";"Royale Union Saint-Gilloise v KAA Gent";"RWB";"95.38";"11480.7";"1575.8";"870.9";"402.0";"1272.9";"64.2";"17.0";"81.1";"85.9";"12.3";"73.6";"21.7";"30.20"
"Alessio Castro-Montes";"Royal Antwerp FC v Royale Union Saint-Gilloise";"RWB";"101.10";"10398.5";"1461.7";"610.7";"324.0";"934.7";"49.0";"14.2";"63.2";"96.1";"2.7";"90.8";"13.4";"29.30"
"Alessio Castro-Montes";"KRC Genk v Royale Union Saint-Gilloise";"RWB";"99.37";"9595.0";"1568.7";"535.3";"149.4";"684.7";"48.9";"9.1";"58.0";"94.2";"1.8";"76.1";"14.5";"28.70"
"Alessio Castro-Montes";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"RWB";"104.33";"9708.2";"1474.3";"562.4";"238.1";"800.5";"44.0";"9.5";"53.5";"100.9";"9.5";"75.1";"12.1";"28.30"
"Alessio Castro-Montes";"RSC Anderlecht v Royale Union Saint-Gilloise";"RWB";"101.39";"9878.8";"1427.4";"619.6";"166.9";"786.5";"55.0";"10.7";"65.7";"95.9";"7.1";"75.5";"15.1";"27.70"
