"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Ante Crnac";"Legia Warszawa v KS Raków Czestochowa";"CF";"76.94";"10466.9";"1638.8";"934.6";"245.6";"1180.3";"80.7";"19.9";"100.6";"98.3";"9.4";"78.4";"12.9";"27.60"
"Ante Crnac";"KS Gornik Zabrze v KS Raków Czestochowa";"CF";"98.61";"10245.8";"1411.0";"668.1";"312.1";"980.2";"52.9";"17.3";"70.3";"75.8";"8.2";"70.3";"15.5";"29.30"
"Ante Crnac";"KS Raków Czestochowa v Widzew Łódź";"CF";"63.95";"10717.0";"1517.1";"620.6";"271.6";"892.3";"57.7";"14.1";"71.8";"97.1";"7.0";"83.0";"12.7";"29.40"
"Ante Crnac";"KS Raków Czestochowa v Zagłębie Lubin";"CF";"92.52";"10492.2";"1496.1";"682.9";"307.4";"990.3";"69.1";"13.6";"82.7";"99.2";"9.7";"85.6";"21.4";"29.60"
"Ante Crnac";"WKS Slask Wrocław v KS Raków Czestochowa";"CF";"77.24";"10301.5";"1274.7";"512.7";"135.2";"647.9";"47.8";"8.2";"55.9";"95.5";"8.2";"85.1";"12.8";"27.90"
"Ante Crnac";"Warta Poznan v KS Raków Czestochowa";"CF";"71.88";"9393.2";"1378.5";"576.0";"144.0";"719.9";"53.8";"10.0";"63.9";"86.4";"2.5";"63.9";"13.8";"28.90"
"Ante Crnac";"FKS Stal Mielec v KS Raków Czestochowa";"AM";"98.20";"9953.2";"1288.6";"565.5";"181.5";"746.9";"48.6";"8.2";"56.8";"77.9";"7.3";"64.2";"8.2";"31.20"
"Ante Crnac";"KS Raków Czestochowa v Lech Poznań";"CF";"93.38";"10234.6";"1552.7";"662.1";"215.9";"878.0";"59.8";"12.5";"72.3";"99.3";"7.7";"67.5";"18.3";"28.60"
"Ante Crnac";"MKS Puszcza Niepołomice v KS Raków Czestochowa";"CF";"70.59";"9742.0";"1229.1";"513.8";"156.8";"670.6";"40.8";"11.5";"52.3";"102.0";"2.5";"65.0";"15.3";"29.30"
"Ante Crnac";"Korona Kielce v KS Raków Czestochowa";"CF";"84.50";"10371.8";"1514.6";"690.2";"350.4";"1040.6";"59.6";"16.0";"75.6";"95.9";"4.3";"66.0";"17.0";"29.90"
"Ante Crnac";"ŁKS Łódź v KS Raków Czestochowa";"CF";"102.30";"8933.1";"968.6";"357.2";"88.9";"446.0";"32.6";"7.9";"40.5";"87.1";"1.8";"51.0";"16.7";"29.00"
"Ante Crnac";"KS Raków Czestochowa v Ruch Chorzów";"CF";"86.75";"10099.7";"1282.3";"535.3";"344.4";"879.8";"45.6";"12.4";"58.1";"82.0";"3.1";"61.2";"12.4";"30.10"
"Ante Crnac";"RKS Radomiak Radom v KS Raków Czestochowa";"CF";"97.72";"9198.9";"825.2";"340.8";"163.9";"504.7";"33.2";"8.3";"41.4";"58.0";"4.6";"52.5";"10.1";"29.20"
"Ante Crnac";"KS Raków Czestochowa v Legia Warszawa";"CF";"97.05";"9245.7";"997.8";"513.8";"222.6";"736.3";"46.4";"13.0";"59.4";"90.9";"10.2";"69.6";"12.1";"30.00"
