"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Anders Dreyer";"Standard de Liège v RSC Anderlecht";"RF";"71.52";"11140.5";"2124.2";"626.7";"304.5";"931.2";"52.9";"13.8";"66.7";"112.0";"5.0";"89.3";"18.9";"28.90"
"Anders Dreyer";"RSC Anderlecht v KV Mechelen";"RF";"95.88";"12055.4";"2117.6";"794.1";"242.2";"1036.3";"64.8";"17.8";"82.6";"92.0";"3.8";"88.2";"18.8";"27.50"
"Anders Dreyer";"KAS Eupen v RSC Anderlecht";"RF";"90.90";"11366.3";"1682.2";"805.9";"257.4";"1063.4";"73.3";"10.9";"84.2";"126.7";"9.9";"104.0";"21.8";"29.10"
"Anders Dreyer";"RSC Anderlecht v Oud-Heverlee Leuven";"RF";"100.40";"10579.5";"1572.3";"623.0";"234.0";"857.0";"53.8";"12.5";"66.3";"98.6";"6.3";"76.2";"18.8";"29.00"
"Anders Dreyer";"KRC Genk v RSC Anderlecht";"RF";"95.28";"11051.6";"1666.2";"648.0";"282.4";"930.4";"53.8";"12.3";"66.1";"91.6";"2.8";"84.1";"17.0";"30.80"
"Anders Dreyer";"RSC Anderlecht v Royal Antwerp FC";"RF";"103.34";"11690.2";"2050.1";"843.9";"215.1";"1059.0";"73.2";"13.9";"87.1";"92.3";"5.2";"77.5";"22.6";"28.20"
"Anders Dreyer";"Royale Union Saint-Gilloise v RSC Anderlecht";"RF";"101.28";"10172.1";"1521.3";"624.7";"163.5";"788.2";"52.4";"9.8";"62.2";"78.2";"6.2";"75.5";"15.1";"28.00"
"Anders Dreyer";"KSV Cercle Brugge v RSC Anderlecht";"RF";"100.18";"10481.4";"1445.5";"793.3";"201.2";"994.5";"55.7";"17.1";"72.8";"93.4";"6.3";"83.5";"16.2";"29.20"
"Anders Dreyer";"KAA Gent v RSC Anderlecht";"RF";"89.60";"11553.3";"1949.7";"794.5";"208.9";"1003.5";"61.3";"14.1";"75.3";"108.5";"5.0";"92.4";"14.1";"27.50"
"Anders Dreyer";"RSC Anderlecht v Racing White Daring Molenbeek";"RF";"99.91";"10271.9";"1221.5";"353.1";"190.1";"543.2";"35.1";"9.0";"44.1";"97.3";"0.9";"92.8";"18.0";"30.00"
"Anders Dreyer";"KVC Westerlo v RSC Anderlecht";"RF";"96.49";"11456.8";"1917.7";"815.2";"310.6";"1125.8";"66.2";"17.7";"83.9";"81.1";"6.5";"62.5";"20.5";"29.00"
"Anders Dreyer";"RSC Anderlecht v Standard de Liège";"RF";"88.16";"10218.9";"1545.6";"515.5";"112.3";"627.8";"49.0";"8.2";"57.2";"108.2";"3.1";"85.8";"17.4";"28.40"
"Anders Dreyer";"Royal Antwerp FC v RSC Anderlecht";"RF";"98.73";"11580.7";"1744.8";"624.4";"250.7";"875.1";"51.0";"10.0";"61.1";"89.3";"2.7";"68.4";"19.1";"28.90"
"Anders Dreyer";"RSC Anderlecht v KRC Genk";"RF";"103.45";"10388.5";"1505.1";"702.9";"348.9";"1051.8";"56.5";"17.4";"73.9";"86.1";"6.1";"68.7";"20.9";"30.20"
"Anders Dreyer";"RSC Anderlecht v KSV Cercle Brugge";"RW";"103.36";"10559.5";"1623.9";"602.6";"154.1";"756.7";"56.6";"9.6";"66.2";"90.6";"4.4";"80.1";"13.1";"28.50"
"Anders Dreyer";"Oud-Heverlee Leuven v RSC Anderlecht";"RW";"102.04";"10050.5";"1522.3";"633.3";"202.9";"836.1";"55.6";"8.8";"64.4";"87.3";"7.9";"77.6";"19.4";"29.00"
"Anders Dreyer";"RSC Anderlecht v Royale Union Saint-Gilloise";"RW";"100.02";"10974.2";"1738.5";"635.3";"401.3";"1036.6";"53.1";"14.4";"67.5";"83.7";"6.3";"77.4";"27.0";"31.60"
"Anders Dreyer";"KV Mechelen v RSC Anderlecht";"RF";"98.49";"11007.6";"1528.8";"722.8";"239.4";"962.2";"51.2";"12.8";"64.0";"99.6";"3.7";"74.9";"19.2";"28.70"
"Anders Dreyer";"RSC Anderlecht v KAA Gent";"RF";"100.27";"11402.8";"1915.4";"891.3";"385.1";"1276.4";"77.2";"22.4";"99.6";"94.2";"5.4";"97.8";"15.3";"28.70"
"Anders Dreyer";"Sporting Charleroi v RSC Anderlecht";"RF";"105.60";"10396.9";"1468.5";"709.1";"369.9";"1079.0";"52.8";"17.9";"70.7";"100.6";"0.0";"79.3";"18.8";"29.50"
"Anders Dreyer";"RSC Anderlecht v Sint-Truidense VV";"RF";"95.18";"11919.9";"1891.2";"848.2";"365.0";"1213.2";"67.1";"21.7";"88.9";"94.6";"1.9";"77.5";"26.5";"29.20"
"Anders Dreyer";"Club Brugge KV v RSC Anderlecht";"RF";"99.33";"10888.3";"1736.0";"693.1";"375.1";"1068.3";"58.9";"19.0";"77.9";"87.0";"1.8";"69.8";"19.9";"29.80"
"Anders Dreyer";"RSC Anderlecht v KAS Eupen";"RF";"80.65";"11227.4";"1611.4";"820.2";"344.8";"1165.0";"62.5";"20.1";"82.6";"108.2";"6.7";"91.5";"21.2";"28.90"
"Anders Dreyer";"Racing White Daring Molenbeek v RSC Anderlecht";"RF";"68.14";"10878.2";"1488.6";"723.8";"313.0";"1036.8";"55.5";"18.5";"74.0";"93.8";"6.6";"83.2";"14.5";"29.70"
"Anders Dreyer";"RSC Anderlecht v KV Kortrijk";"RF";"102.80";"11237.7";"1692.3";"601.5";"247.8";"849.2";"48.2";"12.3";"60.4";"90.2";"8.8";"67.4";"15.8";"29.60"
"Anders Dreyer";"RSC Anderlecht v Royal Antwerp FC";"RF";"100.47";"10623.2";"1703.8";"598.4";"248.1";"846.5";"52.0";"14.3";"66.3";"96.7";"0.9";"81.5";"22.4";"29.50"
"Anders Dreyer";"Club Brugge KV v RSC Anderlecht";"RF";"99.68";"10743.5";"1780.5";"603.1";"153.5";"756.6";"59.6";"8.1";"67.7";"88.5";"8.1";"70.4";"18.1";"28.10"
"Anders Dreyer";"RSC Anderlecht v Royale Union Saint-Gilloise";"RF";"73.05";"10272.7";"1522.8";"717.0";"335.1";"1052.2";"59.1";"18.5";"77.6";"97.3";"4.9";"70.2";"20.9";"30.20"
