"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Anosike Victor Ementa";"Viborg FF v FC Nordsjaelland";"CF";"69.44";"11506.6";"1591.6";"427.7";"127.0";"554.7";"35.0";"5.2";"40.2";"64.8";"7.8";"62.2";"14.3";"27.20"
"Anosike Victor Ementa";"Viborg FF v AGF";"CF";"100.15";"9892.4";"1364.2";"434.0";"149.2";"583.2";"40.4";"6.3";"46.7";"59.3";"0.0";"51.2";"9.0";"28.90"
"Anosike Victor Ementa";"FC Copenhagen v Viborg FF";"CF";"64.80";"11740.3";"1865.3";"527.8";"93.1";"620.8";"36.1";"6.9";"43.1";"66.7";"4.2";"66.7";"9.7";"26.50"
"Anosike Victor Ementa";"Randers FC v Viborg FF";"CF";"100.08";"9723.9";"1314.7";"356.1";"60.3";"416.4";"36.0";"2.7";"38.7";"59.4";"5.4";"54.9";"7.2";"26.30"
"Anosike Victor Ementa";"Viborg FF v Vejle Boldklub";"CF";"98.78";"10202.7";"1243.7";"523.0";"157.6";"680.6";"40.1";"10.0";"50.1";"61.0";"2.7";"51.9";"13.7";"30.30"
"Anosike Victor Ementa";"Viborg FF v Hvidovre IF";"CF";"86.81";"10521.9";"1403.8";"460.3";"134.8";"595.1";"41.5";"9.3";"50.8";"63.2";"7.3";"63.2";"10.4";"29.30"
"Anosike Victor Ementa";"Odense BK v Viborg FF";"CF";"81.52";"11641.9";"1879.0";"663.5";"200.9";"864.5";"53.0";"9.9";"62.9";"81.7";"3.3";"70.7";"9.9";"29.80"
"Anosike Victor Ementa";"Viborg FF v Lyngby Boldklub";"CF";"82.90";"10671.9";"1513.4";"472.3";"177.0";"649.2";"44.5";"7.6";"52.1";"70.6";"6.5";"64.1";"15.2";"29.80"
"Anosike Victor Ementa";"FC Nordsjaelland v Viborg FF";"CF";"86.05";"10576.2";"1419.3";"427.8";"134.9";"562.7";"29.3";"6.3";"35.6";"73.2";"6.3";"82.6";"8.4";"26.70"
"Anosike Victor Ementa";"Viborg FF v Silkeborg IF";"CF";"85.90";"11319.7";"1765.4";"624.4";"212.7";"837.1";"49.2";"12.6";"61.8";"75.4";"4.2";"65.0";"14.7";"29.10"
"Anosike Victor Ementa";"Viborg FF v FC Copenhagen";"CF";"87.84";"10711.1";"1847.3";"606.6";"175.2";"781.8";"47.1";"10.2";"57.4";"83.0";"6.1";"65.6";"14.3";"28.50"
"Anosike Victor Ementa";"FC Midtjylland v Viborg FF";"CF";"86.22";"9538.6";"1226.5";"387.3";"95.0";"482.3";"37.6";"6.3";"43.8";"68.9";"4.2";"60.5";"6.3";"27.80"
"Anosike Victor Ementa";"Viborg FF v Odense BK";"CF";"104.75";"9690.8";"1378.1";"364.3";"72.2";"436.5";"34.4";"1.7";"36.1";"55.8";"5.2";"47.3";"9.5";"28.70"
"Anosike Victor Ementa";"Hvidovre IF v Viborg FF";"CF";"60.40";"10968.4";"1773.2";"646.7";"253.3";"900.0";"44.7";"11.9";"56.6";"86.4";"3.0";"65.6";"14.9";"31.60"
"Anosike Victor Ementa";"Viborg FF v Randers FC";"CF";"79.15";"11010.4";"1721.5";"675.4";"230.8";"906.3";"50.0";"11.4";"61.4";"77.3";"5.7";"69.4";"11.4";"28.60"
"Anosike Victor Ementa";"Viborg FF v Broendby IF";"CF";"96.93";"11155.1";"1905.3";"571.0";"106.8";"677.8";"55.7";"8.4";"64.1";"78.9";"8.4";"71.5";"12.1";"27.00"
"Anosike Victor Ementa";"Lyngby Boldklub v Viborg FF";"CF";"83.87";"10750.2";"1760.9";"646.0";"197.4";"843.4";"46.1";"12.9";"59.0";"68.7";"7.5";"60.1";"12.9";"27.90"
"Anosike Victor Ementa";"Viborg FF v Hvidovre IF";"CF";"103.75";"10122.5";"1431.3";"576.9";"115.4";"692.2";"52.0";"5.2";"57.3";"63.3";"1.7";"55.5";"10.4";"27.50"
"Anosike Victor Ementa";"Vejle Boldklub v Viborg FF";"CF";"66.05";"10459.3";"1516.6";"716.7";"245.3";"962.0";"50.4";"9.5";"60.0";"70.9";"4.1";"65.4";"17.7";"30.60"
"Anosike Victor Ementa";"Odense BK v Viborg FF";"CF";"68.82";"10959.0";"1579.8";"740.2";"219.7";"959.9";"58.8";"14.4";"73.2";"77.2";"6.5";"74.5";"18.3";"29.20"
