"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Andri Lucas Gudjohnsen";"Djurgardens IF v IFK Norrköping";"CF";"88.12";"10740.4";"1383.9";"486.2";"118.5";"604.6";"49.0";"7.1";"56.2";"79.7";"10.2";"77.6";"18.4";"28.90"
"Andri Lucas Gudjohnsen";"Hammarby IF v IFK Norrköping";"CF";"103.23";"9843.1";"1270.3";"594.6";"248.5";"843.1";"55.8";"13.1";"68.9";"76.7";"11.3";"70.6";"19.2";"29.30"
"Andri Lucas Gudjohnsen";"Lyngby Boldklub v AGF";"CF";"96.45";"9572.9";"1009.6";"492.7";"201.6";"694.2";"38.3";"11.2";"49.5";"51.3";"5.6";"46.7";"13.1";"29.40"
"Andri Lucas Gudjohnsen";"Odense BK v Lyngby Boldklub";"CF";"98.96";"10744.3";"1417.8";"575.7";"189.2";"764.9";"46.4";"9.1";"55.5";"77.3";"6.4";"70.0";"14.6";"28.80"
"Andri Lucas Gudjohnsen";"Lyngby Boldklub v Vejle Boldklub";"CF";"97.61";"10105.5";"1439.3";"543.1";"181.6";"724.7";"47.9";"11.1";"59.0";"67.3";"5.5";"67.3";"14.8";"27.80"
"Andri Lucas Gudjohnsen";"Hvidovre IF v Lyngby Boldklub";"CF";"94.32";"10567.7";"1588.7";"609.7";"262.4";"872.1";"54.4";"13.4";"67.7";"84.9";"5.7";"73.5";"20.0";"29.10"
"Andri Lucas Gudjohnsen";"Silkeborg IF v Lyngby Boldklub";"RF";"98.55";"10241.1";"1190.9";"599.1";"269.4";"868.5";"47.5";"18.3";"65.8";"76.7";"9.1";"66.7";"22.8";"29.70"
"Andri Lucas Gudjohnsen";"FC Midtjylland v Lyngby Boldklub";"RF";"98.40";"9993.3";"1114.9";"621.0";"248.8";"869.8";"46.6";"12.8";"59.5";"69.5";"9.1";"68.6";"13.7";"28.60"
"Andri Lucas Gudjohnsen";"Lyngby Boldklub v FC Nordsjaelland";"CF";"75.30";"10797.6";"1509.6";"589.2";"239.0";"828.3";"46.6";"12.0";"58.6";"93.2";"3.6";"63.3";"16.7";"29.10"
"Andri Lucas Gudjohnsen";"Lyngby Boldklub v Odense BK";"CF";"100.63";"9948.9";"1063.4";"476.7";"277.3";"754.0";"34.0";"14.3";"48.3";"57.2";"2.7";"57.2";"13.4";"29.20"
"Andri Lucas Gudjohnsen";"Vejle Boldklub v Lyngby Boldklub";"RF";"99.17";"9822.2";"1226.1";"483.7";"122.5";"606.2";"46.3";"4.5";"50.8";"62.6";"10.0";"49.0";"17.2";"27.40"
"Andri Lucas Gudjohnsen";"Lyngby Boldklub v Broendby IF";"RF";"98.40";"9427.1";"909.1";"441.8";"145.4";"587.2";"34.8";"9.1";"43.9";"67.7";"9.1";"69.5";"14.6";"29.00"
"Andri Lucas Gudjohnsen";"Lyngby Boldklub v Silkeborg IF";"CF";"101.31";"10021.6";"1185.1";"462.8";"296.7";"759.5";"41.8";"9.8";"51.5";"64.9";"7.1";"62.2";"21.3";"30.70"
"Andri Lucas Gudjohnsen";"FC Nordsjaelland v Lyngby Boldklub";"RF";"98.46";"9693.8";"1309.9";"651.7";"277.0";"928.7";"54.8";"12.8";"67.6";"85.0";"6.4";"71.3";"17.4";"29.90"
"Andri Lucas Gudjohnsen";"Randers FC v Lyngby Boldklub";"RF";"95.87";"9860.9";"1132.2";"523.8";"136.1";"660.0";"42.2";"9.4";"51.6";"63.8";"4.7";"65.7";"16.9";"29.00"
"Andri Lucas Gudjohnsen";"Lyngby Boldklub v Hvidovre IF";"CF";"76.50";"9907.1";"1431.8";"603.5";"189.4";"792.9";"52.9";"9.4";"62.4";"60.0";"9.4";"63.5";"16.5";"28.80"
"Andri Lucas Gudjohnsen";"FC Copenhagen v Lyngby Boldklub";"CF";"61.71";"9832.8";"1228.0";"466.7";"140.0";"606.7";"43.8";"13.1";"56.9";"94.8";"13.1";"67.1";"13.1";"27.80"
"Andri Lucas Gudjohnsen";"Lyngby Boldklub v Viborg FF";"CF";"101.38";"9888.6";"1381.3";"731.5";"275.2";"1006.7";"60.4";"17.8";"78.1";"71.9";"14.2";"59.5";"16.0";"29.10"
"Andri Lucas Gudjohnsen";"Randers FC v Lyngby Boldklub";"CF";"83.17";"9721.8";"1307.2";"575.7";"220.8";"796.4";"48.7";"14.1";"62.8";"75.7";"18.4";"74.7";"15.1";"28.10"
