"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Andréas Hountondji";"AJ Auxerre v Rodez Aveyron";"CF";"81.60";"10130.5";"1072.1";"500.7";"259.2";"759.9";"35.3";"16.5";"51.8";"66.2";"3.3";"58.5";"14.3";"30.90"
"Andréas Hountondji";"Dunkerque v Rodez Aveyron";"CF";"69.47";"10642.7";"1456.2";"704.8";"355.0";"1059.7";"54.4";"14.3";"68.7";"80.3";"13.0";"64.8";"20.7";"31.70"
"Andréas Hountondji";"Rodez Aveyron v Valenciennes FC";"CF";"63.16";"10379.4";"1296.7";"548.6";"259.3";"807.9";"48.4";"12.8";"61.3";"78.4";"12.8";"82.6";"22.8";"31.40"
"Andréas Hountondji";"US Quevilly-Rouen v Rodez Aveyron";"RF";"101.42";"9851.9";"1189.1";"471.2";"299.9";"771.1";"40.8";"12.4";"53.2";"68.3";"13.3";"62.1";"16.0";"31.50"
"Andréas Hountondji";"Pau FC v Rodez Aveyron";"CF";"65.51";"9588.0";"1240.6";"528.9";"327.0";"855.9";"46.7";"12.4";"59.1";"68.7";"6.9";"57.7";"20.6";"32.40"
"Andréas Hountondji";"Rodez Aveyron v En Avant de Guingamp";"CF";"82.98";"10060.7";"1154.0";"598.7";"380.7";"979.4";"48.8";"14.1";"62.9";"64.0";"7.6";"60.7";"18.4";"30.20"
"Andréas Hountondji";"FC Annecy v Rodez Aveyron";"CF";"75.69";"10214.0";"1360.3";"593.3";"274.7";"868.0";"60.6";"14.3";"74.9";"71.3";"9.5";"65.4";"19.0";"30.90"
"Andréas Hountondji";"Paris FC v Rodez Aveyron";"CF";"97.78";"10061.3";"1459.8";"506.2";"179.5";"685.7";"55.2";"9.2";"64.4";"88.4";"13.8";"65.4";"17.5";"29.30"
"Andréas Hountondji";"En Avant de Guingamp v Rodez Aveyron";"RF";"71.55";"10839.0";"1495.6";"688.1";"413.8";"1101.9";"57.9";"17.6";"75.5";"83.0";"12.6";"74.2";"26.4";"31.70"
"Andréas Hountondji";"Rodez Aveyron v Stade Lavallois Mayenne FC";"CF";"99.85";"9884.2";"1132.1";"588.6";"404.7";"993.3";"43.3";"17.1";"60.4";"73.0";"9.9";"63.1";"19.8";"31.30"
"Andréas Hountondji";"SC Bastia v Rodez Aveyron";"CF";"75.26";"10012.9";"1109.8";"575.2";"436.5";"1011.7";"43.1";"21.5";"64.6";"71.8";"9.6";"58.6";"13.2";"32.90"
"Andréas Hountondji";"Valenciennes FC v Rodez Aveyron";"CF";"81.19";"10527.5";"1309.2";"736.1";"512.1";"1248.2";"55.4";"23.3";"78.7";"82.0";"3.3";"74.3";"26.6";"32.70"
"Andréas Hountondji";"Rodez Aveyron v Girondins de Bordeaux";"CF";"81.95";"11144.8";"1226.7";"694.1";"462.4";"1156.4";"46.1";"25.3";"71.4";"61.5";"5.5";"67.0";"22.0";"32.90"
"Andréas Hountondji";"Amiens Sporting Club v Rodez Aveyron";"CF";"84.92";"10185.9";"1357.6";"749.3";"493.9";"1243.2";"64.6";"24.4";"89.0";"89.0";"6.4";"71.0";"26.5";"31.30"
"Andréas Hountondji";"Rodez Aveyron v US Quevilly-Rouen";"CF";"76.73";"9517.3";"1112.0";"590.0";"411.7";"1001.7";"39.9";"23.5";"63.3";"90.3";"12.9";"79.8";"15.2";"30.80"
"Andréas Hountondji";"Rodez Aveyron v Paris FC";"CF";"79.61";"11541.4";"1730.8";"795.9";"395.7";"1191.6";"54.3";"14.7";"69.0";"73.5";"6.8";"67.8";"14.7";"32.30"
"Andréas Hountondji";"Rodez Aveyron v AJ Auxerre";"CF";"79.67";"9814.5";"1225.7";"563.7";"180.7";"744.4";"46.3";"11.3";"57.6";"76.8";"3.4";"58.7";"15.8";"30.40"
"Andréas Hountondji";"Rodez Aveyron v FC Annecy";"CF";"97.65";"10200.9";"1218.4";"535.5";"374.2";"909.7";"42.4";"24.9";"67.3";"73.7";"11.1";"72.8";"16.6";"31.90"
