"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Abdelkahar Kadri";"Royal Antwerp FC v KV Kortrijk";"LM";"95.32";"10995.1";"1532.4";"610.9";"164.3";"775.2";"48.2";"10.4";"58.5";"90.6";"5.7";"85.0";"19.8";"28.00"
"Abdelkahar Kadri";"Racing White Daring Molenbeek v KV Kortrijk";"LM";"97.12";"11478.9";"1838.6";"419.8";"53.7";"473.5";"29.7";"3.7";"33.4";"99.2";"4.6";"86.2";"7.4";"25.70"
"Abdelkahar Kadri";"Royale Union Saint-Gilloise v KV Kortrijk";"RM";"80.22";"11579.3";"2223.6";"586.8";"154.8";"741.6";"48.2";"7.9";"56.1";"85.3";"4.5";"89.8";"13.5";"26.70"
"Abdelkahar Kadri";"KV Kortrijk v KV Mechelen";"LM";"95.05";"11592.5";"1845.4";"633.5";"198.8";"832.3";"46.4";"10.4";"56.8";"117.4";"4.7";"94.7";"17.0";"27.50"
"Abdelkahar Kadri";"Standard de Liège v KV Kortrijk";"LM";"77.83";"11952.2";"2000.5";"567.8";"70.5";"638.3";"52.0";"3.5";"55.5";"116.8";"5.8";"108.7";"12.7";"27.00"
"Abdelkahar Kadri";"KV Kortrijk v Oud-Heverlee Leuven";"LM";"96.29";"10613.3";"1753.5";"506.6";"72.0";"578.6";"44.9";"2.8";"47.7";"93.5";"4.7";"86.0";"12.2";"26.10"
"Abdelkahar Kadri";"Club Brugge KV v KV Kortrijk";"RM";"100.81";"11942.6";"2364.1";"633.0";"108.0";"741.0";"54.5";"4.5";"58.9";"100.0";"3.6";"100.9";"17.0";"27.60"
"Abdelkahar Kadri";"KV Kortrijk v Sporting Charleroi";"LM";"98.73";"11000.9";"1873.3";"601.6";"101.2";"702.8";"52.9";"5.5";"58.3";"94.8";"5.5";"83.9";"13.7";"25.60"
"Abdelkahar Kadri";"KV Kortrijk v Royale Union Saint-Gilloise";"LM";"96.25";"10874.8";"1822.4";"594.7";"116.9";"711.6";"59.8";"6.5";"66.4";"95.4";"4.7";"87.9";"15.9";"27.10"
"Abdelkahar Kadri";"KV Mechelen v KV Kortrijk";"LM";"74.90";"12488.3";"2317.9";"639.3";"82.9";"722.2";"48.1";"8.4";"56.5";"92.5";"3.6";"86.5";"15.6";"25.80"
"Abdelkahar Kadri";"KV Kortrijk v Royal Antwerp FC";"LM";"96.28";"10842.4";"1639.6";"403.8";"97.2";"501.0";"33.7";"7.5";"41.1";"101.0";"4.7";"88.8";"14.0";"26.80"
"Abdelkahar Kadri";"RSC Anderlecht v KV Kortrijk";"LM";"67.00";"12125.8";"1757.0";"396.3";"108.8";"505.1";"34.9";"5.4";"40.3";"102.1";"4.0";"79.3";"10.7";"28.30"
"Abdelkahar Kadri";"KAS Eupen v KV Kortrijk";"LM";"83.00";"10647.1";"1681.8";"498.8";"64.0";"562.8";"53.1";"3.3";"56.4";"131.2";"9.8";"104.1";"10.8";"26.90"
"Abdelkahar Kadri";"KV Kortrijk v Sporting Charleroi";"LM";"90.66";"10845.5";"1746.2";"569.8";"151.9";"721.7";"49.6";"12.9";"62.5";"105.2";"6.0";"88.4";"13.9";"27.50"
