"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Alexander Lind Rasmussen";"Randers FC v Silkeborg IF";"CF";"98.82";"10490.0";"1481.8";"628.4";"256.8";"885.2";"61.9";"12.8";"74.7";"79.2";"5.5";"71.0";"14.6";"29.60"
"Alexander Lind Rasmussen";"Silkeborg IF v Viborg FF";"CF";"73.62";"11528.1";"1202.9";"652.8";"370.4";"1023.2";"55.0";"19.6";"74.6";"85.6";"1.2";"75.8";"13.4";"28.60"
"Alexander Lind Rasmussen";"Odense BK v Silkeborg IF";"CF";"81.54";"11737.3";"1373.1";"751.7";"303.5";"1055.2";"54.1";"15.5";"69.5";"80.6";"5.5";"83.9";"16.6";"30.40"
"Alexander Lind Rasmussen";"Hvidovre IF v Silkeborg IF";"CF";"95.02";"10167.9";"1231.3";"850.6";"272.8";"1123.3";"70.1";"13.3";"83.4";"77.7";"4.7";"61.6";"11.4";"29.60"
"Alexander Lind Rasmussen";"Silkeborg IF v Lyngby Boldklub";"CF";"87.92";"11444.5";"1742.3";"775.9";"310.2";"1086.1";"67.6";"18.4";"86.0";"86.0";"5.1";"75.8";"16.4";"29.40"
"Alexander Lind Rasmussen";"Silkeborg IF v Odense BK";"CF";"112.90";"9885.7";"1245.2";"662.4";"277.4";"939.9";"59.8";"11.2";"70.9";"70.2";"8.0";"62.2";"8.8";"30.80"
"Alexander Lind Rasmussen";"Silkeborg IF v Hvidovre IF";"CF";"84.55";"11363.1";"1430.6";"504.6";"202.2";"706.8";"43.6";"9.6";"53.2";"76.6";"2.1";"67.1";"14.9";"30.10"
"Alexander Lind Rasmussen";"FC Copenhagen v Silkeborg IF";"CF";"66.80";"11479.0";"1552.1";"697.9";"154.9";"852.8";"59.3";"9.4";"68.7";"93.0";"4.0";"76.8";"18.9";"27.00"
"Alexander Lind Rasmussen";"Silkeborg IF v FC Nordsjaelland";"CF";"75.01";"11470.5";"1481.8";"603.5";"170.4";"773.9";"42.0";"13.2";"55.2";"85.2";"4.8";"87.6";"24.0";"28.50"
"Alexander Lind Rasmussen";"Viborg FF v Silkeborg IF";"CF";"74.58";"10956.2";"1448.1";"798.9";"252.2";"1051.1";"65.2";"13.3";"78.4";"71.2";"10.9";"71.2";"14.5";"28.20"
"Alexander Lind Rasmussen";"Silkeborg IF v Randers FC";"CF";"66.57";"11932.4";"1753.5";"954.5";"278.5";"1233.0";"73.0";"16.2";"89.2";"100.0";"2.7";"75.7";"13.5";"28.60"
"Alexander Lind Rasmussen";"Vejle Boldklub v Silkeborg IF";"CF";"90.70";"10617.4";"1450.7";"727.3";"142.9";"870.2";"58.5";"8.9";"67.5";"68.5";"2.0";"66.5";"14.9";"26.80"
"Alexander Lind Rasmussen";"FC Nordsjaelland v Silkeborg IF";"CF";"94.62";"11690.9";"1485.7";"847.5";"240.6";"1088.1";"68.5";"10.5";"78.9";"77.0";"5.7";"70.4";"13.3";"30.40"
"Alexander Lind Rasmussen";"Silkeborg IF v AGF";"CF";"100.73";"11055.0";"1333.1";"527.2";"126.0";"653.1";"47.4";"8.0";"55.4";"92.0";"6.3";"73.3";"13.4";"28.70"
"Alexander Lind Rasmussen";"Silkeborg IF v AGF";"CF";"67.16";"11426.9";"1459.4";"570.9";"164.8";"735.7";"42.9";"9.4";"52.3";"72.4";"2.7";"84.4";"12.1";"27.40"
