"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Alan Steve Minda García";"Racing White Daring Molenbeek v KSV Cercle Brugge";"LF";"73.60";"9443.9";"1383.0";"572.3";"194.4";"766.7";"53.8";"13.5";"67.3";"95.4";"12.2";"78.3";"23.2";"30.10"
"Alan Steve Minda García";"KSV Cercle Brugge v Oud-Heverlee Leuven";"LW";"67.97";"9321.8";"1583.6";"756.1";"180.1";"936.1";"66.2";"14.6";"80.8";"90.0";"9.3";"76.8";"19.9";"27.40"
"Alan Steve Minda García";"KSV Cercle Brugge v KAS Eupen";"RW";"73.92";"9989.9";"1595.0";"747.6";"334.8";"1082.4";"64.5";"14.6";"79.1";"73.1";"8.5";"80.4";"19.5";"30.30"
"Alan Steve Minda García";"KSV Cercle Brugge v Royal Antwerp FC";"RW";"76.41";"10094.2";"1666.7";"684.3";"246.2";"930.5";"67.1";"11.8";"78.9";"94.2";"8.2";"81.3";"17.7";"28.30"
"Alan Steve Minda García";"KSV Cercle Brugge v KV Kortrijk";"RW";"86.10";"9017.8";"1333.8";"561.3";"353.3";"914.6";"59.6";"13.6";"73.2";"90.9";"10.5";"73.2";"19.9";"32.30"
"Alan Steve Minda García";"KRC Genk v KSV Cercle Brugge";"LF";"73.92";"9981.3";"1388.0";"619.7";"431.0";"1050.7";"54.8";"19.5";"74.3";"115.7";"3.7";"73.1";"23.1";"33.60"
"Alan Steve Minda García";"KSV Cercle Brugge v Standard de Liège";"LW";"86.93";"9553.9";"1423.6";"690.6";"163.6";"854.1";"55.9";"11.4";"67.3";"88.0";"15.5";"76.6";"18.6";"27.60"
"Alan Steve Minda García";"KVC Westerlo v KSV Cercle Brugge";"LW";"75.99";"9833.8";"1444.9";"741.4";"358.9";"1100.3";"56.8";"18.9";"75.8";"80.5";"5.9";"77.0";"11.8";"31.20"
"Alan Steve Minda García";"KSV Cercle Brugge v Sint-Truidense VV";"RW";"70.70";"10544.1";"1742.7";"696.3";"272.4";"968.7";"68.7";"15.3";"84.0";"81.5";"7.6";"85.3";"17.8";"29.10"
"Alan Steve Minda García";"KSV Cercle Brugge v KV Mechelen";"RW";"102.36";"9940.8";"1587.9";"748.2";"363.1";"1111.4";"59.8";"22.0";"81.8";"87.9";"6.2";"80.0";"15.8";"32.60"
"Alan Steve Minda García";"KAS Eupen v KSV Cercle Brugge";"RW";"87.23";"9799.6";"1374.3";"478.7";"217.7";"696.4";"45.4";"11.3";"56.7";"123.8";"19.6";"101.1";"18.6";"28.30"
"Alan Steve Minda García";"Sporting Charleroi v KSV Cercle Brugge";"RW";"94.21";"9523.5";"1288.7";"411.7";"218.8";"630.5";"44.9";"9.6";"54.5";"83.1";"4.8";"73.6";"13.4";"31.70"
"Alan Steve Minda García";"KSV Cercle Brugge v Racing White Daring Molenbeek";"RW";"98.27";"9306.8";"1239.1";"627.4";"172.2";"799.5";"52.2";"10.1";"62.3";"79.7";"11.9";"68.7";"17.4";"30.00"
"Alan Steve Minda García";"KSV Cercle Brugge v Club Brugge KV";"RW";"80.85";"8656.0";"1311.3";"584.4";"243.8";"828.2";"56.8";"11.1";"67.9";"103.5";"11.1";"82.4";"17.8";"28.90"
"Alan Steve Minda García";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"LW";"84.21";"9368.7";"1262.2";"586.7";"270.4";"857.1";"52.4";"12.8";"65.2";"95.1";"13.9";"84.4";"15.0";"32.90"
"Alan Steve Minda García";"KRC Genk v KSV Cercle Brugge";"RW";"88.05";"9836.1";"1567.0";"664.4";"172.7";"837.1";"58.3";"12.3";"70.5";"79.7";"13.3";"77.7";"19.4";"28.40"
