"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Abdoulaye Niakhate N'Diaye";"ES Troyes AC v US Concarneau";"LCB";"97.94";"9580.8";"939.1";"316.1";"116.7";"432.8";"25.7";"5.5";"31.2";"76.3";"5.5";"69.8";"19.3";"29.10"
"Abdoulaye Niakhate N'Diaye";"Rodez Aveyron v ES Troyes AC";"LCB";"95.36";"9231.2";"1124.1";"297.3";"94.4";"391.7";"24.5";"4.7";"29.3";"65.1";"3.8";"58.5";"9.4";"31.00"
"Abdoulaye Niakhate N'Diaye";"ES Troyes AC v AS Saint-Étienne";"LCB";"95.17";"9814.2";"1017.5";"419.9";"216.6";"636.4";"30.3";"9.5";"39.7";"70.9";"7.6";"56.7";"8.5";"32.70"
"Abdoulaye Niakhate N'Diaye";"ES Troyes AC v AJ Auxerre";"LCB";"96.90";"8987.9";"1004.0";"444.0";"134.7";"578.6";"39.9";"9.3";"49.2";"85.4";"1.9";"59.4";"13.9";"29.00"
"Abdoulaye Niakhate N'Diaye";"FC Annecy v ES Troyes AC";"LCB";"94.85";"9483.0";"931.8";"218.2";"38.0";"256.2";"20.9";"2.8";"23.7";"79.7";"9.5";"61.7";"9.5";"26.60"
"Abdoulaye Niakhate N'Diaye";"Paris FC v ES Troyes AC";"LCB";"94.63";"9584.0";"1127.0";"413.7";"130.3";"544.0";"34.2";"8.6";"42.8";"85.6";"8.6";"75.1";"10.5";"31.40"
"Abdoulaye Niakhate N'Diaye";"ES Troyes AC v US Quevilly-Rouen";"LCB";"100.52";"9098.5";"1156.8";"423.5";"128.0";"551.5";"33.1";"6.3";"39.4";"68.0";"7.2";"51.9";"11.6";"28.30"
"Abdoulaye Niakhate N'Diaye";"SC Bastia v ES Troyes AC";"LCB";"105.12";"8523.1";"835.6";"262.0";"61.6";"323.6";"17.1";"4.3";"21.4";"50.5";"4.3";"47.1";"11.1";"26.80"
"Abdoulaye Niakhate N'Diaye";"ES Troyes AC v Stade Lavallois Mayenne FC";"LCB";"101.48";"9471.8";"1007.5";"312.2";"77.2";"389.3";"31.9";"5.3";"37.2";"63.0";"3.5";"53.2";"9.8";"26.60"
"Abdoulaye Niakhate N'Diaye";"Dunkerque v ES Troyes AC";"LCB";"99.20";"9192.3";"1171.3";"470.0";"104.3";"574.3";"33.6";"13.6";"47.2";"100.7";"10.9";"88.0";"11.8";"29.50"
"Abdoulaye Niakhate N'Diaye";"ES Troyes AC v SM Caen";"LCB";"98.22";"8983.5";"1022.6";"274.9";"61.4";"336.3";"24.7";"4.6";"29.3";"64.1";"5.5";"55.0";"10.1";"26.70"
"Abdoulaye Niakhate N'Diaye";"AC Ajaccio v ES Troyes AC";"LCB";"97.81";"8727.6";"834.6";"244.8";"103.1";"347.8";"23.9";"3.7";"27.6";"66.3";"7.4";"58.0";"10.1";"29.20"
"Abdoulaye Niakhate N'Diaye";"Girondins de Bordeaux v ES Troyes AC";"LCB";"101.98";"8806.7";"1015.8";"386.5";"113.8";"500.4";"29.1";"10.6";"39.7";"43.2";"14.1";"46.8";"14.1";"30.10"
