"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Antonio Eromonsele Nordby Nusa";"KV Kortrijk v Club Brugge KV";"LW";"64.03";"9832.1";"1311.4";"404.8";"201.0";"605.8";"47.8";"9.8";"57.6";"115.3";"15.5";"85.7";"18.3";"30.20"
"Antonio Eromonsele Nordby Nusa";"KAA Gent v Club Brugge KV";"LWB";"102.70";"9613.4";"1181.3";"549.5";"167.4";"716.8";"45.6";"10.5";"56.1";"85.0";"6.1";"65.7";"18.4";"29.20"
"Antonio Eromonsele Nordby Nusa";"Club Brugge KV v Racing White Daring Molenbeek";"LW";"81.30";"10890.8";"1655.0";"662.0";"280.1";"942.1";"55.4";"15.5";"70.8";"87.5";"11.1";"81.9";"15.5";"30.60"
"Antonio Eromonsele Nordby Nusa";"Club Brugge KV v KA Akureyri";"LW";"93.20";"10908.2";"1633.9";"620.0";"134.2";"754.2";"57.9";"10.6";"68.6";"81.1";"10.6";"89.8";"18.3";"26.80"
"Antonio Eromonsele Nordby Nusa";"KVC Westerlo v Club Brugge KV";"LW";"92.57";"11153.5";"2055.3";"755.4";"250.8";"1006.3";"66.1";"16.5";"82.6";"88.5";"13.6";"85.6";"20.4";"30.10"
"Antonio Eromonsele Nordby Nusa";"Club Brugge KV v KV Mechelen";"LW";"84.01";"10313.4";"1461.3";"799.2";"188.5";"987.7";"73.9";"13.9";"87.8";"95.3";"8.6";"83.6";"15.0";"26.90"
"Antonio Eromonsele Nordby Nusa";"Club Brugge KV v AGF";"LW";"74.64";"11874.6";"1890.7";"774.1";"229.1";"1003.2";"61.5";"22.9";"84.4";"106.1";"13.3";"104.9";"19.3";"28.40"
"Antonio Eromonsele Nordby Nusa";"KA Akureyri v Club Brugge KV";"LW";"64.91";"10690.2";"1694.3";"721.0";"255.1";"976.1";"54.1";"15.3";"69.3";"77.6";"11.1";"66.6";"27.7";"28.20"
"Antonio Eromonsele Nordby Nusa";"Club Brugge KV v FK Bodo/Glimt";"LW";"61.71";"11238.7";"2053.5";"812.3";"377.7";"1190.1";"64.2";"14.6";"78.8";"115.2";"7.3";"100.6";"23.3";"30.10"
"Antonio Eromonsele Nordby Nusa";"Club Brugge KV v Royale Union Saint-Gilloise";"LW";"102.38";"9954.7";"1541.0";"658.4";"241.7";"900.2";"58.0";"14.1";"72.1";"87.0";"7.0";"73.0";"16.7";"30.00"
"Antonio Eromonsele Nordby Nusa";"Club Brugge KV v KAS Eupen";"AM";"83.75";"11038.6";"1882.7";"624.4";"179.5";"803.8";"51.6";"5.4";"57.0";"86.0";"7.5";"91.3";"15.0";"28.60"
"Antonio Eromonsele Nordby Nusa";"KSV Cercle Brugge v Club Brugge KV";"LF";"102.35";"9701.7";"1319.0";"528.5";"156.5";"685.0";"44.0";"10.6";"54.5";"83.5";"6.2";"78.3";"16.7";"28.90"
"Antonio Eromonsele Nordby Nusa";"Club Brugge KV v RSC Anderlecht";"LW";"92.30";"10231.5";"1562.1";"642.6";"124.8";"767.4";"57.5";"6.8";"64.4";"86.8";"9.8";"88.7";"19.5";"28.00"
"Antonio Eromonsele Nordby Nusa";"KSV Cercle Brugge v Club Brugge KV";"LF";"73.44";"8730.4";"1340.7";"515.9";"187.5";"703.4";"55.1";"12.3";"67.4";"121.3";"7.4";"85.8";"12.3";"29.60"
"Antonio Eromonsele Nordby Nusa";"Club Brugge KV v RSC Anderlecht";"LW";"90.31";"10639.4";"1661.3";"731.5";"318.9";"1050.4";"63.8";"14.9";"78.7";"82.7";"7.0";"77.7";"19.9";"30.60"
