"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Alvyn Antonio Sanches";"Servette FC v FC Lausanne-Sports";"RF";"98.30";"10079.5";"1441.1";"453.2";"89.7";"542.9";"48.5";"7.3";"55.8";"97.0";"5.5";"77.8";"14.6";"27.20"
"Alvyn Antonio Sanches";"Lugano v FC Lausanne-Sports";"CF";"98.20";"11079.5";"1722.1";"776.3";"160.4";"936.7";"71.5";"8.2";"79.7";"97.1";"12.8";"72.4";"21.1";"27.80"
"Alvyn Antonio Sanches";"FC Stade Lausanne-Ouchy v FC Lausanne-Sports";"RF";"72.50";"10985.0";"1850.9";"818.1";"232.1";"1050.2";"75.7";"14.9";"90.6";"101.8";"3.7";"70.8";"17.4";"28.80"
"Alvyn Antonio Sanches";"FC Lausanne-Sports v FC Luzern";"RF";"100.69";"10486.4";"1579.4";"724.9";"302.1";"1027.0";"57.2";"14.3";"71.5";"83.1";"4.5";"70.6";"15.2";"29.60"
"Alvyn Antonio Sanches";"FC St. Gallen v FC Lausanne-Sports";"RF";"90.78";"9273.6";"1263.1";"542.3";"202.2";"744.5";"47.6";"11.9";"59.5";"86.3";"5.0";"71.4";"20.8";"28.50"
"Alvyn Antonio Sanches";"FC Lausanne-Sports v FC Winterthur";"RF";"95.11";"10673.0";"1643.7";"544.1";"160.9";"705.0";"45.4";"9.5";"54.9";"88.9";"5.7";"67.2";"13.2";"27.40"
"Alvyn Antonio Sanches";"FC Lausanne-Sports v FC Basel";"RM";"95.64";"10199.8";"1652.4";"610.7";"134.6";"745.3";"42.3";"6.6";"48.9";"80.0";"6.6";"65.9";"11.3";"28.00"
"Alvyn Antonio Sanches";"FC Basel v FC Lausanne-Sports";"RF";"95.50";"10001.8";"1413.6";"638.0";"150.8";"788.8";"54.7";"10.4";"65.0";"96.1";"7.5";"71.6";"13.2";"27.80"
"Alvyn Antonio Sanches";"FC Lausanne-Sports v Yverdon Sport FC";"RF";"75.25";"10469.9";"1700.7";"619.5";"179.4";"798.9";"62.2";"9.6";"71.8";"102.9";"8.4";"80.1";"16.7";"29.60"
"Alvyn Antonio Sanches";"FC Lausanne-Sports v Grasshopper Club Zürich";"RF";"94.32";"11388.4";"1826.3";"999.0";"331.1";"1330.2";"78.2";"16.2";"94.5";"92.6";"8.6";"69.7";"23.9";"28.40"
"Alvyn Antonio Sanches";"BSC Young Boys v FC Lausanne-Sports";"RF";"77.63";"11277.0";"1908.3";"701.4";"176.2";"877.6";"63.8";"10.4";"74.2";"97.4";"7.0";"83.5";"18.5";"27.20"
"Alvyn Antonio Sanches";"FC Lausanne-Sports v Lugano";"RF";"84.83";"11066.7";"1871.5";"640.8";"94.4";"735.2";"57.3";"9.5";"66.8";"88.1";"7.4";"84.9";"13.8";"27.80"
"Alvyn Antonio Sanches";"Yverdon Sport FC v FC Lausanne-Sports";"RM";"100.05";"10300.7";"1743.3";"641.4";"108.8";"750.2";"52.2";"9.0";"61.2";"76.5";"5.4";"71.1";"16.2";"26.20"
"Alvyn Antonio Sanches";"FC Lausanne-Sports v FC Zürich";"RF";"72.98";"11388.7";"1833.8";"789.3";"266.4";"1055.6";"67.8";"17.3";"85.1";"90.0";"11.1";"70.3";"25.9";"29.40"
"Alvyn Antonio Sanches";"Grasshopper Club Zürich v FC Lausanne-Sports";"RF";"65.67";"11295.6";"1931.0";"727.7";"204.2";"931.9";"65.8";"13.7";"79.5";"106.9";"5.5";"90.5";"23.3";"26.90"
"Alvyn Antonio Sanches";"FC Luzern v FC Lausanne-Sports";"RF";"96.73";"10469.1";"1829.2";"684.8";"195.4";"880.2";"56.8";"10.2";"67.0";"91.2";"10.2";"78.2";"21.4";"28.30"
