"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Andreas Skov Olsen";"KV Kortrijk v Club Brugge KV";"RW";"97.35";"10156.5";"1421.0";"576.0";"197.8";"773.8";"44.4";"12.9";"57.3";"98.9";"11.1";"86.9";"21.3";"27.70"
"Andreas Skov Olsen";"Standard de Liège v Club Brugge KV";"RW";"102.82";"9478.8";"1316.5";"434.2";"110.3";"544.4";"41.1";"7.9";"49.0";"92.8";"7.0";"84.0";"14.0";"27.80"
"Andreas Skov Olsen";"Club Brugge KV v Sint-Truidense VV";"RW";"98.42";"10289.4";"1506.1";"673.0";"262.4";"935.5";"63.1";"16.5";"79.6";"97.8";"8.2";"80.5";"15.5";"29.20"
"Andreas Skov Olsen";"Club Brugge KV v KRC Genk";"RW";"102.25";"10322.9";"1634.5";"788.7";"287.8";"1076.5";"64.3";"15.8";"80.1";"96.8";"6.2";"76.6";"16.7";"27.50"
"Andreas Skov Olsen";"RSC Anderlecht v Club Brugge KV";"RW";"80.18";"11407.7";"1857.7";"776.8";"168.4";"945.1";"65.1";"11.2";"76.3";"119.0";"6.7";"96.5";"13.5";"28.00"
"Andreas Skov Olsen";"Club Brugge KV v Sporting Charleroi";"RW";"82.77";"11144.3";"2035.5";"919.9";"239.2";"1159.1";"75.0";"10.9";"85.9";"103.3";"6.5";"93.5";"17.4";"28.00"
"Andreas Skov Olsen";"Club Brugge KV v Royal Antwerp FC";"RW";"92.70";"10292.2";"1472.8";"546.6";"197.1";"743.7";"50.5";"9.7";"60.2";"94.2";"7.8";"93.2";"14.6";"29.40"
"Andreas Skov Olsen";"Club Brugge KV v Racing White Daring Molenbeek";"RW";"96.75";"11560.9";"2074.4";"952.6";"240.0";"1192.6";"73.5";"15.8";"89.3";"94.0";"5.6";"80.9";"15.8";"27.40"
"Andreas Skov Olsen";"KAS Eupen v Club Brugge KV";"RW";"95.43";"10918.3";"1829.6";"753.5";"233.9";"987.4";"78.3";"15.1";"93.4";"119.8";"8.5";"108.5";"19.8";"28.50"
"Andreas Skov Olsen";"KVC Westerlo v Club Brugge KV";"RW";"85.32";"10923.0";"1824.9";"635.0";"231.0";"866.0";"58.0";"9.5";"67.5";"96.0";"13.7";"96.0";"22.2";"30.90"
"Andreas Skov Olsen";"Royale Union Saint-Gilloise v Club Brugge KV";"RF";"99.22";"9607.7";"1451.3";"483.5";"96.1";"579.6";"40.8";"7.3";"48.1";"98.9";"6.3";"79.8";"16.3";"27.00"
"Andreas Skov Olsen";"Club Brugge KV v KAA Gent";"RW";"98.35";"11795.6";"2295.1";"863.9";"290.1";"1153.9";"72.3";"14.6";"86.9";"110.7";"9.2";"99.7";"23.8";"29.30"
"Andreas Skov Olsen";"Racing White Daring Molenbeek v Club Brugge KV";"RW";"69.38";"9853.6";"1628.0";"739.4";"177.7";"917.1";"51.9";"10.4";"62.3";"96.0";"7.8";"81.7";"22.1";"28.40"
"Andreas Skov Olsen";"Club Brugge KV v Royale Union Saint-Gilloise";"RW";"88.08";"10475.5";"1819.8";"603.9";"288.1";"892.0";"55.2";"14.3";"69.5";"97.1";"10.2";"83.8";"14.3";"33.50"
"Andreas Skov Olsen";"Club Brugge KV v KVC Westerlo";"RW";"86.17";"10700.4";"1968.8";"644.4";"161.9";"806.3";"59.5";"10.4";"70.0";"110.7";"7.3";"81.5";"16.7";"29.40"
"Andreas Skov Olsen";"Sporting Charleroi v Club Brugge KV";"RW";"84.80";"10878.5";"1935.8";"619.8";"147.5";"767.3";"57.3";"8.5";"65.8";"107.2";"4.2";"90.2";"19.1";"28.70"
"Andreas Skov Olsen";"Club Brugge KV v KV Kortrijk";"RF";"94.75";"10649.0";"1756.3";"593.7";"197.6";"791.2";"53.2";"11.4";"64.6";"107.3";"8.5";"90.2";"17.1";"28.30"
"Andreas Skov Olsen";"Royal Antwerp FC v Club Brugge KV";"RF";"89.38";"10802.4";"1952.5";"558.8";"117.8";"676.7";"51.4";"6.0";"57.4";"116.8";"5.0";"95.7";"13.1";"29.00"
"Andreas Skov Olsen";"Club Brugge KV v KAS Eupen";"RW";"97.15";"10622.1";"1803.7";"658.7";"101.0";"759.7";"62.1";"9.3";"71.3";"94.5";"9.3";"88.0";"21.3";"26.20"
"Andreas Skov Olsen";"KSV Cercle Brugge v Club Brugge KV";"RF";"102.35";"9785.2";"1457.9";"558.4";"234.8";"793.2";"58.0";"9.7";"67.7";"96.7";"7.9";"72.1";"17.6";"31.90"
"Andreas Skov Olsen";"Club Brugge KV v RSC Anderlecht";"RW";"99.33";"10322.0";"1516.8";"713.1";"275.4";"988.5";"65.2";"16.3";"81.5";"91.5";"7.2";"77.0";"15.4";"29.00"
"Andreas Skov Olsen";"KRC Genk v Club Brugge KV";"RF";"92.78";"9810.0";"1538.5";"649.9";"193.0";"843.0";"57.2";"11.6";"68.9";"112.5";"6.8";"89.2";"17.5";"29.70"
"Andreas Skov Olsen";"Club Brugge KV v Oud-Heverlee Leuven";"RW";"89.08";"10299.3";"1635.7";"700.2";"159.6";"859.8";"60.6";"11.1";"71.7";"85.9";"7.1";"78.8";"9.1";"27.40"
