"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Arthur Vermeeren";"KV Mechelen v Royal Antwerp FC";"96.05";"12224.3";"2194.5";"869.5";"185.5";"1055.1";"64.7";"10.3";"75.0";"104.0";"1.9";"92.8";"13.1";"27.80"
"Arthur Vermeeren";"Royal Antwerp FC v KAA Gent";"97.79";"11235.5";"1588.5";"641.5";"248.5";"890.0";"50.6";"10.1";"60.7";"83.8";"2.8";"95.7";"13.8";"30.20"
"Arthur Vermeeren";"Royal Antwerp FC v Racing White Daring Molenbeek";"98.86";"11275.0";"1919.1";"894.0";"206.7";"1100.6";"67.4";"13.7";"81.0";"96.5";"2.7";"91.0";"17.3";"28.30"
"Arthur Vermeeren";"Sporting Charleroi v Royal Antwerp FC";"100.72";"10871.1";"1668.3";"576.4";"162.6";"739.0";"48.3";"8.9";"57.2";"91.1";"2.7";"81.3";"12.5";"27.00"
"Arthur Vermeeren";"Royal Antwerp FC v KAS Eupen";"98.22";"10731.8";"1812.5";"640.5";"201.6";"842.1";"55.0";"11.0";"66.0";"111.8";"3.7";"96.2";"10.1";"28.50"
"Arthur Vermeeren";"KVC Westerlo v Royal Antwerp FC";"87.15";"11722.2";"2274.0";"762.1";"229.3";"991.4";"68.2";"10.3";"78.5";"92.9";"5.2";"91.9";"16.5";"27.60"
"Arthur Vermeeren";"Club Brugge KV v Royal Antwerp FC";"97.63";"10822.5";"1575.4";"625.9";"86.7";"712.6";"40.6";"8.3";"48.9";"85.7";"4.6";"81.1";"11.1";"27.10"
"Arthur Vermeeren";"Royale Union Saint-Gilloise v Royal Antwerp FC";"101.12";"10012.9";"1364.4";"454.8";"230.5";"685.3";"39.2";"8.0";"47.2";"71.2";"3.6";"65.0";"8.0";"28.30"
"Arthur Vermeeren";"Oud-Heverlee Leuven v Royal Antwerp FC";"89.43";"10476.4";"1645.4";"685.3";"116.7";"802.1";"51.3";"6.0";"57.4";"90.6";"3.0";"69.4";"11.1";"27.90"
"Arthur Vermeeren";"Royal Antwerp FC v KV Kortrijk";"95.32";"10737.3";"1617.4";"484.4";"103.9";"588.2";"41.5";"6.6";"48.2";"85.0";"2.8";"85.0";"8.5";"27.80"
"Arthur Vermeeren";"RSC Anderlecht v Royal Antwerp FC";"103.34";"11309.7";"1801.0";"708.1";"193.3";"901.4";"57.5";"11.3";"68.8";"89.7";"1.7";"101.0";"13.9";"27.90"
"Arthur Vermeeren";"Royal Antwerp FC v KSV Cercle Brugge";"97.67";"10966.4";"1963.7";"823.8";"267.2";"1091.0";"55.3";"12.0";"67.3";"92.1";"3.7";"82.9";"13.8";"29.40"
"Arthur Vermeeren";"Royal Antwerp FC v KRC Genk";"106.83";"10404.4";"1785.2";"654.6";"166.0";"820.6";"52.2";"7.6";"59.8";"95.2";"1.7";"88.5";"11.0";"28.00"
"Arthur Vermeeren";"Royal Antwerp FC v Standard de Liège";"97.24";"10785.4";"1863.1";"660.8";"130.5";"791.3";"55.5";"8.3";"63.9";"96.3";"3.7";"81.4";"13.9";"27.90"
"Arthur Vermeeren";"Sint-Truidense VV v Royal Antwerp FC";"101.95";"12093.3";"2449.7";"900.4";"122.7";"1023.1";"73.3";"8.8";"82.1";"105.9";"2.6";"85.6";"15.0";"25.90"
"Arthur Vermeeren";"Royal Antwerp FC v Oud-Heverlee Leuven";"100.34";"10549.0";"1576.8";"588.4";"173.1";"761.5";"49.3";"11.7";"61.0";"104.0";"2.7";"91.5";"17.9";"28.10"
"Arthur Vermeeren";"KSV Cercle Brugge v Royal Antwerp FC";"84.48";"10044.0";"1768.5";"589.1";"107.6";"696.7";"62.9";"8.5";"71.4";"103.3";"6.4";"85.2";"13.8";"26.70"
"Arthur Vermeeren";"Royal Antwerp FC v RSC Anderlecht";"98.73";"11170.5";"1969.0";"670.9";"219.7";"890.6";"54.7";"12.8";"67.5";"93.0";"2.7";"84.8";"10.9";"27.80"
"Arthur Vermeeren";"Royal Antwerp FC v KVC Westerlo";"99.64";"10988.1";"1754.1";"697.3";"293.6";"990.9";"52.4";"13.5";"65.9";"92.1";"1.8";"87.6";"16.3";"29.00"
"Arthur Vermeeren";"KRC Genk v Royal Antwerp FC";"97.90";"10636.4";"1796.3";"673.9";"317.2";"991.0";"60.7";"12.0";"72.6";"93.8";"7.4";"83.7";"15.6";"29.70"
"Arthur Vermeeren";"Royal Antwerp FC v Sporting Charleroi";"95.56";"12314.3";"2223.6";"849.5";"269.4";"1118.9";"62.2";"14.1";"76.3";"102.7";"2.8";"109.3";"18.8";"27.90"
