"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Alhassan Yusuf";"Club Brugge KV v Royal Antwerp FC";"97.63";"11175.6";"1882.4";"578.9";"115.2";"694.2";"44.2";"9.2";"53.5";"80.2";"4.6";"72.8";"7.4";"26.50"
"Alhassan Yusuf";"RSC Anderlecht v Royal Antwerp FC";"103.34";"11225.2";"1812.4";"493.8";"139.3";"633.2";"42.7";"9.6";"52.3";"77.5";"3.5";"83.6";"13.1";"27.60"
"Alhassan Yusuf";"Royal Antwerp FC v KSV Cercle Brugge";"97.67";"10764.6";"1796.9";"587.9";"217.5";"805.4";"48.8";"10.1";"59.0";"90.3";"2.8";"70.0";"12.9";"27.50"
"Alhassan Yusuf";"Royal Antwerp FC v KRC Genk";"106.83";"10288.1";"1702.6";"641.1";"106.1";"747.3";"52.2";"7.6";"59.8";"90.1";"1.7";"89.3";"13.5";"26.60"
"Alhassan Yusuf";"Royal Antwerp FC v Standard de Liège";"97.24";"10373.5";"1384.6";"403.5";"37.0";"440.6";"27.8";"4.6";"32.4";"87.9";"3.7";"85.2";"11.1";"25.90"
"Alhassan Yusuf";"Sint-Truidense VV v Royal Antwerp FC";"68.33";"11903.0";"1978.3";"723.1";"98.8";"821.9";"63.2";"6.6";"69.8";"105.4";"10.5";"90.9";"21.1";"27.40"
"Alhassan Yusuf";"Royal Antwerp FC v Oud-Heverlee Leuven";"68.30";"10487.7";"1589.2";"425.6";"44.8";"470.4";"40.8";"6.6";"47.4";"98.8";"2.6";"97.5";"11.9";"25.70"
"Alhassan Yusuf";"KAA Gent v Royal Antwerp FC";"81.62";"12297.0";"2402.7";"803.8";"120.2";"924.0";"61.7";"8.8";"70.6";"115.8";"5.5";"91.5";"18.7";"26.70"
"Alhassan Yusuf";"Royal Antwerp FC v Sint-Truidense VV";"90.79";"12728.3";"2404.9";"857.5";"171.5";"1029.0";"58.5";"9.9";"68.4";"98.1";"2.0";"94.2";"22.8";"26.90"
"Alhassan Yusuf";"KV Kortrijk v Royal Antwerp FC";"96.28";"10401.2";"1300.3";"361.8";"94.4";"456.2";"24.3";"5.6";"29.9";"90.7";"4.7";"79.5";"12.2";"26.90"
"Alhassan Yusuf";"Royal Antwerp FC v Royale Union Saint-Gilloise";"89.75";"12376.4";"2516.0";"812.3";"92.3";"904.5";"61.2";"2.0";"63.2";"109.3";"4.0";"110.3";"15.0";"25.40"
"Alhassan Yusuf";"RSC Anderlecht v Royal Antwerp FC";"100.47";"11270.8";"2091.7";"657.5";"180.9";"838.5";"46.6";"8.1";"54.6";"92.3";"2.7";"92.3";"15.2";"28.90"
