"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Ajdin Zeljković";"IFK Göteborg v IFK Värnamo";"CF";"95.70";"10932.6";"1556.4";"448.6";"114.7";"563.3";"39.5";"3.8";"43.3";"63.0";"0.9";"72.4";"13.2";"27.10"
"Ajdin Zeljković";"IFK Värnamo v Mjällby AIF";"RF";"101.75";"10494.8";"1438.2";"404.2";"68.1";"472.3";"31.0";"4.4";"35.4";"84.0";"8.0";"72.5";"13.3";"26.10"
"Ajdin Zeljković";"IFK Norrköping v IFK Värnamo";"CF";"68.12";"10851.0";"1533.9";"713.4";"202.1";"915.6";"70.0";"11.9";"81.9";"84.6";"9.2";"83.2";"10.6";"28.00"
"Ajdin Zeljković";"IFK Värnamo v AIK";"CF";"86.79";"11342.6";"1655.0";"670.9";"236.4";"907.4";"60.1";"14.5";"74.7";"84.0";"10.4";"99.6";"11.4";"28.30"
"Ajdin Zeljković";"BK Hacken v IFK Värnamo";"CF";"72.72";"11474.0";"1409.7";"626.2";"104.0";"730.2";"64.4";"6.2";"70.5";"90.3";"5.0";"97.8";"13.6";"26.90"
"Ajdin Zeljković";"IFK Värnamo v Kalmar FF";"LW";"96.23";"11005.2";"1845.3";"622.9";"173.0";"795.9";"38.3";"16.8";"55.2";"66.4";"6.5";"69.2";"16.8";"28.00"
"Ajdin Zeljković";"Hammarby IF v IFK Värnamo";"CF";"74.95";"12425.9";"1696.7";"641.2";"63.6";"704.9";"50.4";"6.0";"56.4";"98.5";"7.2";"86.5";"13.2";"27.80"
"Ajdin Zeljković";"IF Elfsborg v IFK Värnamo";"AM";"74.27";"12033.1";"2238.2";"690.7";"76.3";"767.1";"73.9";"6.1";"80.0";"103.0";"3.6";"103.0";"9.7";"25.60"
"Ajdin Zeljković";"IK Sirius v IFK Värnamo";"CF";"102.07";"10422.3";"1293.5";"371.2";"33.5";"404.7";"40.6";"2.6";"43.2";"82.9";"3.5";"77.6";"15.9";"24.20"
"Ajdin Zeljković";"Halmstads BK v IFK Värnamo";"CF";"76.00";"11296.2";"1622.4";"499.7";"91.2";"590.9";"33.2";"5.9";"39.1";"81.7";"2.4";"80.5";"15.4";"26.90"
"Ajdin Zeljković";"Malmo FF v IFK Värnamo";"CF";"63.82";"12244.9";"2157.6";"552.8";"110.0";"662.8";"39.5";"4.2";"43.7";"101.5";"1.4";"80.4";"18.3";"27.50"
"Ajdin Zeljković";"IF Brommapojkarna v IFK Värnamo";"CF";"70.60";"12448.3";"1868.8";"646.3";"126.2";"772.5";"58.6";"7.6";"66.3";"103.3";"1.3";"96.9";"12.7";"26.80"
"Ajdin Zeljković";"IFK Värnamo v IF Elfsborg";"CF";"69.85";"11160.8";"1587.4";"764.1";"296.3";"1060.4";"63.1";"15.5";"78.6";"77.3";"10.3";"78.6";"16.8";"30.10"
"Ajdin Zeljković";"Djurgardens IF v IFK Värnamo";"CF";"79.47";"11961.5";"1876.6";"756.5";"201.6";"958.1";"66.8";"9.1";"75.9";"128.0";"9.1";"109.9";"14.7";"28.80"
"Ajdin Zeljković";"Mjällby AIF v IFK Värnamo";"CF";"62.01";"11545.7";"1696.7";"661.8";"194.5";"856.3";"59.5";"11.6";"71.1";"123.4";"7.3";"106.0";"10.2";"28.50"
"Ajdin Zeljković";"Kalmar FF v IFK Värnamo";"CF";"90.00";"13012.0";"2262.0";"721.0";"136.0";"857.0";"55.0";"6.0";"61.0";"85.0";"0.0";"94.0";"11.0";"27.70"
"Ajdin Zeljković";"IFK Värnamo v Hammarby IF";"CF";"72.32";"11983.0";"1765.9";"630.9";"115.7";"746.7";"56.0";"10.0";"66.0";"113.2";"0.0";"100.8";"14.9";"27.10"
"Ajdin Zeljković";"IF Elfsborg v IFK Värnamo";"CF";"89.79";"12235.5";"1981.6";"698.6";"109.3";"807.9";"63.1";"9.0";"72.2";"102.2";"4.0";"101.2";"18.0";"26.70"
"Ajdin Zeljković";"IFK Värnamo v GAIS";"CF";"98.66";"10906.5";"1783.4";"403.2";"33.8";"437.0";"41.1";"1.8";"42.9";"82.1";"2.7";"81.2";"10.0";"24.20"
"Ajdin Zeljković";"IFK Värnamo v Malmo FF";"CF";"92.70";"11889.3";"1919.4";"619.4";"178.6";"798.1";"44.7";"11.7";"56.3";"92.2";"9.7";"88.3";"13.6";"28.50"
"Ajdin Zeljković";"IK Sirius v IFK Värnamo";"LF";"87.46";"11997.6";"2173.3";"770.8";"149.2";"920.0";"76.1";"14.4";"90.6";"139.9";"8.2";"128.6";"17.5";"27.00"
"Ajdin Zeljković";"AIK v IFK Värnamo";"CF";"96.93";"11936.9";"1899.7";"412.3";"102.1";"514.4";"39.0";"4.6";"43.6";"133.7";"1.9";"91.9";"22.3";"29.10"
"Ajdin Zeljković";"IFK Värnamo v Halmstads BK";"CF";"97.80";"10476.1";"1338.0";"577.9";"217.2";"795.1";"52.5";"12.0";"64.4";"92.9";"6.4";"86.5";"15.6";"30.40"
