"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Bilal El Khannouss";"KRC Genk v KVC Westerlo";"AM";"97.10";"10228.1";"1604.4";"614.5";"275.3";"889.8";"45.4";"10.2";"55.6";"80.6";"4.6";"58.4";"8.3";"30.40"
"Bilal El Khannouss";"Club Brugge KV v KRC Genk";"AM";"86.19";"10826.3";"1712.5";"433.3";"104.4";"537.8";"42.8";"7.3";"50.1";"84.6";"1.0";"54.3";"11.5";"27.70"
"Bilal El Khannouss";"KRC Genk v Sint-Truidense VV";"AM";"101.27";"9695.0";"1246.0";"469.2";"163.5";"632.8";"40.9";"8.9";"49.8";"73.8";"3.6";"61.3";"6.2";"29.90"
"Bilal El Khannouss";"KRC Genk v Fiorentina";"AM";"91.11";"10249.6";"1396.8";"442.5";"104.7";"547.3";"37.5";"5.9";"43.5";"88.9";"2.0";"63.2";"4.9";"27.20"
"Bilal El Khannouss";"FK Cukaricki Belgrade v KRC Genk";"AM";"79.35";"10496.0";"1304.3";"530.8";"228.0";"758.8";"43.1";"10.2";"53.3";"79.4";"7.9";"68.1";"13.6";"29.90"
"Bilal El Khannouss";"KRC Genk v KV Mechelen";"AM";"81.44";"10966.0";"1689.7";"550.3";"195.6";"745.9";"51.9";"11.1";"63.0";"91.7";"3.3";"72.9";"11.1";"29.80"
"Bilal El Khannouss";"Royale Union Saint-Gilloise v KRC Genk";"AM";"80.74";"10294.2";"1252.9";"480.4";"214.0";"694.5";"39.0";"7.8";"46.8";"62.4";"3.3";"62.4";"6.7";"29.30"
"Bilal El Khannouss";"KRC Genk v Ferencvarosi TC";"AM";"98.14";"10559.0";"1661.7";"604.3";"160.5";"764.8";"55.0";"10.1";"65.1";"71.5";"6.4";"53.2";"11.9";"29.20"
"Bilal El Khannouss";"Adana Demirspor v KRC Genk";"AM";"113.64";"9075.2";"1102.4";"384.1";"154.4";"538.5";"33.3";"6.3";"39.6";"65.7";"1.6";"50.7";"4.8";"28.70"
"Bilal El Khannouss";"KRC Genk v Adana Demirspor";"AM";"105.07";"9830.0";"1281.4";"413.7";"209.0";"622.7";"35.1";"11.1";"46.3";"76.2";"3.4";"64.2";"9.4";"29.90"
"Bilal El Khannouss";"KRC Genk v Sporting Charleroi";"AM";"101.29";"9969.4";"1267.1";"389.2";"151.1";"540.2";"38.2";"7.1";"45.3";"64.0";"6.2";"49.8";"15.1";"30.30"
"Bilal El Khannouss";"KRC Genk v Olympiakos Le Pirée";"AM";"108.29";"9717.2";"1229.2";"348.2";"141.3";"489.5";"33.2";"6.6";"39.9";"70.6";"4.2";"48.2";"9.1";"28.80"
"Bilal El Khannouss";"Olympiakos Le Pirée v KRC Genk";"AM";"108.12";"9747.5";"1393.5";"392.9";"89.1";"482.0";"35.8";"5.0";"40.8";"64.1";"1.7";"58.3";"7.5";"27.90"
"Bilal El Khannouss";"KRC Genk v KAS Eupen";"AM";"98.18";"10946.1";"1572.1";"451.9";"148.5";"600.4";"40.3";"5.5";"45.8";"66.9";"4.6";"67.8";"9.2";"28.20"
"Bilal El Khannouss";"KRC Genk v Oud-Heverlee Leuven";"AM";"91.40";"10293.9";"1171.8";"498.2";"177.2";"675.5";"43.3";"9.8";"53.2";"74.8";"6.9";"58.1";"5.9";"29.50"
"Bilal El Khannouss";"KRC Genk v KAA Gent";"AM";"105.13";"10522.1";"1628.3";"630.1";"268.0";"898.0";"53.9";"17.1";"71.1";"102.7";"2.6";"71.9";"14.6";"29.40"
"Bilal El Khannouss";"KAA Gent v KRC Genk";"AM";"103.98";"10162.4";"1320.0";"455.3";"219.8";"675.1";"39.8";"11.3";"51.1";"77.9";"3.5";"58.0";"6.9";"31.30"
"Bilal El Khannouss";"KAS Eupen v KRC Genk";"AM";"85.51";"10244.1";"1314.6";"429.4";"191.6";"621.0";"38.9";"9.5";"48.4";"116.8";"5.3";"75.8";"9.5";"28.30"
"Bilal El Khannouss";"KRC Genk v FK Cukaricki Belgrade";"AM";"98.09";"9778.1";"1469.9";"579.0";"185.3";"764.3";"55.1";"11.0";"66.1";"87.2";"4.6";"65.1";"6.4";"28.50"
"Bilal El Khannouss";"KRC Genk v KV Kortrijk";"AM";"81.38";"10963.0";"1592.5";"702.3";"214.5";"916.8";"57.5";"16.6";"74.1";"88.5";"10.0";"64.1";"16.6";"29.00"
"Bilal El Khannouss";"RSC Anderlecht v KRC Genk";"AM";"98.19";"9976.2";"1383.1";"417.0";"143.0";"560.0";"37.6";"6.4";"44.0";"66.0";"2.7";"61.4";"7.3";"29.40"
"Bilal El Khannouss";"KRC Genk v Royale Union Saint-Gilloise";"AM";"95.74";"10253.1";"1337.7";"489.8";"192.7";"682.5";"36.7";"9.4";"46.1";"72.4";"3.8";"53.6";"8.5";"32.30"
"Bilal El Khannouss";"KRC Genk v Racing White Daring Molenbeek";"AM";"100.53";"10583.7";"1423.5";"527.3";"165.6";"692.9";"46.6";"11.6";"58.2";"68.0";"7.2";"63.6";"9.0";"28.10"
