"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Borys Krushynskyi";"FC Oleksandriya v Polissya Zhytomyr";"LDM";"60.00";"11470.5";"1585.5";"531.0";"204.0";"735.0";"40.5";"9.0";"49.5";"70.5";"4.5";"66.0";"16.5";"28.80"
"Borys Krushynskyi";"Polissya Zhytomyr v FC Rukh Lviv";"LM";"70.27";"10981.4";"1457.5";"471.3";"117.8";"589.2";"44.8";"7.7";"52.5";"84.5";"6.4";"71.7";"11.5";"27.30"
"Borys Krushynskyi";"FC Shakhtar Donetsk v Polissya Zhytomyr";"LDM";"68.32";"11691.3";"2030.0";"678.4";"208.1";"886.6";"56.6";"7.9";"64.5";"112.0";"6.6";"85.6";"14.5";"28.90"
"Borys Krushynskyi";"Polissya Zhytomyr v Veres Rivne";"LDM";"87.13";"11462.5";"1842.8";"708.6";"246.9";"955.5";"55.8";"10.3";"66.1";"90.9";"8.3";"85.7";"17.6";"29.90"
"Borys Krushynskyi";"FC Rukh Lviv v Polissya Zhytomyr";"LDM";"96.71";"11020.4";"1863.1";"680.3";"203.8";"884.1";"52.1";"10.2";"62.4";"65.1";"4.7";"79.1";"8.4";"30.10"
"Borys Krushynskyi";"Polissya Zhytomyr v LNZ Cherkasy FC";"LDM";"69.21";"12113.1";"2292.6";"892.1";"195.1";"1087.1";"68.9";"10.4";"79.3";"93.6";"5.2";"97.5";"20.8";"28.00"
"Borys Krushynskyi";"FC Obolon'-Brovar Kyiv v Polissya Zhytomyr";"LDM";"71.60";"11444.8";"2041.3";"716.5";"279.1";"995.5";"59.1";"10.1";"69.1";"94.3";"6.3";"84.2";"22.6";"28.40"
"Borys Krushynskyi";"Polissya Zhytomyr v FC Chernomorets Odessa";"LDM";"61.85";"11828.8";"2214.7";"694.1";"183.3";"877.4";"40.7";"8.7";"49.5";"81.5";"4.4";"69.8";"16.0";"27.70"
"Borys Krushynskyi";"Polissya Zhytomyr v FC Kolos Kovalivka";"DM";"82.65";"11990.2";"1786.9";"469.3";"127.4";"596.7";"40.3";"5.4";"45.7";"71.9";"6.5";"79.5";"17.4";"27.70"
"Borys Krushynskyi";"FC Dynamo Kyiv v Polissya Zhytomyr";"LM";"68.97";"12036.5";"2065.7";"819.5";"304.0";"1123.5";"58.7";"19.6";"78.3";"101.8";"3.9";"95.3";"15.7";"31.80"
