"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Brandon Mechele";"KV Kortrijk v Club Brugge KV";"RCB";"97.35";"10200.9";"1585.5";"576.9";"144.2";"721.1";"45.3";"10.2";"55.5";"100.8";"6.5";"77.7";"12.9";"27.80"
"Brandon Mechele";"Standard de Liège v Club Brugge KV";"RCB";"102.82";"9147.9";"1262.2";"336.1";"105.9";"442.0";"30.6";"7.9";"38.5";"95.4";"5.3";"69.1";"7.9";"28.10"
"Brandon Mechele";"Club Brugge KV v Sint-Truidense VV";"RCB";"86.22";"10499.0";"1626.3";"645.1";"265.1";"910.2";"57.4";"12.5";"69.9";"89.8";"4.2";"72.0";"12.5";"28.60"
"Brandon Mechele";"Club Brugge KV v KRC Genk";"RCB";"102.25";"10223.5";"1574.7";"545.7";"217.4";"763.1";"44.0";"9.7";"53.7";"88.0";"5.3";"74.8";"15.8";"28.30"
"Brandon Mechele";"RSC Anderlecht v Club Brugge KV";"RCB";"100.75";"10753.5";"1523.1";"460.9";"163.5";"624.4";"37.5";"10.7";"48.2";"117.0";"1.8";"85.8";"14.3";"29.20"
"Brandon Mechele";"Club Brugge KV v Sporting Charleroi";"RCB";"100.32";"9846.9";"1356.5";"472.8";"183.0";"655.8";"41.3";"10.8";"52.0";"99.6";"3.6";"65.5";"12.6";"28.50"
"Brandon Mechele";"Club Brugge KV v Royal Antwerp FC";"RCB";"97.63";"10016.8";"1430.7";"461.8";"45.2";"507.0";"42.4";"3.7";"46.1";"89.4";"6.5";"74.7";"12.0";"25.40"
"Brandon Mechele";"KAA Gent v Club Brugge KV";"RCB";"91.27";"10066.9";"1497.9";"566.0";"170.6";"736.6";"46.3";"9.9";"56.2";"91.7";"6.9";"74.0";"12.8";"27.20"
"Brandon Mechele";"Club Brugge KV v Racing White Daring Molenbeek";"RCB";"96.75";"9909.8";"1452.1";"394.4";"99.5";"494.0";"33.5";"5.6";"39.1";"75.3";"4.7";"61.4";"10.2";"26.90"
"Brandon Mechele";"KAS Eupen v Club Brugge KV";"RCB";"95.43";"9367.8";"1225.1";"348.9";"173.5";"522.5";"35.8";"8.5";"44.3";"109.4";"5.7";"88.7";"8.5";"28.80"
"Brandon Mechele";"KVC Westerlo v Club Brugge KV";"RCB";"95.65";"10489.5";"1722.8";"514.7";"128.0";"642.7";"43.3";"5.6";"48.9";"77.2";"7.5";"76.2";"15.1";"29.00"
"Brandon Mechele";"Club Brugge KV v KV Mechelen";"RCB";"101.31";"10910.9";"1702.1";"505.5";"271.0";"776.4";"42.6";"11.5";"54.2";"88.8";"4.4";"73.7";"12.4";"31.00"
"Brandon Mechele";"Royale Union Saint-Gilloise v Club Brugge KV";"RCB";"81.45";"9977.9";"1476.2";"361.3";"121.5";"482.9";"33.1";"8.8";"42.0";"98.3";"6.6";"79.6";"13.3";"27.40"
"Brandon Mechele";"Club Brugge KV v KSV Cercle Brugge";"LCB";"96.22";"9918.5";"1478.8";"471.4";"272.2";"743.6";"47.7";"8.4";"56.1";"87.0";"4.7";"64.5";"13.1";"30.80"
"Brandon Mechele";"Oud-Heverlee Leuven v Club Brugge KV";"LCB";"98.55";"10721.5";"1750.7";"524.2";"89.5";"613.7";"50.2";"6.4";"56.6";"119.6";"5.5";"88.6";"12.8";"27.10"
"Brandon Mechele";"Club Brugge KV v Standard de Liège";"LCB";"99.98";"9638.2";"1303.5";"360.1";"96.3";"456.4";"34.2";"6.3";"40.5";"84.6";"7.2";"69.3";"12.6";"27.80"
"Brandon Mechele";"KV Mechelen v Club Brugge KV";"LCB";"100.19";"9944.1";"1581.9";"480.6";"115.0";"595.6";"42.2";"6.3";"48.5";"95.2";"2.7";"71.9";"12.6";"28.50"
"Brandon Mechele";"Club Brugge KV v KAA Gent";"LCB";"98.35";"9607.6";"1301.3";"450.2";"105.2";"555.5";"40.3";"4.6";"44.8";"88.8";"6.4";"74.1";"15.6";"27.50"
"Brandon Mechele";"Racing White Daring Molenbeek v Club Brugge KV";"LCB";"100.78";"9217.0";"1165.4";"287.6";"151.8";"439.4";"28.6";"3.6";"32.1";"79.5";"7.1";"74.1";"7.1";"29.90"
"Brandon Mechele";"Club Brugge KV v Royale Union Saint-Gilloise";"LCB";"102.38";"9647.9";"1292.2";"345.5";"115.2";"460.6";"30.8";"2.6";"33.4";"99.3";"5.3";"75.6";"6.2";"27.80"
"Brandon Mechele";"Club Brugge KV v KVC Westerlo";"LCB";"96.33";"10405.2";"1575.2";"448.5";"83.2";"531.6";"39.2";"4.7";"43.9";"112.1";"3.7";"77.5";"14.0";"27.70"
"Brandon Mechele";"Sporting Charleroi v Club Brugge KV";"LCB";"101.10";"10419.9";"1623.7";"512.8";"144.2";"657.0";"51.6";"9.8";"61.4";"100.6";"6.2";"70.3";"13.4";"28.00"
"Brandon Mechele";"Club Brugge KV v KV Kortrijk";"LCB";"100.81";"10188.3";"1589.1";"430.3";"82.1";"512.4";"34.8";"5.4";"40.2";"92.8";"8.0";"76.8";"10.7";"26.70"
"Brandon Mechele";"Royal Antwerp FC v Club Brugge KV";"LCB";"105.02";"9211.7";"1242.6";"343.6";"95.1";"438.8";"31.7";"6.0";"37.7";"103.7";"2.6";"83.1";"9.4";"29.10"
"Brandon Mechele";"Club Brugge KV v KAS Eupen";"LCB";"97.15";"9554.0";"1345.1";"403.9";"156.6";"560.5";"36.1";"7.4";"43.5";"90.8";"7.4";"68.6";"15.7";"29.80"
"Brandon Mechele";"KSV Cercle Brugge v Club Brugge KV";"LCB";"107.44";"9214.4";"1236.4";"339.3";"201.0";"540.3";"31.8";"8.4";"40.2";"82.9";"7.5";"76.2";"13.4";"29.70"
