"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Bjorn Meijer";"Club Brugge KV v Royal Antwerp FC";"LB";"79.70";"10676.9";"1512.0";"632.4";"390.7";"1023.1";"47.4";"18.1";"65.5";"99.4";"11.3";"85.8";"23.7";"30.40"
"Bjorn Meijer";"Royale Union Saint-Gilloise v Club Brugge KV";"LB";"99.22";"9951.5";"1499.4";"600.5";"201.4";"801.9";"41.7";"10.9";"52.6";"107.0";"8.2";"78.9";"18.1";"29.90"
"Bjorn Meijer";"Club Brugge KV v KSV Cercle Brugge";"LB";"96.22";"10158.0";"1361.9";"507.9";"449.0";"956.9";"47.7";"14.0";"61.7";"104.8";"3.7";"84.2";"15.9";"31.20"
"Bjorn Meijer";"Club Brugge KV v KAA Gent";"LB";"98.35";"10875.0";"1679.2";"738.5";"378.9";"1117.3";"59.5";"14.6";"74.1";"108.0";"11.9";"85.1";"20.1";"31.80"
"Bjorn Meijer";"Club Brugge KV v Royale Union Saint-Gilloise";"LB";"70.95";"10364.9";"1468.9";"641.9";"239.7";"881.6";"48.2";"8.9";"57.1";"114.2";"5.1";"91.3";"19.0";"29.80"
"Bjorn Meijer";"Club Brugge KV v KVC Westerlo";"LB";"96.33";"10664.9";"1580.8";"620.4";"325.1";"945.5";"55.1";"19.6";"74.7";"93.4";"10.3";"85.0";"22.4";"30.50"
"Bjorn Meijer";"Sporting Charleroi v Club Brugge KV";"LB";"101.10";"10833.8";"1651.3";"769.1";"339.2";"1108.3";"63.2";"16.0";"79.2";"92.6";"8.9";"81.9";"16.0";"29.80"
"Bjorn Meijer";"Club Brugge KV v KV Kortrijk";"LB";"86.33";"10971.4";"1626.3";"632.8";"312.8";"945.6";"54.2";"13.6";"67.8";"110.5";"10.4";"94.9";"21.9";"29.90"
"Bjorn Meijer";"Royal Antwerp FC v Club Brugge KV";"LB";"105.02";"9759.3";"1411.4";"562.2";"239.1";"801.3";"49.7";"12.9";"62.6";"113.1";"7.7";"91.7";"19.7";"30.80"
"Bjorn Meijer";"Club Brugge KV v KAS Eupen";"LB";"83.75";"10212.2";"1476.5";"662.0";"288.0";"950.0";"51.6";"18.3";"69.9";"97.8";"7.5";"77.4";"22.6";"30.10"
"Bjorn Meijer";"KSV Cercle Brugge v Club Brugge KV";"LB";"107.44";"9718.7";"1395.6";"506.8";"304.9";"811.7";"48.6";"15.9";"64.5";"78.7";"9.2";"62.0";"11.7";"30.30"
"Bjorn Meijer";"Club Brugge KV v RSC Anderlecht";"LB";"92.30";"10780.5";"1718.1";"737.2";"379.3";"1116.5";"52.7";"13.7";"66.3";"86.8";"8.8";"88.7";"15.6";"33.10"
"Bjorn Meijer";"Club Brugge KV v Oud-Heverlee Leuven";"LB";"97.81";"10915.8";"1747.4";"824.5";"356.1";"1180.6";"58.9";"19.3";"78.2";"93.9";"7.4";"89.3";"19.3";"31.30"
"Bjorn Meijer";"Sint-Truidense VV v Club Brugge KV";"LB";"101.55";"10878.0";"1663.5";"660.3";"443.1";"1103.4";"61.2";"13.3";"74.4";"93.9";"10.6";"96.6";"23.9";"31.60"
"Bjorn Meijer";"KSV Cercle Brugge v Club Brugge KV";"LB";"85.84";"8654.0";"1206.8";"448.7";"308.2";"757.0";"41.9";"12.6";"54.5";"102.7";"9.4";"82.8";"16.8";"33.30"
"Bjorn Meijer";"Club Brugge KV v RSC Anderlecht";"LB";"82.23";"10590.3";"1628.6";"500.2";"316.3";"816.5";"44.9";"13.1";"58.0";"96.3";"6.6";"64.6";"24.1";"31.30"
