"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Boris Popović";"KSV Cercle Brugge v KAA Gent";"RCB";"100.62";"9057.2";"1082.3";"375.7";"130.6";"506.3";"30.4";"4.5";"34.9";"67.1";"4.5";"58.1";"8.1";"28.90"
"Boris Popović";"KV Kortrijk v KSV Cercle Brugge";"RCB";"104.28";"9192.5";"1170.3";"470.4";"136.4";"606.7";"43.2";"7.8";"50.9";"94.9";"7.8";"77.7";"18.1";"28.60"
"Boris Popović";"Racing White Daring Molenbeek v KSV Cercle Brugge";"RCB";"103.21";"9262.5";"1300.2";"392.4";"128.2";"520.6";"28.8";"7.0";"35.8";"81.1";"5.2";"61.0";"12.2";"28.90"
"Boris Popović";"KSV Cercle Brugge v Oud-Heverlee Leuven";"RCB";"107.74";"8772.8";"1128.6";"404.3";"111.1";"515.4";"33.4";"7.5";"40.9";"80.2";"2.5";"60.1";"8.4";"28.80"
"Boris Popović";"KV Mechelen v KSV Cercle Brugge";"RCB";"100.31";"8918.4";"1124.2";"360.7";"65.5";"426.2";"27.8";"6.3";"34.1";"79.9";"4.5";"65.5";"9.9";"26.90"
"Boris Popović";"KSV Cercle Brugge v KVC Westerlo";"RCB";"99.34";"9653.2";"1417.0";"539.1";"146.8";"685.8";"39.9";"9.1";"48.9";"63.4";"3.6";"56.2";"11.8";"28.20"
"Boris Popović";"Sint-Truidense VV v KSV Cercle Brugge";"RCB";"95.56";"10385.4";"1701.9";"634.8";"149.7";"784.5";"46.1";"10.4";"56.5";"86.6";"2.8";"63.1";"11.3";"28.10"
"Boris Popović";"Standard de Liège v KSV Cercle Brugge";"RCB";"103.35";"9161.1";"1212.2";"382.3";"87.1";"469.4";"28.7";"2.6";"31.3";"79.2";"5.2";"63.6";"9.6";"27.30"
"Boris Popović";"KSV Cercle Brugge v KRC Genk";"RCB";"76.25";"9990.3";"1587.5";"631.5";"170.0";"801.4";"46.0";"9.4";"55.5";"57.8";"4.7";"53.1";"14.2";"29.20"
"Boris Popović";"KSV Cercle Brugge v RSC Anderlecht";"RCB";"83.73";"9136.5";"1249.0";"333.2";"65.6";"398.8";"26.9";"4.3";"31.2";"87.1";"4.3";"64.5";"12.9";"26.80"
"Boris Popović";"KSV Cercle Brugge v Royal Antwerp FC";"RCB";"103.83";"9540.0";"1483.1";"523.5";"121.4";"644.9";"43.3";"5.2";"48.5";"83.2";"5.2";"65.0";"13.0";"26.80"
"Boris Popović";"KSV Cercle Brugge v KV Kortrijk";"LCB";"86.10";"9250.9";"1323.3";"326.1";"148.4";"474.6";"27.2";"5.2";"32.4";"74.2";"3.1";"57.5";"13.6";"29.40"
"Boris Popović";"KRC Genk v KSV Cercle Brugge";"CB";"101.72";"9010.6";"1400.6";"446.8";"117.7";"564.5";"41.6";"5.3";"46.9";"82.3";"5.3";"69.0";"15.0";"28.80"
"Boris Popović";"KSV Cercle Brugge v Standard de Liège";"RCB";"102.86";"8823.3";"1316.8";"360.5";"95.4";"455.9";"30.6";"7.9";"38.5";"73.5";"6.1";"59.5";"9.6";"27.50"
"Boris Popović";"KAA Gent v KSV Cercle Brugge";"CB";"100.00";"9654.3";"1251.0";"330.3";"47.7";"378.0";"29.7";"3.6";"33.3";"77.4";"3.6";"72.0";"11.7";"26.60"
"Boris Popović";"KSV Cercle Brugge v Club Brugge KV";"RCB";"107.44";"9232.9";"1330.2";"417.2";"150.8";"567.9";"32.7";"9.2";"41.9";"71.2";"1.7";"62.8";"11.7";"27.50"
"Boris Popović";"KSV Cercle Brugge v KV Mechelen";"RCB";"102.36";"9688.5";"1488.6";"552.2";"175.0";"727.1";"39.6";"7.0";"46.6";"66.8";"3.5";"57.2";"7.0";"29.20"
"Boris Popović";"KAS Eupen v KSV Cercle Brugge";"RCB";"92.21";"9088.8";"1179.0";"378.7";"76.1";"454.8";"34.2";"3.9";"38.1";"118.1";"3.9";"83.9";"16.6";"26.10"
"Boris Popović";"KSV Cercle Brugge v Racing White Daring Molenbeek";"RCB";"70.30";"8873.3";"1144.5";"316.2";"16.6";"332.9";"24.3";"1.3";"25.6";"81.9";"3.8";"53.8";"5.1";"25.30"
"Boris Popović";"KSV Cercle Brugge v Club Brugge KV";"RCB";"104.22";"8633.0";"1361.8";"566.5";"190.8";"757.3";"45.8";"12.1";"57.9";"81.2";"2.6";"72.5";"17.3";"29.00"
