"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Christian Burgess";"Royale Union Saint-Gilloise v KAS Eupen";"CB";"97.21";"9051.8";"1037.9";"430.5";"68.5";"499.0";"32.4";"4.6";"37.0";"64.8";"5.6";"54.6";"1.9";"27.10"
"Christian Burgess";"Racing White Daring Molenbeek v Royale Union Saint-Gilloise";"CB";"107.23";"9010.9";"973.6";"290.4";"80.6";"371.0";"21.8";"4.2";"26.0";"75.5";"5.0";"65.5";"6.7";"27.60"
"Christian Burgess";"KSV Cercle Brugge v Royale Union Saint-Gilloise";"CB";"100.15";"9157.3";"1094.6";"273.2";"72.8";"346.0";"27.9";"5.4";"33.3";"72.8";"3.6";"61.1";"9.9";"28.30"
"Christian Burgess";"Sint-Truidense VV v Royale Union Saint-Gilloise";"CB";"98.43";"10220.7";"1145.7";"297.2";"80.5";"377.6";"28.3";"7.3";"35.7";"81.4";"1.8";"63.1";"7.3";"27.00"
"Christian Burgess";"Royale Union Saint-Gilloise v KRC Genk";"CB";"102.55";"9211.5";"1233.9";"361.6";"134.3";"495.9";"29.0";"7.9";"36.9";"64.9";"4.4";"50.9";"14.0";"28.80"
"Christian Burgess";"Royale Union Saint-Gilloise v Royal Antwerp FC";"CB";"101.12";"9112.1";"1066.3";"420.1";"141.5";"561.6";"33.8";"8.0";"41.8";"73.0";"2.7";"56.1";"8.0";"28.30"
"Christian Burgess";"KV Mechelen v Royale Union Saint-Gilloise";"CB";"100.99";"9803.8";"1273.5";"501.7";"216.6";"718.3";"42.8";"10.7";"53.5";"73.1";"6.2";"63.3";"13.4";"28.60"
"Christian Burgess";"KVC Westerlo v Royale Union Saint-Gilloise";"CB";"96.36";"9754.7";"1276.8";"417.5";"95.3";"512.8";"29.9";"4.7";"34.6";"64.4";"1.9";"57.0";"7.5";"26.60"
"Christian Burgess";"Royale Union Saint-Gilloise v Oud-Heverlee Leuven";"CB";"100.50";"8952.5";"1175.8";"383.3";"146.0";"529.3";"35.8";"8.1";"43.9";"73.4";"2.7";"62.7";"9.0";"28.20"
"Christian Burgess";"Standard de Liège v Royale Union Saint-Gilloise";"CB";"98.65";"9186.1";"1055.5";"390.5";"40.1";"430.6";"34.7";"2.7";"37.4";"78.5";"6.4";"65.7";"11.9";"26.10"
"Christian Burgess";"Royale Union Saint-Gilloise v RSC Anderlecht";"CB";"101.28";"8834.7";"1068.1";"347.5";"99.5";"447.0";"32.9";"7.1";"40.0";"70.2";"3.6";"56.9";"7.1";"26.80"
"Christian Burgess";"Royale Union Saint-Gilloise v Club Brugge KV";"CB";"99.22";"9436.3";"1307.1";"307.5";"130.6";"438.1";"31.7";"7.3";"39.0";"79.8";"1.8";"64.4";"10.0";"27.30"
"Christian Burgess";"KAA Gent v Royale Union Saint-Gilloise";"CB";"99.85";"10042.0";"1462.9";"524.6";"198.3";"722.9";"48.7";"12.6";"61.3";"79.3";"2.7";"68.5";"10.8";"26.90"
"Christian Burgess";"Sporting Charleroi v Royale Union Saint-Gilloise";"CB";"93.92";"10402.9";"1385.6";"377.6";"132.2";"509.8";"35.5";"4.8";"40.2";"70.9";"5.7";"71.9";"11.5";"30.80"
"Christian Burgess";"Royale Union Saint-Gilloise v KV Mechelen";"CB";"95.38";"10545.6";"1389.9";"470.9";"97.2";"568.0";"36.8";"4.7";"41.5";"72.7";"4.7";"63.2";"9.4";"27.20"
"Christian Burgess";"KAS Eupen v Royale Union Saint-Gilloise";"CB";"100.07";"9138.5";"1128.7";"392.1";"65.7";"457.8";"37.8";"7.2";"45.0";"107.9";"2.7";"80.9";"6.3";"26.00"
"Christian Burgess";"Club Brugge KV v Royale Union Saint-Gilloise";"CB";"102.38";"9082.6";"1105.0";"305.0";"205.7";"510.7";"25.5";"7.0";"32.5";"89.7";"3.5";"58.0";"11.4";"28.80"
"Christian Burgess";"Royale Union Saint-Gilloise v Sint-Truidense VV";"CB";"104.51";"9679.5";"1229.7";"370.3";"99.9";"470.2";"33.6";"4.3";"37.9";"70.6";"4.3";"67.2";"6.9";"28.90"
"Christian Burgess";"RSC Anderlecht v Royale Union Saint-Gilloise";"CB";"100.02";"9905.2";"1327.2";"500.3";"154.8";"655.1";"45.0";"8.1";"53.1";"79.2";"1.8";"76.5";"11.7";"28.60"
"Christian Burgess";"Royale Union Saint-Gilloise v Racing White Daring Molenbeek";"CB";"100.25";"9418.4";"1238.9";"392.3";"149.9";"542.2";"31.4";"7.2";"38.6";"76.3";"7.2";"61.9";"9.9";"28.00"
"Christian Burgess";"KRC Genk v Royale Union Saint-Gilloise";"CB";"95.74";"9773.7";"1310.4";"476.6";"184.2";"660.9";"39.5";"8.5";"47.9";"71.4";"4.7";"61.1";"7.5";"27.80"
"Christian Burgess";"KV Kortrijk v Royale Union Saint-Gilloise";"CB";"96.25";"9555.4";"1152.9";"376.8";"95.4";"472.2";"28.1";"5.6";"33.7";"100.1";"2.8";"73.9";"9.4";"28.80"
"Christian Burgess";"Oud-Heverlee Leuven v Royale Union Saint-Gilloise";"CB";"106.22";"9179.6";"1023.5";"327.1";"133.9";"460.9";"28.8";"8.5";"37.3";"79.6";"5.1";"55.1";"12.7";"28.10"
"Christian Burgess";"Royale Union Saint-Gilloise v KAA Gent";"CB";"95.38";"10324.8";"1354.1";"491.6";"142.5";"634.1";"41.5";"5.7";"47.2";"79.3";"0.0";"72.7";"14.2";"27.70"
"Christian Burgess";"Royal Antwerp FC v Royale Union Saint-Gilloise";"CB";"101.10";"10092.3";"1205.3";"391.7";"214.5";"606.2";"33.8";"8.9";"42.7";"89.9";"1.8";"73.9";"12.5";"28.50"
"Christian Burgess";"KRC Genk v Royale Union Saint-Gilloise";"CB";"98.33";"9099.8";"1206.3";"372.5";"145.5";"518.1";"35.7";"8.2";"43.9";"78.7";"4.6";"57.7";"11.0";"29.00"
"Christian Burgess";"RSC Anderlecht v Royale Union Saint-Gilloise";"CB";"101.39";"9625.8";"1203.7";"352.4";"143.8";"496.2";"32.0";"5.3";"37.3";"82.6";"1.8";"63.9";"10.7";"28.70"
