"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v KVC Westerlo";"RCB";"102.37";"8600.9";"937.2";"362.2";"102.0";"464.2";"31.6";"4.4";"36.0";"65.9";"5.3";"54.5";"11.4";"30.10"
"Carlos Eccehomo Cuesta Figueroa";"Club Brugge KV v KRC Genk";"RCB";"102.25";"9149.6";"1331.7";"443.6";"147.9";"591.5";"36.1";"6.2";"42.2";"83.6";"6.2";"70.4";"13.2";"27.50"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v Sint-Truidense VV";"RCB";"101.27";"9435.5";"1337.5";"489.7";"156.4";"646.1";"41.8";"7.1";"48.9";"79.1";"8.9";"65.8";"14.2";"29.30"
"Carlos Eccehomo Cuesta Figueroa";"Royale Union Saint-Gilloise v KRC Genk";"RCB";"102.55";"8616.5";"1132.1";"457.2";"149.2";"606.4";"40.4";"5.3";"45.6";"68.5";"4.4";"53.5";"12.3";"29.90"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v RSC Anderlecht";"RCB";"101.52";"8826.2";"1139.2";"355.5";"62.1";"417.6";"27.5";"3.5";"31.0";"74.5";"4.4";"60.3";"12.4";"26.80"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v Sporting Charleroi";"RCB";"101.29";"9135.9";"1131.1";"343.9";"135.1";"478.9";"29.3";"5.3";"34.7";"71.1";"6.2";"54.2";"12.4";"29.90"
"Carlos Eccehomo Cuesta Figueroa";"KSV Cercle Brugge v KRC Genk";"RCB";"101.85";"8315.2";"943.7";"230.6";"49.5";"280.1";"23.9";"2.7";"26.5";"66.3";"5.3";"63.6";"8.8";"27.00"
"Carlos Eccehomo Cuesta Figueroa";"Racing White Daring Molenbeek v KRC Genk";"RCB";"96.40";"9409.9";"1363.1";"409.9";"113.9";"523.8";"32.7";"6.5";"39.2";"79.4";"5.6";"64.4";"11.2";"27.50"
"Carlos Eccehomo Cuesta Figueroa";"Royal Antwerp FC v KRC Genk";"RCB";"83.55";"8646.7";"1123.5";"367.3";"154.0";"521.4";"32.3";"7.5";"39.9";"95.9";"3.2";"72.2";"16.2";"27.70"
"Carlos Eccehomo Cuesta Figueroa";"KV Kortrijk v KRC Genk";"RCB";"99.72";"8521.7";"1076.7";"291.5";"122.7";"414.3";"22.6";"7.2";"29.8";"81.2";"6.3";"70.4";"15.3";"30.10"
"Carlos Eccehomo Cuesta Figueroa";"Standard de Liège v KRC Genk";"RCB";"101.09";"8667.0";"1220.6";"473.6";"169.2";"642.8";"37.4";"8.9";"46.3";"86.4";"4.5";"78.3";"14.2";"29.50"
"Carlos Eccehomo Cuesta Figueroa";"KAS Eupen v KRC Genk";"RCB";"98.93";"8096.6";"963.4";"323.9";"72.8";"396.6";"32.8";"3.6";"36.4";"109.2";"8.2";"75.5";"15.5";"26.80"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v KV Kortrijk";"RCB";"93.41";"9504.9";"1270.8";"398.9";"105.0";"503.9";"38.5";"5.8";"44.3";"88.6";"8.7";"75.2";"17.3";"29.30"
"Carlos Eccehomo Cuesta Figueroa";"RSC Anderlecht v KRC Genk";"RCB";"103.45";"8956.5";"1139.7";"407.2";"205.3";"612.5";"33.1";"8.7";"41.8";"80.9";"7.0";"63.5";"14.8";"28.90"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v KSV Cercle Brugge";"RCB";"101.72";"8784.1";"1255.5";"410.5";"188.5";"599.0";"38.0";"7.1";"45.1";"83.2";"6.2";"76.1";"14.2";"30.20"
"Carlos Eccehomo Cuesta Figueroa";"Sint-Truidense VV v KRC Genk";"RCB";"110.98";"9117.6";"1310.5";"476.0";"130.6";"606.6";"38.9";"7.3";"46.2";"100.6";"7.3";"73.8";"11.4";"29.50"
"Carlos Eccehomo Cuesta Figueroa";"Oud-Heverlee Leuven v KRC Genk";"RCB";"101.73";"9080.5";"1326.2";"500.7";"137.1";"637.9";"41.6";"8.8";"50.4";"77.0";"2.7";"61.9";"11.5";"28.00"
"Carlos Eccehomo Cuesta Figueroa";"KV Mechelen v KRC Genk";"RCB";"100.15";"9031.5";"1360.6";"388.2";"89.0";"477.2";"32.4";"4.5";"36.8";"81.8";"4.5";"65.6";"14.4";"26.90"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v Racing White Daring Molenbeek";"RCB";"100.53";"8969.6";"1334.8";"465.5";"154.9";"620.4";"44.8";"9.0";"53.7";"76.1";"5.4";"57.3";"11.6";"28.10"
"Carlos Eccehomo Cuesta Figueroa";"Sporting Charleroi v KRC Genk";"RCB";"99.43";"8823.5";"1224.7";"419.1";"52.5";"471.6";"29.9";"4.5";"34.4";"83.3";"3.6";"63.4";"10.0";"25.50"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v Club Brugge KV";"RCB";"99.00";"8618.2";"1164.5";"368.2";"61.8";"430.0";"30.9";"5.5";"36.4";"92.7";"7.3";"71.8";"11.8";"26.50"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v Standard de Liège";"RCB";"99.30";"8773.4";"1105.7";"382.5";"119.6";"502.1";"29.9";"7.3";"37.2";"77.0";"8.2";"67.1";"13.6";"28.80"
"Carlos Eccehomo Cuesta Figueroa";"KVC Westerlo v KRC Genk";"RCB";"102.53";"8763.9";"1259.6";"402.9";"133.4";"536.3";"33.4";"6.1";"39.5";"65.8";"7.0";"47.4";"13.2";"28.40"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v Royale Union Saint-Gilloise";"CB";"66.02";"8462.9";"1063.3";"331.3";"178.6";"509.8";"28.6";"10.9";"39.5";"95.4";"2.7";"70.9";"6.8";"30.70"
"Carlos Eccehomo Cuesta Figueroa";"KRC Genk v KSV Cercle Brugge";"CB";"97.90";"8681.0";"1076.5";"308.9";"172.8";"481.7";"24.8";"9.2";"34.0";"69.9";"4.6";"59.8";"19.3";"30.40"
