"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Chidera Ejuke";"Royal Antwerp FC v Oud-Heverlee Leuven";"LW";"75.95";"10246.6";"1529.8";"656.5";"158.8";"815.3";"62.8";"13.0";"75.8";"100.7";"13.0";"97.2";"22.5";"28.10"
"Chidera Ejuke";"KSV Cercle Brugge v Royal Antwerp FC";"LW";"95.06";"9586.1";"1465.6";"616.3";"218.7";"835.1";"60.6";"12.3";"72.9";"89.9";"6.6";"77.6";"17.0";"29.10"
"Chidera Ejuke";"Royal Antwerp FC v RSC Anderlecht";"LW";"98.73";"10098.5";"1579.8";"573.4";"80.2";"653.6";"57.4";"5.5";"62.9";"92.1";"10.0";"81.1";"20.1";"25.90"
"Chidera Ejuke";"Royal Antwerp FC v KVC Westerlo";"LW";"99.64";"10045.1";"1291.6";"565.4";"245.7";"811.1";"48.8";"14.5";"63.2";"89.4";"7.2";"95.7";"24.4";"29.70"
"Chidera Ejuke";"Standard de Liège v Royal Antwerp FC";"LW";"90.72";"10948.4";"1895.8";"558.5";"74.4";"632.9";"60.5";"4.0";"64.5";"109.1";"5.0";"80.4";"18.8";"27.20"
"Chidera Ejuke";"Royal Antwerp FC v Club Brugge KV";"RF";"86.87";"10128.2";"1585.1";"535.6";"197.9";"733.5";"47.7";"13.5";"61.1";"100.5";"8.3";"85.0";"17.6";"29.10"
"Chidera Ejuke";"Racing White Daring Molenbeek v Royal Antwerp FC";"RW";"84.52";"9952.0";"1507.8";"607.0";"123.5";"730.5";"54.3";"6.4";"60.7";"95.8";"8.5";"93.7";"18.1";"28.70"
"Chidera Ejuke";"Royal Antwerp FC v KV Mechelen";"LW";"87.60";"10406.5";"1740.4";"584.6";"132.5";"717.1";"56.5";"8.2";"64.7";"87.3";"15.4";"103.8";"21.6";"27.50"
"Chidera Ejuke";"KAA Gent v Royal Antwerp FC";"RW";"61.88";"10531.5";"1681.3";"831.9";"244.3";"1076.3";"68.4";"16.0";"84.4";"107.6";"14.5";"88.7";"23.3";"30.90"
"Chidera Ejuke";"Royal Antwerp FC v Sint-Truidense VV";"RW";"90.79";"10609.9";"1777.4";"718.7";"210.2";"928.8";"64.4";"15.9";"80.3";"110.0";"11.9";"89.2";"26.8";"28.90"
"Chidera Ejuke";"KV Kortrijk v Royal Antwerp FC";"RW";"92.43";"9860.8";"1464.5";"525.8";"156.8";"682.6";"48.7";"8.8";"57.4";"99.3";"11.7";"86.7";"23.4";"30.00"
"Chidera Ejuke";"Royal Antwerp FC v Royale Union Saint-Gilloise";"RW";"101.10";"9628.5";"1425.2";"546.6";"257.3";"803.9";"49.0";"13.4";"62.3";"95.3";"6.2";"89.9";"16.9";"30.10"
