"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Casper Nielsen";"Club Brugge KV v Sint-Truidense VV";"70.55";"12196.9";"2055.1";"757.8";"176.0";"933.8";"58.7";"7.7";"66.3";"91.8";"2.6";"85.5";"11.5";"27.20"
"Casper Nielsen";"Club Brugge KV v Royal Antwerp FC";"79.70";"11510.3";"1704.0";"557.8";"106.1";"664.0";"48.6";"5.6";"54.2";"98.2";"6.8";"94.9";"18.1";"27.40"
"Casper Nielsen";"Royale Union Saint-Gilloise v Club Brugge KV";"99.22";"10649.1";"1881.3";"592.3";"172.3";"764.7";"56.2";"10.0";"66.2";"93.4";"6.3";"88.0";"15.4";"28.00"
"Casper Nielsen";"Oud-Heverlee Leuven v Club Brugge KV";"98.55";"11788.1";"2009.1";"514.2";"152.5";"666.7";"56.6";"11.0";"67.6";"121.5";"2.7";"104.1";"12.8";"28.00"
"Casper Nielsen";"Club Brugge KV v KVC Westerlo";"77.85";"11828.9";"2164.2";"787.3";"243.9";"1031.2";"65.9";"9.2";"75.1";"106.4";"2.3";"89.0";"11.6";"28.30"
"Casper Nielsen";"Sporting Charleroi v Club Brugge KV";"68.15";"11783.9";"1937.3";"847.8";"79.2";"927.1";"68.7";"4.0";"72.6";"103.0";"2.6";"97.7";"11.9";"28.30"
"Casper Nielsen";"Club Brugge KV v KV Kortrijk";"70.43";"12040.0";"1860.6";"880.4";"267.1";"1147.5";"63.9";"14.1";"77.9";"117.6";"5.1";"95.8";"14.1";"28.60"
"Casper Nielsen";"Royal Antwerp FC v Club Brugge KV";"105.02";"10505.7";"1677.1";"740.4";"134.5";"875.0";"52.3";"9.4";"61.7";"108.0";"2.6";"91.7";"12.9";"26.90"
"Casper Nielsen";"Club Brugge KV v KAS Eupen";"97.15";"11253.0";"1899.1";"798.6";"168.6";"967.2";"66.7";"11.1";"77.8";"81.5";"3.7";"78.7";"15.7";"27.20"
"Casper Nielsen";"KSV Cercle Brugge v Club Brugge KV";"94.97";"10734.2";"1876.4";"602.7";"141.2";"743.9";"54.0";"8.5";"62.5";"81.5";"1.9";"86.2";"15.2";"28.00"
"Casper Nielsen";"Club Brugge KV v RSC Anderlecht";"66.42";"11433.6";"1921.4";"963.4";"204.6";"1168.0";"69.1";"10.8";"79.9";"112.5";"2.7";"98.9";"8.1";"27.90"
"Casper Nielsen";"Club Brugge KV v Oud-Heverlee Leuven";"97.81";"11333.5";"1846.7";"666.2";"146.3";"812.5";"46.9";"8.3";"55.2";"80.1";"1.8";"87.4";"6.4";"27.20"
