"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Cameron Puertas";"Royale Union Saint-Gilloise v Toulouse FC";"AM";"85.32";"11250.0";"2180.4";"894.5";"189.9";"1084.4";"79.1";"11.6";"90.7";"97.0";"4.2";"82.3";"14.8";"27.60"
"Cameron Puertas";"Royale Union Saint-Gilloise v KRC Genk";"AM";"102.55";"10305.9";"1741.2";"903.9";"428.3";"1332.2";"61.4";"22.8";"84.3";"78.1";"1.8";"76.4";"16.7";"29.80"
"Cameron Puertas";"Royale Union Saint-Gilloise v Royal Antwerp FC";"AM";"67.90";"11074.4";"1988.2";"946.4";"258.5";"1204.9";"63.6";"10.6";"74.2";"86.2";"5.3";"79.5";"17.2";"28.10"
"Cameron Puertas";"Lugano v Royale Union Saint-Gilloise";"AM";"67.30";"11157.1";"1935.1";"1008.3";"264.8";"1273.1";"74.9";"14.7";"89.6";"105.6";"6.7";"96.3";"26.7";"29.00"
"Cameron Puertas";"Royale Union Saint-Gilloise v Lugano";"AM";"101.39";"10512.6";"1819.7";"737.6";"183.7";"921.4";"64.8";"11.5";"76.3";"88.8";"4.4";"73.7";"17.8";"28.60"
"Cameron Puertas";"KV Mechelen v Royale Union Saint-Gilloise";"AM";"100.99";"10902.7";"1869.7";"705.8";"142.6";"848.4";"65.9";"6.2";"72.2";"82.0";"1.8";"86.4";"9.8";"27.50"
"Cameron Puertas";"KVC Westerlo v Royale Union Saint-Gilloise";"AM";"96.36";"11074.4";"1899.8";"946.1";"269.9";"1216.1";"68.2";"13.1";"81.3";"75.7";"3.7";"71.9";"20.5";"29.00"
"Cameron Puertas";"Royale Union Saint-Gilloise v Oud-Heverlee Leuven";"AM";"90.62";"10785.7";"1923.7";"751.8";"265.2";"1017.0";"64.6";"13.9";"78.5";"82.4";"7.9";"80.4";"21.8";"28.10"
"Cameron Puertas";"Royale Union Saint-Gilloise v KV Kortrijk";"AM";"99.10";"11631.9";"2103.3";"1112.5";"376.9";"1489.4";"80.8";"20.0";"100.8";"80.8";"6.4";"80.8";"20.9";"28.80"
"Cameron Puertas";"Royale Union Saint-Gilloise v Liverpool Football Club";"AM";"97.64";"10938.4";"1821.4";"899.6";"412.0";"1311.7";"71.0";"24.0";"94.9";"97.7";"4.6";"80.2";"18.4";"28.20"
"Cameron Puertas";"RSC Anderlecht v Royale Union Saint-Gilloise";"AM";"100.02";"11329.6";"2003.9";"926.8";"323.9";"1250.7";"71.1";"16.2";"87.3";"94.5";"4.5";"89.1";"16.2";"27.80"
"Cameron Puertas";"Royale Union Saint-Gilloise v Racing White Daring Molenbeek";"AM";"92.80";"10852.4";"2037.6";"996.0";"229.8";"1225.9";"68.9";"12.6";"81.5";"90.2";"4.8";"77.6";"15.5";"27.20"
"Cameron Puertas";"Royale Union Saint-Gilloise v Eintracht Frankfurt";"AM";"97.73";"10087.6";"1704.6";"845.4";"270.7";"1116.1";"65.4";"11.1";"76.4";"110.5";"5.5";"79.2";"13.8";"31.30"
