"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v KAS Eupen";"97.21";"10590.6";"1636.9";"580.5";"107.4";"687.9";"43.5";"7.4";"50.9";"81.5";"2.8";"88.0";"11.1";"27.90"
"Charles Vanhoutte";"Racing White Daring Molenbeek v Royale Union Saint-Gilloise";"107.23";"10703.0";"1751.7";"555.6";"148.6";"704.2";"50.4";"8.4";"58.8";"90.6";"6.7";"89.0";"15.9";"27.00"
"Charles Vanhoutte";"KSV Cercle Brugge v Royale Union Saint-Gilloise";"100.15";"10007.4";"1475.6";"358.6";"50.3";"408.9";"32.4";"5.4";"37.7";"74.6";"5.4";"68.3";"16.2";"26.10"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v KRC Genk";"102.55";"10442.8";"1843.9";"588.0";"85.1";"673.1";"44.8";"5.3";"50.0";"73.7";"4.4";"67.6";"15.8";"26.10"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v Royal Antwerp FC";"101.12";"10626.1";"1735.6";"650.6";"199.4";"850.0";"45.4";"9.8";"55.2";"78.3";"2.7";"68.5";"15.1";"28.10"
"Charles Vanhoutte";"KV Mechelen v Royale Union Saint-Gilloise";"100.99";"10778.8";"1774.3";"612.2";"226.4";"838.6";"43.7";"9.8";"53.5";"92.7";"2.7";"87.3";"18.7";"28.60"
"Charles Vanhoutte";"KVC Westerlo v Royale Union Saint-Gilloise";"96.36";"11401.3";"2090.3";"523.0";"82.2";"605.2";"40.2";"5.6";"45.8";"76.6";"5.6";"73.8";"12.1";"25.80"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v Oud-Heverlee Leuven";"100.50";"9957.3";"1587.8";"493.4";"125.4";"618.8";"49.3";"5.4";"54.6";"90.4";"7.2";"87.8";"17.9";"27.50"
"Charles Vanhoutte";"Standard de Liège v Royale Union Saint-Gilloise";"98.65";"10338.4";"1533.6";"549.2";"100.4";"649.6";"42.9";"6.4";"49.3";"91.2";"2.7";"106.7";"15.5";"27.20"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v RSC Anderlecht";"66.21";"10996.8";"1990.0";"569.6";"101.9";"671.5";"59.8";"6.8";"66.6";"91.1";"6.8";"87.0";"13.6";"25.90"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v Club Brugge KV";"99.22";"10430.5";"1887.6";"481.7";"100.7";"582.3";"47.2";"5.4";"52.6";"91.6";"7.3";"84.4";"14.5";"26.70"
"Charles Vanhoutte";"KAA Gent v Royale Union Saint-Gilloise";"89.68";"11246.0";"2319.2";"586.1";"142.5";"728.6";"63.2";"7.0";"70.2";"102.4";"5.0";"90.3";"19.1";"26.30"
"Charles Vanhoutte";"Sporting Charleroi v Royale Union Saint-Gilloise";"93.92";"11531.7";"2125.4";"586.5";"82.4";"668.9";"51.7";"4.8";"56.5";"93.0";"4.8";"108.3";"10.5";"26.10"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v KV Mechelen";"95.38";"11652.4";"2197.6";"609.6";"120.8";"730.3";"50.0";"6.6";"56.6";"84.0";"6.6";"94.4";"19.8";"27.00"
"Charles Vanhoutte";"KAS Eupen v Royale Union Saint-Gilloise";"82.13";"11154.4";"2107.3";"681.6";"81.1";"762.7";"59.2";"6.6";"65.7";"128.2";"2.2";"106.3";"16.4";"25.80"
"Charles Vanhoutte";"Club Brugge KV v Royale Union Saint-Gilloise";"83.70";"10844.1";"2134.4";"554.8";"168.8";"723.7";"49.5";"8.6";"58.1";"114.0";"6.5";"88.2";"16.1";"27.70"
"Charles Vanhoutte";"RSC Anderlecht v Royale Union Saint-Gilloise";"100.02";"11492.5";"2247.8";"653.3";"189.9";"843.1";"54.0";"7.2";"61.2";"94.5";"1.8";"100.8";"13.5";"27.70"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v Racing White Daring Molenbeek";"70.51";"10697.6";"1912.1";"610.1";"58.7";"668.8";"43.4";"1.3";"44.7";"97.0";"6.4";"89.3";"14.0";"23.90"
"Charles Vanhoutte";"KRC Genk v Royale Union Saint-Gilloise";"95.74";"11062.5";"2141.4";"754.9";"233.1";"988.0";"55.5";"11.3";"66.7";"86.5";"4.7";"92.1";"17.9";"27.80"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v KVC Westerlo";"100.85";"10601.0";"1841.1";"564.0";"144.6";"708.6";"43.7";"8.9";"52.7";"80.3";"5.4";"81.2";"14.3";"27.30"
"Charles Vanhoutte";"KV Kortrijk v Royale Union Saint-Gilloise";"69.62";"10914.5";"1705.1";"455.0";"102.1";"557.2";"42.7";"7.8";"50.4";"109.9";"6.5";"95.7";"18.1";"26.30"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v Standard de Liège";"106.30";"11045.5";"2170.0";"459.7";"150.7";"610.4";"37.3";"5.9";"43.2";"83.0";"4.2";"68.6";"14.4";"28.30"
"Charles Vanhoutte";"Royale Union Saint-Gilloise v KAA Gent";"95.38";"11844.0";"2203.3";"629.4";"165.1";"794.5";"59.4";"7.5";"67.0";"84.0";"4.7";"97.2";"17.9";"28.20"
"Charles Vanhoutte";"RSC Anderlecht v Royale Union Saint-Gilloise";"101.39";"10719.4";"2070.0";"614.3";"87.9";"702.1";"41.7";"4.4";"46.2";"99.4";"1.8";"81.7";"16.9";"26.80"
