"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Cho Gue-Sung";"Odense BK v FC Midtjylland";"CF";"100.28";"10567.9";"1563.4";"805.0";"374.3";"1179.3";"65.5";"17.9";"83.5";"82.6";"7.2";"57.4";"24.2";"29.20"
"Cho Gue-Sung";"FC Copenhagen v FC Midtjylland";"CF";"103.12";"10353.7";"1585.8";"729.6";"206.8";"936.5";"68.9";"19.2";"88.1";"66.3";"14.8";"59.3";"20.9";"27.70"
"Cho Gue-Sung";"FC Midtjylland v Odense BK";"CF";"105.47";"9678.4";"1222.0";"643.4";"183.5";"826.9";"60.6";"15.4";"75.9";"79.4";"9.4";"68.3";"21.3";"29.10"
"Cho Gue-Sung";"FC Midtjylland v Randers FC";"CF";"97.85";"10425.7";"1502.9";"608.9";"254.8";"863.7";"56.1";"12.9";"69.0";"71.7";"12.9";"72.7";"19.3";"31.00"
"Cho Gue-Sung";"FC Midtjylland v Lyngby Boldklub";"CF";"98.40";"10511.0";"1636.3";"740.9";"266.2";"1007.0";"60.4";"13.7";"74.1";"76.8";"10.1";"71.3";"22.0";"29.00"
"Cho Gue-Sung";"Viborg FF v FC Midtjylland";"CF";"100.72";"9723.8";"1188.4";"639.8";"231.4";"871.2";"50.0";"14.3";"64.3";"69.7";"9.8";"64.3";"16.1";"28.60"
"Cho Gue-Sung";"FC Midtjylland v AGF";"CF";"87.23";"9476.7";"1125.6";"563.3";"241.4";"804.8";"40.2";"18.6";"58.8";"64.0";"10.3";"56.7";"13.4";"30.50"
"Cho Gue-Sung";"Legia Warszawa v FC Midtjylland";"CF";"97.47";"9395.2";"1153.3";"716.5";"281.6";"998.2";"56.3";"16.6";"72.9";"84.0";"8.3";"71.1";"19.4";"29.60"
"Cho Gue-Sung";"FC Midtjylland v AC Omonia Nicosia";"CF";"83.40";"9884.9";"1254.0";"673.4";"251.4";"924.8";"59.4";"18.3";"77.7";"83.1";"17.3";"77.7";"21.6";"28.80"
"Cho Gue-Sung";"AC Omonia Nicosia v FC Midtjylland";"CF";"70.13";"9454.3";"1284.6";"622.4";"118.1";"740.5";"53.9";"5.1";"59.0";"71.9";"6.4";"61.6";"16.7";"29.30"
"Cho Gue-Sung";"FC Progres Niederkorn v FC Midtjylland";"RF";"95.38";"10514.5";"1474.8";"563.3";"202.9";"766.2";"48.1";"12.3";"60.4";"67.0";"8.5";"71.7";"18.9";"30.20"
"Cho Gue-Sung";"FC Midtjylland v Silkeborg IF";"CF";"75.54";"10834.8";"1432.1";"775.6";"384.8";"1160.4";"59.6";"25.0";"84.6";"88.2";"10.7";"72.7";"27.4";"29.50"
"Cho Gue-Sung";"FC Midtjylland v Hvidovre IF";"CF";"75.25";"10651.7";"1747.4";"720.0";"259.5";"979.5";"53.8";"12.0";"65.8";"75.3";"8.4";"70.6";"15.5";"29.10"
"Cho Gue-Sung";"Hvidovre IF v FC Midtjylland";"CF";"99.35";"9560.7";"1137.8";"605.1";"375.9";"981.1";"45.3";"15.4";"60.7";"60.7";"10.0";"54.4";"20.8";"30.30"
"Cho Gue-Sung";"FC Midtjylland v FC Nordsjaelland";"CF";"91.55";"10883.6";"1551.3";"757.0";"201.5";"958.5";"61.9";"14.7";"76.7";"80.6";"17.7";"75.7";"21.6";"28.20"
"Cho Gue-Sung";"Silkeborg IF v FC Midtjylland";"CF";"101.50";"10168.7";"1607.6";"578.1";"135.7";"713.8";"56.7";"9.8";"66.5";"98.4";"7.1";"80.7";"16.8";"27.40"
"Cho Gue-Sung";"FC Midtjylland v Viborg FF";"CF";"107.25";"8908.5";"1004.5";"572.3";"261.0";"833.3";"52.9";"12.6";"65.5";"68.8";"8.4";"62.9";"21.8";"30.00"
"Cho Gue-Sung";"AGF v FC Midtjylland";"CF";"108.60";"9855.2";"1285.4";"654.7";"277.6";"932.3";"43.9";"14.1";"58.0";"68.8";"7.5";"58.8";"14.9";"28.50"
"Cho Gue-Sung";"FC Midtjylland v FC Copenhagen";"CF";"98.27";"11569.9";"1780.4";"695.1";"229.9";"925.0";"56.8";"16.5";"73.3";"76.9";"11.9";"70.5";"16.5";"28.70"
"Cho Gue-Sung";"Randers FC v FC Midtjylland";"CF";"94.58";"10633.9";"1538.7";"698.5";"242.7";"941.1";"56.1";"11.4";"67.6";"72.3";"15.2";"54.2";"23.8";"28.80"
"Cho Gue-Sung";"FC Midtjylland v Vejle Boldklub";"CF";"100.25";"9525.2";"1121.3";"531.5";"235.2";"766.7";"36.8";"12.6";"49.4";"73.6";"9.0";"62.8";"19.8";"30.60"
"Cho Gue-Sung";"FC Midtjylland v FC Nordsjaelland";"CF";"97.20";"10241.7";"1560.2";"608.3";"295.4";"903.7";"55.6";"17.6";"73.1";"80.6";"9.3";"75.0";"20.4";"29.50"
"Cho Gue-Sung";"AGF v FC Midtjylland";"CF";"101.87";"9576.9";"1150.3";"676.7";"363.1";"1039.9";"47.7";"19.4";"67.1";"55.7";"7.1";"56.5";"23.0";"29.80"
"Cho Gue-Sung";"FC Midtjylland v FC Copenhagen";"CF";"99.23";"10482.0";"1478.4";"594.1";"224.0";"818.1";"56.2";"12.7";"68.9";"72.6";"10.0";"71.7";"22.7";"29.60"
