"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Dennis Eckert Ayensa";"Royale Union Saint-Gilloise v KRC Genk";"CF";"71.02";"9068.4";"1003.7";"721.1";"348.5";"1069.6";"63.4";"17.7";"81.1";"83.6";"10.1";"65.9";"17.7";"30.10"
"Dennis Eckert Ayensa";"Royale Union Saint-Gilloise v Royal Antwerp FC";"CF";"67.90";"9801.9";"1444.8";"621.6";"169.7";"791.3";"59.6";"8.0";"67.6";"86.2";"8.0";"71.6";"18.6";"28.50"
"Dennis Eckert Ayensa";"KV Mechelen v Royale Union Saint-Gilloise";"CF";"75.40";"9796.2";"1365.5";"596.8";"176.7";"773.5";"53.7";"11.9";"65.6";"88.3";"7.2";"74.0";"16.7";"29.70"
"Dennis Eckert Ayensa";"KVC Westerlo v Royale Union Saint-Gilloise";"CF";"88.08";"9694.8";"1212.9";"608.0";"314.7";"922.7";"46.0";"18.4";"64.4";"82.8";"5.1";"60.3";"22.5";"29.80"
"Dennis Eckert Ayensa";"Royale Union Saint-Gilloise v Oud-Heverlee Leuven";"CF";"77.67";"9677.9";"1535.3";"737.0";"121.7";"858.6";"59.1";"7.0";"66.0";"85.7";"9.3";"81.1";"12.7";"26.40"
"Dennis Eckert Ayensa";"Standard de Liège v Royale Union Saint-Gilloise";"CF";"83.38";"9917.5";"1365.4";"622.8";"166.2";"789.0";"47.5";"8.6";"56.1";"95.0";"6.5";"76.6";"17.3";"28.40"
"Dennis Eckert Ayensa";"Royale Union Saint-Gilloise v RSC Anderlecht";"CF";"77.00";"10185.2";"1395.6";"631.2";"227.9";"859.1";"49.1";"14.0";"63.1";"85.3";"8.2";"71.3";"12.9";"28.20"
"Dennis Eckert Ayensa";"Royale Union Saint-Gilloise v Club Brugge KV";"CF";"69.60";"10330.6";"1525.9";"559.9";"124.1";"684.1";"59.5";"10.3";"69.8";"115.1";"6.5";"80.2";"22.0";"29.20"
"Dennis Eckert Ayensa";"Royale Union Saint-Gilloise v Sint-Truidense VV";"CF";"80.15";"10567.6";"1695.6";"645.7";"194.3";"839.9";"59.5";"13.5";"73.0";"79.7";"6.7";"80.8";"14.6";"28.80"
"Dennis Eckert Ayensa";"KV Kortrijk v Royale Union Saint-Gilloise";"CF";"96.25";"10026.7";"1466.2";"605.0";"149.6";"754.6";"53.3";"6.5";"59.8";"98.2";"10.3";"86.0";"23.4";"29.40"
"Dennis Eckert Ayensa";"Royale Union Saint-Gilloise v Standard de Liège";"CF";"103.55";"10247.2";"1626.2";"745.7";"260.7";"1006.5";"52.1";"15.6";"67.8";"71.3";"5.2";"73.9";"17.4";"28.90"
"Dennis Eckert Ayensa";"Oud-Heverlee Leuven v Royale Union Saint-Gilloise";"CF";"73.52";"10254.8";"1626.9";"601.1";"164.0";"765.1";"58.8";"12.2";"71.0";"85.7";"6.1";"75.9";"11.0";"27.70"
"Dennis Eckert Ayensa";"Royal Antwerp FC v Royale Union Saint-Gilloise";"CF";"65.27";"11185.5";"1501.6";"540.5";"339.2";"879.7";"45.5";"11.0";"56.5";"99.3";"6.9";"85.5";"22.1";"29.80"
