"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"David  Moses";"MFK Karviná v FC Hradec Kralove";"RDM";"95.12";"10090.0";"1504.4";"569.6";"198.7";"768.3";"41.6";"8.5";"50.1";"59.6";"6.6";"57.7";"13.2";"32.40"
"David  Moses";"SK Dynamo České Budějovic v MFK Karviná";"RDM";"61.48";"11649.6";"2004.1";"849.1";"279.6";"1128.7";"54.2";"19.0";"73.2";"70.3";"4.4";"74.7";"29.3";"28.90"
"David  Moses";"FC Viktoria Plzeň v MFK Karviná";"LDM";"87.32";"10942.9";"1917.1";"802.9";"316.4";"1119.3";"60.8";"13.4";"74.2";"93.8";"7.2";"78.3";"20.6";"28.60"
"David  Moses";"MFK Karviná v FC Slovan Liberec";"RDM";"67.03";"10737.4";"1902.6";"692.8";"283.3";"976.1";"48.3";"13.4";"61.8";"73.8";"9.4";"79.2";"18.8";"30.40"
"David  Moses";"MFK Karviná v FC Baník Ostrava";"RB";"92.32";"10255.6";"1400.9";"721.4";"354.9";"1076.3";"51.7";"21.4";"73.1";"87.7";"9.7";"67.3";"21.4";"31.00"
"David  Moses";"MFK Karviná v FK Pardubice";"LDM";"87.57";"11351.5";"2117.2";"892.1";"348.4";"1240.5";"64.7";"17.5";"82.2";"90.4";"4.1";"79.1";"13.4";"30.10"
"David  Moses";"MFK Karviná v 1.FC Slovácko";"RM";"82.94";"10931.5";"1955.4";"666.3";"219.2";"885.5";"61.9";"9.8";"71.6";"64.0";"6.5";"66.2";"19.5";"29.50"
"David  Moses";"FC Slovan Liberec v MFK Karviná";"RM";"88.40";"10865.2";"1865.2";"800.2";"317.6";"1117.9";"56.0";"17.3";"73.3";"106.9";"7.1";"77.4";"17.3";"29.80"
"David  Moses";"MFK Karviná v SK Dynamo České Budějovic";"RDM";"88.70";"10187.1";"1737.1";"693.0";"234.4";"927.4";"47.7";"15.2";"62.9";"67.0";"4.1";"63.9";"8.1";"28.80"
"David  Moses";"FC Hradec Kralove v MFK Karviná";"RM";"71.60";"10500.8";"1684.4";"590.8";"168.4";"759.2";"46.5";"11.3";"57.8";"69.1";"10.1";"85.5";"18.9";"29.00"
"David  Moses";"MFK Karviná v FC Viktoria Plzeň";"RDM";"98.47";"10599.5";"1581.2";"627.0";"232.2";"859.1";"52.1";"12.8";"64.9";"74.9";"6.4";"75.9";"14.6";"30.30"
"David  Moses";"FC Baník Ostrava v MFK Karviná";"RM";"80.27";"10733.4";"1706.5";"818.5";"335.2";"1153.7";"49.3";"20.2";"69.5";"80.7";"6.7";"66.2";"17.9";"30.20"
"David  Moses";"MFK Karviná v FC Bohemians 1905";"LM";"83.25";"10438.9";"1619.5";"562.2";"211.9";"774.1";"45.4";"6.5";"51.9";"55.1";"5.4";"59.5";"10.8";"30.50"
"David  Moses";"FC Fastav Zlin v MFK Karviná";"RM";"88.11";"10971.4";"1916.2";"688.5";"210.4";"898.9";"56.2";"13.3";"69.5";"64.4";"7.2";"75.6";"19.4";"29.40"
"David  Moses";"FK Jablonec v MFK Karviná";"RM";"100.45";"9686.3";"1359.2";"628.1";"222.2";"850.3";"46.6";"9.9";"56.4";"64.5";"5.4";"50.2";"21.5";"31.30"
"David  Moses";"MFK Karviná v FC Fastav Zlin";"RM";"99.05";"10167.6";"1636.4";"657.8";"169.9";"827.8";"47.2";"8.2";"55.4";"89.0";"6.4";"69.1";"13.6";"27.60"
