"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Daniel Muñoz Mejia";"KRC Genk v KVC Westerlo";"RB";"102.37";"9762.2";"1398.7";"626.8";"300.7";"927.5";"56.3";"12.3";"68.6";"100.2";"5.3";"73.0";"13.2";"29.50"
"Daniel Muñoz Mejia";"Club Brugge KV v KRC Genk";"RB";"102.25";"10289.5";"1602.8";"766.7";"312.5";"1079.1";"56.3";"15.0";"71.3";"101.2";"7.0";"88.0";"23.8";"29.00"
"Daniel Muñoz Mejia";"KRC Genk v Sint-Truidense VV";"RB";"101.27";"10221.1";"1645.0";"655.9";"271.9";"927.8";"54.2";"14.2";"68.4";"83.5";"8.0";"79.1";"19.6";"29.30"
"Daniel Muñoz Mejia";"Royale Union Saint-Gilloise v KRC Genk";"RB";"102.55";"9652.1";"1332.2";"646.8";"336.1";"982.9";"51.8";"15.8";"67.6";"84.3";"7.9";"77.2";"21.9";"30.80"
"Daniel Muñoz Mejia";"KRC Genk v RSC Anderlecht";"RB";"101.52";"10209.2";"1411.3";"760.6";"225.2";"985.8";"55.0";"12.4";"67.4";"87.8";"8.9";"87.8";"21.3";"27.70"
"Daniel Muñoz Mejia";"KRC Genk v Sporting Charleroi";"RB";"101.29";"10101.8";"1493.6";"777.5";"239.9";"1017.4";"56.0";"10.7";"66.6";"84.4";"4.4";"80.0";"22.2";"31.00"
"Daniel Muñoz Mejia";"KSV Cercle Brugge v KRC Genk";"RB";"101.85";"9538.1";"1483.7";"659.2";"237.7";"896.9";"58.3";"11.5";"69.8";"83.9";"3.5";"86.6";"23.9";"29.40"
"Daniel Muñoz Mejia";"Racing White Daring Molenbeek v KRC Genk";"RB";"96.40";"10800.0";"1732.8";"817.8";"328.6";"1146.5";"69.1";"17.7";"86.8";"83.1";"7.5";"74.7";"22.4";"28.30"
"Daniel Muñoz Mejia";"Royal Antwerp FC v KRC Genk";"RB";"106.83";"9795.3";"1355.5";"714.4";"351.3";"1065.7";"56.4";"14.3";"70.8";"97.7";"6.7";"87.6";"21.9";"31.50"
"Daniel Muñoz Mejia";"KV Kortrijk v KRC Genk";"RB";"99.72";"10983.8";"1768.1";"788.8";"342.1";"1130.9";"70.4";"16.2";"86.6";"98.4";"12.6";"80.3";"24.4";"30.30"
"Daniel Muñoz Mejia";"KRC Genk v Oud-Heverlee Leuven";"RB";"98.90";"10839.1";"1697.2";"890.0";"486.9";"1376.8";"66.4";"21.8";"88.3";"100.1";"9.1";"88.3";"20.0";"30.00"
"Daniel Muñoz Mejia";"KRC Genk v KAA Gent";"RB";"105.13";"10536.7";"1842.3";"898.0";"454.6";"1352.6";"77.9";"19.7";"97.6";"127.6";"11.1";"105.3";"28.3";"29.40"
"Daniel Muñoz Mejia";"KAS Eupen v KRC Genk";"RB";"98.93";"10279.1";"1720.3";"818.8";"151.0";"969.8";"69.1";"7.3";"76.4";"129.2";"10.0";"81.0";"22.7";"26.30"
"Daniel Muñoz Mejia";"KRC Genk v KV Kortrijk";"RB";"65.46";"11632.9";"2032.1";"1064.2";"279.1";"1343.3";"83.9";"17.9";"101.7";"119.6";"8.2";"92.1";"22.0";"28.00"
"Daniel Muñoz Mejia";"RSC Anderlecht v KRC Genk";"RB";"103.45";"10153.6";"1590.3";"772.5";"375.8";"1148.4";"60.9";"15.7";"76.6";"100.0";"7.8";"76.6";"22.6";"30.10"
"Daniel Muñoz Mejia";"KRC Genk v KSV Cercle Brugge";"RB";"101.72";"10165.3";"1599.7";"875.9";"526.4";"1402.4";"61.9";"23.0";"84.9";"117.7";"8.0";"95.6";"24.8";"31.10"
