"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Daisuke Yokota";"KS Gornik Zabrze v Zagłębie Lubin";"RW";"79.72";"10184.3";"1373.9";"593.8";"245.0";"838.8";"48.5";"11.3";"59.8";"99.3";"9.0";"89.2";"18.1";"29.20"
"Daisuke Yokota";"Legia Warszawa v KS Gornik Zabrze";"RW";"99.28";"10837.5";"1553.8";"549.4";"172.2";"721.6";"46.2";"9.1";"55.3";"86.1";"8.2";"89.7";"26.3";"29.80"
"Daisuke Yokota";"WKS Slask Wrocław v KS Gornik Zabrze";"RW";"96.15";"9830.3";"1415.3";"602.8";"245.2";"848.0";"49.6";"11.2";"60.8";"79.6";"5.6";"64.6";"18.7";"30.50"
"Daisuke Yokota";"KS Gornik Zabrze v KS Raków Czestochowa";"RW";"98.61";"10496.8";"1546.1";"734.7";"301.2";"1035.9";"64.8";"16.4";"81.2";"84.9";"14.6";"100.4";"25.6";"30.50"
"Daisuke Yokota";"ŁKS Łódź v KS Gornik Zabrze";"RW";"83.08";"10021.5";"1542.6";"762.6";"245.9";"1008.5";"65.0";"14.1";"79.1";"81.2";"8.7";"69.3";"17.3";"28.70"
"Daisuke Yokota";"KS Gornik Zabrze v Ruch Chorzów";"LW";"102.90";"10317.2";"1625.9";"686.6";"307.9";"994.5";"61.2";"16.6";"77.8";"85.7";"4.4";"75.2";"15.7";"29.20"
"Daisuke Yokota";"Lech Poznań v KS Gornik Zabrze";"RW";"90.70";"10734.5";"1555.9";"780.9";"311.6";"1092.5";"58.5";"18.9";"77.4";"92.3";"7.9";"94.3";"25.8";"30.20"
"Daisuke Yokota";"Jagiellonia Białystok v KS Gornik Zabrze";"RW";"94.00";"9822.4";"1201.6";"543.8";"338.9";"882.8";"52.7";"16.3";"68.9";"82.3";"8.6";"78.5";"23.0";"31.40"
"Daisuke Yokota";"KS Gornik Zabrze v Widzew Łódź";"RM";"82.71";"11210.0";"1652.9";"560.4";"198.0";"758.4";"41.3";"8.7";"50.1";"82.7";"4.4";"72.9";"15.2";"29.90"
"Daisuke Yokota";"Korona Kielce v KS Gornik Zabrze";"RM";"98.62";"10744.9";"1735.8";"529.3";"104.9";"634.3";"46.5";"4.6";"51.1";"71.2";"5.5";"64.8";"11.9";"29.60"
"Daisuke Yokota";"KS Gornik Zabrze v Piast Gliwice";"RM";"99.97";"10098.3";"1688.9";"658.1";"238.6";"896.7";"57.6";"12.6";"70.2";"106.2";"3.6";"85.5";"13.5";"30.10"
"Daisuke Yokota";"Warta Poznan v KS Gornik Zabrze";"RM";"84.01";"11120.1";"1672.3";"539.9";"258.2";"798.1";"38.6";"9.6";"48.2";"69.6";"1.1";"68.6";"10.7";"30.40"
"Daisuke Yokota";"KS Gornik Zabrze v RKS Radomiak Radom";"RM";"66.73";"11875.5";"2094.6";"798.4";"256.3";"1054.7";"62.0";"10.8";"72.8";"91.7";"8.1";"93.1";"14.8";"28.50"
"Daisuke Yokota";"KS Gornik Zabrze v Cracovia";"RW";"88.68";"10295.0";"1436.1";"575.4";"132.9";"708.4";"56.8";"9.1";"66.0";"92.4";"7.1";"91.3";"21.3";"28.50"
"Daisuke Yokota";"FKS Stal Mielec v KS Gornik Zabrze";"RW";"99.50";"9829.4";"1200.3";"429.6";"208.9";"638.6";"41.6";"9.0";"50.7";"86.8";"6.3";"75.1";"18.1";"29.80"
"Daisuke Yokota";"MKS Puszcza Niepołomice v KS Gornik Zabrze";"RW";"99.45";"9629.0";"1352.9";"675.1";"215.4";"890.5";"54.3";"12.7";"67.0";"72.4";"6.3";"68.8";"19.9";"28.40"
"Daisuke Yokota";"RKS Radomiak Radom v KS Gornik Zabrze";"RW";"81.53";"10103.9";"1355.6";"614.9";"203.1";"818.0";"50.8";"11.0";"61.8";"90.5";"11.0";"83.9";"19.9";"29.60"
"Daisuke Yokota";"KS Gornik Zabrze v Warta Poznan";"RW";"104.39";"9995.8";"1483.8";"751.8";"350.9";"1102.7";"68.1";"18.1";"86.2";"90.5";"9.5";"81.0";"19.0";"30.30"
"Daisuke Yokota";"KAA Gent v KV Mechelen";"RW";"78.60";"12640.1";"2135.5";"981.3";"177.5";"1158.8";"85.9";"11.5";"97.3";"105.3";"6.9";"101.9";"27.5";"27.70"
"Daisuke Yokota";"KAA Gent v KVC Westerlo";"RW";"98.80";"10765.4";"1723.5";"800.7";"245.0";"1045.7";"69.2";"20.0";"89.3";"100.2";"8.2";"82.9";"24.6";"28.50"
"Daisuke Yokota";"Sint-Truidense VV v KAA Gent";"RF";"66.62";"12894.8";"2272.3";"770.0";"295.9";"1065.9";"73.0";"17.6";"90.5";"122.9";"9.5";"105.4";"33.8";"29.10"
"Daisuke Yokota";"RSC Anderlecht v KAA Gent";"AM";"100.27";"11086.0";"1774.5";"755.8";"240.6";"996.3";"60.1";"21.5";"81.7";"90.7";"6.3";"79.0";"18.8";"28.00"
