"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Gerardo Daniel Arteaga Zamora";"Club Brugge KV v KRC Genk";"LB";"102.25";"10421.5";"1775.4";"763.1";"356.5";"1119.6";"51.1";"18.5";"69.5";"103.0";"7.0";"73.1";"21.1";"30.10"
"Gerardo Daniel Arteaga Zamora";"KRC Genk v KV Mechelen";"LB";"95.20";"10758.4";"1518.3";"636.2";"304.4";"940.7";"53.9";"16.1";"70.0";"99.3";"8.5";"99.3";"22.7";"32.10"
"Gerardo Daniel Arteaga Zamora";"KRC Genk v RSC Anderlecht";"LB";"101.52";"9971.6";"1371.5";"562.1";"296.1";"858.2";"45.2";"15.1";"60.3";"93.1";"7.1";"66.5";"21.3";"34.00"
"Gerardo Daniel Arteaga Zamora";"KRC Genk v KAS Eupen";"LB";"98.18";"10757.3";"1398.9";"594.0";"247.5";"841.5";"48.6";"13.8";"62.3";"96.3";"8.3";"98.1";"24.8";"31.20"
"Gerardo Daniel Arteaga Zamora";"Racing White Daring Molenbeek v KRC Genk";"LB";"96.40";"10342.5";"1409.8";"569.5";"250.2";"819.7";"54.1";"7.5";"61.6";"87.8";"10.3";"66.3";"22.4";"30.50"
"Gerardo Daniel Arteaga Zamora";"Royal Antwerp FC v KRC Genk";"LB";"106.83";"9543.4";"1392.6";"615.8";"273.0";"888.8";"50.5";"13.5";"64.0";"107.0";"5.1";"80.0";"19.4";"29.90"
"Gerardo Daniel Arteaga Zamora";"Standard de Liège v KRC Genk";"LB";"101.09";"9891.2";"1409.3";"672.2";"299.1";"971.3";"50.7";"16.0";"66.8";"102.4";"8.0";"80.1";"27.6";"31.00"
"Gerardo Daniel Arteaga Zamora";"KRC Genk v KAA Gent";"LB";"105.13";"9749.1";"1398.0";"597.5";"190.1";"787.6";"53.1";"11.1";"64.2";"117.3";"6.0";"89.9";"21.4";"28.50"
"Gerardo Daniel Arteaga Zamora";"KAA Gent v KRC Genk";"LB";"103.98";"10169.4";"1535.5";"789.4";"456.1";"1245.5";"67.5";"24.2";"91.7";"99.5";"6.9";"84.8";"33.8";"30.90"
"Gerardo Daniel Arteaga Zamora";"KAS Eupen v KRC Genk";"LB";"98.93";"9592.2";"1358.2";"687.8";"216.5";"904.3";"62.8";"13.6";"76.4";"115.5";"10.0";"96.4";"27.3";"28.20"
"Gerardo Daniel Arteaga Zamora";"KRC Genk v Royal Antwerp FC";"RB";"97.90";"9558.9";"1367.0";"516.6";"267.5";"784.2";"47.8";"15.6";"63.4";"80.9";"6.4";"73.5";"21.1";"30.20"
"Gerardo Daniel Arteaga Zamora";"KRC Genk v KSV Cercle Brugge";"LB";"101.72";"10259.9";"1599.7";"666.2";"392.0";"1058.2";"55.7";"18.6";"74.3";"110.6";"8.0";"86.7";"21.2";"31.60"
"Gerardo Daniel Arteaga Zamora";"Sint-Truidense VV v KRC Genk";"LB";"95.93";"9334.9";"1145.5";"436.3";"148.2";"584.5";"44.1";"11.3";"55.4";"111.6";"6.6";"77.9";"13.1";"28.50"
