"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v KAS Eupen";"CF";"77.40";"10830.2";"1422.1";"596.5";"139.5";"736.0";"55.8";"7.0";"62.8";"87.2";"7.0";"75.6";"15.1";"28.00"
"Gustaf Nilsson";"Racing White Daring Molenbeek v Royale Union Saint-Gilloise";"CF";"88.65";"10061.9";"1460.9";"393.9";"105.6";"499.5";"35.5";"7.1";"42.6";"102.5";"6.1";"74.1";"25.4";"27.90"
"Gustaf Nilsson";"KSV Cercle Brugge v Royale Union Saint-Gilloise";"CF";"74.01";"9638.4";"1137.0";"581.3";"222.5";"803.8";"43.8";"17.0";"60.8";"69.3";"6.1";"60.8";"14.6";"27.80"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v Toulouse FC";"CF";"66.15";"10604.1";"1504.8";"617.7";"144.2";"761.9";"54.4";"9.5";"63.9";"91.2";"4.1";"74.8";"15.0";"27.60"
"Gustaf Nilsson";"Liverpool Football Club v Royale Union Saint-Gilloise";"RF";"69.39";"10970.2";"1359.3";"570.7";"137.5";"708.2";"48.0";"7.8";"55.8";"101.2";"5.2";"96.0";"15.6";"28.70"
"Gustaf Nilsson";"Sint-Truidense VV v Royale Union Saint-Gilloise";"CF";"70.55";"11552.7";"1461.9";"803.7";"255.1";"1058.8";"61.2";"10.2";"71.4";"98.2";"2.6";"94.4";"14.0";"29.00"
"Gustaf Nilsson";"Sporting Charleroi v Royale Union Saint-Gilloise";"CF";"68.15";"11488.0";"1545.1";"751.4";"167.7";"919.1";"58.1";"9.2";"67.4";"83.2";"2.6";"79.2";"19.8";"26.70"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v Liverpool Football Club";"RF";"80.07";"11071.6";"1498.3";"657.5";"256.3";"913.8";"58.4";"12.4";"70.8";"94.4";"5.6";"74.2";"18.0";"28.00"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v KV Mechelen";"RF";"77.22";"11434.7";"1680.7";"721.4";"209.8";"931.2";"60.6";"12.8";"73.4";"79.3";"2.3";"78.1";"17.5";"28.10"
"Gustaf Nilsson";"Club Brugge KV v Royale Union Saint-Gilloise";"RF";"92.53";"10732.3";"1550.4";"503.8";"159.5";"663.4";"43.8";"8.8";"52.5";"97.3";"4.9";"70.0";"13.6";"26.30"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v Sint-Truidense VV";"CF";"104.51";"10224.6";"1219.4";"522.7";"169.6";"692.4";"39.6";"10.3";"49.9";"75.8";"3.4";"69.8";"11.2";"28.00"
"Gustaf Nilsson";"RSC Anderlecht v Royale Union Saint-Gilloise";"RF";"100.02";"10682.7";"1302.9";"575.0";"221.4";"796.3";"51.3";"12.6";"63.9";"77.4";"0.9";"70.2";"18.0";"29.20"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v Racing White Daring Molenbeek";"RF";"70.51";"10153.9";"1411.7";"491.4";"199.1";"690.5";"44.7";"10.2";"54.9";"86.8";"5.1";"84.2";"11.5";"27.60"
"Gustaf Nilsson";"KRC Genk v Royale Union Saint-Gilloise";"RF";"79.89";"10916.3";"1572.7";"648.9";"253.5";"902.4";"52.9";"10.1";"63.1";"83.4";"4.5";"72.1";"18.0";"27.40"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v KVC Westerlo";"RF";"100.85";"10238.7";"1286.0";"650.6";"204.4";"854.9";"58.0";"14.3";"72.3";"72.3";"6.2";"63.4";"10.7";"27.40"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v Eintracht Frankfurt";"RF";"82.26";"10123.6";"1310.7";"586.4";"193.7";"780.1";"53.6";"13.1";"66.7";"110.5";"4.4";"90.8";"14.2";"27.00"
"Gustaf Nilsson";"Eintracht Frankfurt v Royale Union Saint-Gilloise";"CF";"77.03";"10899.8";"1467.5";"634.4";"150.7";"785.1";"53.7";"9.3";"63.1";"93.5";"5.8";"68.9";"15.2";"27.80"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v Standard de Liège";"RF";"77.48";"9902.6";"1176.7";"460.0";"210.2";"670.2";"39.5";"10.5";"49.9";"75.5";"5.8";"60.4";"15.1";"29.30"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v Fenerbahce";"CF";"102.24";"9699.8";"1259.7";"484.2";"186.6";"670.8";"47.5";"10.6";"58.1";"86.3";"4.4";"75.7";"17.6";"29.00"
"Gustaf Nilsson";"Royale Union Saint-Gilloise v KAA Gent";"RF";"92.61";"10982.5";"1314.9";"548.1";"161.3";"709.4";"51.5";"10.7";"62.2";"77.7";"10.7";"81.6";"16.5";"27.60"
"Gustaf Nilsson";"Fenerbahce v Royale Union Saint-Gilloise";"RF";"67.40";"11450.3";"1456.8";"651.6";"166.9";"818.5";"64.1";"14.7";"78.8";"92.1";"4.0";"93.5";"16.0";"27.40"
"Gustaf Nilsson";"Royal Antwerp FC v Royale Union Saint-Gilloise";"RF";"101.10";"11135.6";"1362.9";"506.5";"222.6";"729.1";"48.1";"9.8";"57.9";"97.9";"1.8";"80.1";"16.0";"29.70"
"Gustaf Nilsson";"KRC Genk v Royale Union Saint-Gilloise";"CF";"99.37";"9307.9";"1081.4";"379.5";"144.0";"523.5";"38.0";"6.3";"44.4";"85.1";"6.3";"70.6";"10.0";"28.80"
