"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Gift Emmanuel Orban";"KSV Cercle Brugge v KAA Gent";"CF";"63.22";"9291.8";"1237.1";"639.2";"448.4";"1087.6";"44.1";"24.2";"68.3";"86.8";"14.2";"69.8";"21.4";"30.80"
"Gift Emmanuel Orban";"KAA Gent v Maccabi Tel Aviv FC";"CF";"87.63";"10003.4";"1325.9";"727.1";"434.4";"1161.6";"61.6";"24.6";"86.3";"100.7";"5.1";"84.2";"20.5";"31.60"
"Gift Emmanuel Orban";"KAA Gent v KAS Eupen";"CF";"46.18";"9816.6";"1333.0";"578.8";"345.0";"923.8";"64.3";"19.5";"83.8";"89.6";"13.6";"89.6";"19.5";"30.10"
"Gift Emmanuel Orban";"Oud-Heverlee Leuven v KAA Gent";"RF";"73.10";"8965.5";"1205.3";"561.4";"256.1";"817.5";"54.2";"16.0";"70.2";"109.6";"18.5";"83.7";"17.2";"29.70"
"Gift Emmanuel Orban";"Apoel Nicosia FC v KAA Gent";"RF";"67.45";"9433.7";"1215.6";"604.4";"322.9";"927.4";"58.7";"18.7";"77.4";"72.1";"9.3";"77.4";"14.7";"30.70"
"Gift Emmanuel Orban";"KAA Gent v Apoel Nicosia FC";"AM";"88.05";"9668.5";"1460.6";"637.8";"211.6";"849.4";"57.2";"13.3";"70.5";"100.2";"12.3";"89.9";"19.4";"30.60"
"Gift Emmanuel Orban";"KAA Gent v Sint-Truidense VV";"CF";"101.22";"10011.9";"1378.2";"654.4";"366.3";"1020.7";"52.5";"17.8";"70.2";"101.4";"7.1";"89.8";"24.9";"29.40"
"Gift Emmanuel Orban";"Pogoń Szczecin v KAA Gent";"RF";"46.27";"9737.2";"1155.4";"527.1";"155.6";"682.7";"54.5";"5.8";"60.3";"85.6";"5.8";"72.0";"19.5";"30.20"
"Gift Emmanuel Orban";"KVC Westerlo v KAA Gent";"LF";"102.55";"9449.3";"1289.2";"520.4";"208.0";"728.4";"44.8";"11.4";"56.2";"67.6";"14.9";"54.4";"14.9";"30.10"
"Gift Emmanuel Orban";"KAA Gent v Pogoń Szczecin";"CF";"90.02";"10094.8";"1488.7";"712.8";"266.9";"979.8";"63.0";"18.0";"81.0";"93.0";"16.0";"87.0";"29.0";"30.30"
"Gift Emmanuel Orban";"KAA Gent v KV Kortrijk";"CF";"79.45";"10215.5";"1314.0";"641.2";"347.8";"988.9";"55.5";"22.7";"78.2";"102.0";"6.8";"89.5";"26.1";"29.80"
"Gift Emmanuel Orban";"KAA Gent v MSK Zilina";"CF";"74.20";"10191.1";"1257.8";"566.4";"251.1";"817.5";"49.7";"13.3";"63.1";"100.7";"19.4";"83.7";"18.2";"31.30"
"Gift Emmanuel Orban";"KAA Gent v FC Zorya Lugansk";"CF";"102.32";"9234.9";"1227.0";"621.0";"281.5";"902.5";"51.9";"15.8";"67.7";"88.8";"7.9";"77.4";"24.6";"30.20"
"Gift Emmanuel Orban";"KRC Genk v KAA Gent";"CF";"105.13";"9268.8";"1322.6";"674.6";"372.4";"1047.0";"60.8";"18.8";"79.6";"101.9";"12.8";"81.3";"23.1";"30.50"
"Gift Emmanuel Orban";"KAA Gent v KRC Genk";"LF";"73.63";"10157.5";"1757.7";"765.2";"409.5";"1174.7";"46.4";"17.1";"63.6";"89.2";"11.0";"73.3";"19.6";"32.00"
"Gift Emmanuel Orban";"KAA Gent v Racing White Daring Molenbeek";"RF";"81.30";"9934.3";"1471.2";"579.0";"221.4";"800.4";"57.6";"12.2";"69.7";"112.9";"10.0";"73.1";"19.9";"31.90"
"Gift Emmanuel Orban";"Maccabi Tel Aviv FC v KAA Gent";"CF";"96.83";"9803.1";"1456.5";"433.1";"128.3";"561.4";"39.0";"5.6";"44.6";"108.7";"8.4";"79.0";"21.4";"30.30"
"Gift Emmanuel Orban";"KAA Gent v Oud-Heverlee Leuven";"CF";"76.88";"10854.3";"1547.6";"712.9";"237.6";"950.6";"58.5";"14.0";"72.6";"105.4";"9.4";"80.8";"24.6";"29.40"
