"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Hugo Cuypers";"KSV Cercle Brugge v KAA Gent";"LF";"100.62";"9130.6";"1210.2";"525.0";"227.2";"752.2";"51.0";"9.8";"60.8";"73.3";"6.3";"58.1";"22.4";"30.20"
"Hugo Cuypers";"Royal Antwerp FC v KAA Gent";"CF";"81.39";"12141.5";"2097.7";"736.5";"193.5";"930.0";"63.0";"12.2";"75.2";"95.1";"15.5";"91.8";"22.1";"28.00"
"Hugo Cuypers";"KAA Gent v KAS Eupen";"RF";"84.72";"10966.4";"1768.8";"657.6";"123.2";"780.8";"60.6";"13.8";"74.4";"90.3";"5.3";"85.0";"19.1";"28.30"
"Hugo Cuypers";"Oud-Heverlee Leuven v KAA Gent";"LF";"103.58";"9735.1";"1557.1";"754.2";"218.1";"972.3";"66.9";"17.4";"84.3";"101.7";"14.8";"79.1";"24.3";"27.50"
"Hugo Cuypers";"FC Zorya Lugansk v KAA Gent";"RF";"94.62";"10178.5";"1640.8";"751.4";"176.9";"928.3";"71.3";"14.3";"85.6";"86.6";"14.3";"85.6";"25.7";"28.10"
"Hugo Cuypers";"KAA Gent v Club Brugge KV";"RF";"102.70";"10346.9";"1381.1";"581.9";"268.2";"850.0";"57.8";"14.0";"71.9";"82.4";"5.3";"79.7";"15.8";"29.60"
"Hugo Cuypers";"Apoel Nicosia FC v KAA Gent";"CF";"101.22";"10101.7";"1696.5";"742.4";"162.7";"905.2";"60.5";"12.4";"72.9";"76.5";"6.2";"74.7";"21.3";"27.20"
"Hugo Cuypers";"KAA Gent v Apoel Nicosia FC";"CF";"65.55";"11220.1";"1986.7";"762.0";"251.3";"1013.3";"72.8";"13.7";"86.5";"116.7";"11.0";"89.2";"26.1";"28.60"
"Hugo Cuypers";"KAA Gent v Sint-Truidense VV";"RF";"101.22";"10920.6";"1767.6";"753.1";"338.8";"1091.9";"66.7";"18.7";"85.4";"96.9";"9.8";"86.2";"26.7";"29.40"
"Hugo Cuypers";"KAA Gent v Standard de Liège";"CF";"101.23";"10761.2";"1747.0";"808.2";"168.9";"977.1";"67.6";"9.8";"77.3";"99.6";"12.4";"73.8";"18.7";"27.60"
"Hugo Cuypers";"KVC Westerlo v KAA Gent";"CF";"86.07";"9377.5";"1180.6";"595.0";"188.2";"783.2";"42.9";"13.6";"56.5";"72.2";"10.5";"66.9";"18.8";"27.60"
"Hugo Cuypers";"KAA Gent v Pogoń Szczecin";"RF";"80.15";"11150.3";"2140.2";"886.0";"217.8";"1103.8";"79.7";"13.5";"93.2";"105.6";"7.9";"93.2";"25.8";"27.40"
"Hugo Cuypers";"KV Mechelen v KAA Gent";"CF";"95.66";"11851.7";"2040.7";"844.9";"240.9";"1085.7";"72.4";"16.0";"88.4";"106.3";"2.8";"103.5";"30.1";"28.20"
"Hugo Cuypers";"KAA Gent v KV Kortrijk";"RF";"99.27";"11009.1";"1795.1";"801.5";"239.3";"1040.8";"84.3";"15.4";"99.7";"108.8";"12.7";"99.7";"29.0";"28.40"
"Hugo Cuypers";"KAA Gent v MSK Zilina";"RF";"93.60";"9906.7";"1194.2";"720.2";"182.7";"902.9";"64.4";"14.4";"78.8";"85.6";"8.7";"82.7";"28.8";"28.40"
"Hugo Cuypers";"Sporting Charleroi v KAA Gent";"CF";"80.59";"11398.8";"2123.0";"904.6";"245.7";"1150.3";"82.6";"13.4";"96.0";"101.6";"6.7";"90.5";"23.5";"27.70"
"Hugo Cuypers";"KAA Gent v RSC Anderlecht";"RF";"73.76";"10195.8";"1708.2";"625.9";"145.2";"771.1";"61.0";"7.3";"68.3";"102.5";"6.1";"74.4";"20.7";"27.50"
"Hugo Cuypers";"KAA Gent v Royale Union Saint-Gilloise";"CF";"99.85";"9617.4";"1361.0";"597.6";"286.6";"884.2";"60.4";"12.6";"73.0";"87.4";"6.3";"87.4";"18.0";"29.50"
"Hugo Cuypers";"KAA Gent v FC Zorya Lugansk";"RF";"102.32";"9982.5";"1454.8";"635.1";"161.0";"796.0";"65.1";"7.9";"73.0";"88.0";"5.3";"84.4";"23.7";"27.10"
"Hugo Cuypers";"KAA Gent v Racing White Daring Molenbeek";"CF";"99.08";"10283.5";"1667.7";"676.7";"253.4";"930.2";"68.1";"16.4";"84.5";"97.2";"9.1";"72.7";"30.0";"28.40"
"Hugo Cuypers";"Club Brugge KV v KAA Gent";"LF";"88.78";"10864.3";"1706.1";"709.6";"189.6";"899.2";"65.9";"11.2";"77.0";"91.2";"10.1";"83.1";"22.3";"27.60"
"Hugo Cuypers";"KAA Gent v Oud-Heverlee Leuven";"RF";"76.88";"11142.3";"1635.4";"642.7";"206.0";"848.7";"59.7";"9.4";"69.1";"107.7";"5.9";"103.0";"26.9";"28.30"
"Hugo Cuypers";"KV Kortrijk v KAA Gent";"RF";"78.53";"10159.8";"1440.6";"579.9";"216.6";"796.5";"51.6";"14.9";"66.5";"114.6";"17.2";"99.7";"29.8";"28.00"
"Hugo Cuypers";"KAA Gent v KV Mechelen";"CF";"97.05";"10570.0";"1582.1";"664.9";"107.6";"772.5";"60.3";"6.5";"66.8";"94.6";"3.7";"82.5";"23.2";"26.60"
"Hugo Cuypers";"KAA Gent v KVC Westerlo";"CF";"101.31";"9957.7";"1519.1";"709.8";"156.4";"866.2";"61.3";"12.4";"73.7";"87.1";"11.5";"79.1";"25.8";"27.90"
