"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Hyun-Seok Hong";"KSV Cercle Brugge v KAA Gent";"AM";"63.22";"11387.4";"2421.5";"549.5";"78.3";"627.8";"55.5";"5.7";"61.2";"94.0";"7.1";"86.8";"24.2";"25.40"
"Hyun-Seok Hong";"KAA Gent v Club Brugge KV";"AM";"69.95";"10949.2";"1877.2";"720.5";"86.2";"806.7";"61.8";"6.4";"68.2";"92.6";"7.7";"81.1";"19.3";"26.40"
"Hyun-Seok Hong";"Apoel Nicosia FC v KAA Gent";"AM";"82.07";"10420.1";"1819.3";"718.3";"172.2";"890.5";"68.0";"8.8";"76.8";"84.4";"7.7";"100.9";"18.6";"27.50"
"Hyun-Seok Hong";"KAA Gent v Apoel Nicosia FC";"AM";"96.43";"10831.2";"1803.2";"741.1";"250.1";"991.2";"56.9";"11.2";"68.1";"84.0";"6.5";"99.9";"23.3";"29.20"
"Hyun-Seok Hong";"KAA Gent v Sint-Truidense VV";"AM";"82.47";"11929.1";"2221.9";"808.7";"135.3";"944.0";"74.2";"9.8";"84.0";"110.2";"8.7";"105.9";"20.7";"26.50"
"Hyun-Seok Hong";"KAA Gent v Standard de Liège";"AM";"76.17";"11312.3";"2034.7";"758.6";"121.7";"880.3";"65.0";"8.3";"73.3";"99.3";"5.9";"86.3";"28.4";"27.80"
"Hyun-Seok Hong";"KVC Westerlo v KAA Gent";"LWB";"86.07";"10291.4";"1752.5";"635.8";"188.2";"824.0";"46.0";"12.5";"58.6";"69.0";"11.5";"72.2";"15.7";"28.10"
"Hyun-Seok Hong";"KAA Gent v Pogoń Szczecin";"AM";"80.15";"11170.6";"1904.4";"864.6";"177.4";"1042.0";"68.5";"14.6";"83.1";"111.2";"9.0";"89.8";"25.8";"27.30"
"Hyun-Seok Hong";"KV Mechelen v KAA Gent";"LF";"78.86";"12820.9";"2452.6";"1005.5";"151.8";"1157.2";"82.2";"10.3";"92.4";"119.8";"10.3";"122.1";"25.1";"26.50"
"Hyun-Seok Hong";"KAA Gent v KV Kortrijk";"LM";"79.45";"12060.8";"2519.3";"836.0";"124.6";"960.6";"83.8";"10.2";"94.0";"126.9";"5.7";"104.2";"30.6";"26.30"
"Hyun-Seok Hong";"KAA Gent v MSK Zilina";"AM";"93.60";"11782.7";"2375.0";"732.7";"125.0";"857.7";"55.8";"7.7";"63.5";"113.5";"6.7";"106.7";"26.0";"26.30"
"Hyun-Seok Hong";"Sporting Charleroi v KAA Gent";"AM";"88.39";"11584.2";"2248.2";"773.8";"270.8";"1044.7";"68.2";"15.3";"83.5";"96.7";"8.1";"103.9";"21.4";"27.90"
"Hyun-Seok Hong";"KAA Gent v RSC Anderlecht";"AM";"84.16";"11020.1";"1958.1";"648.1";"157.2";"805.3";"59.9";"7.5";"67.4";"106.9";"7.5";"96.2";"20.3";"27.20"
"Hyun-Seok Hong";"KRC Genk v KAA Gent";"AM";"75.33";"11076.5";"1980.9";"671.4";"130.2";"801.7";"68.1";"7.2";"75.3";"119.5";"7.2";"117.1";"20.3";"26.60"
"Hyun-Seok Hong";"KAA Gent v Racing White Daring Molenbeek";"AM";"81.30";"11780.8";"2370.1";"875.6";"163.8";"1039.5";"73.1";"10.0";"83.0";"110.7";"5.5";"91.9";"22.1";"27.10"
"Hyun-Seok Hong";"Club Brugge KV v KAA Gent";"CF";"95.27";"11892.6";"2230.4";"566.8";"88.8";"655.6";"62.3";"4.7";"67.1";"99.2";"8.5";"99.2";"15.1";"26.50"
"Hyun-Seok Hong";"KAA Gent v Oud-Heverlee Leuven";"LM";"76.88";"12287.2";"2383.5";"709.4";"119.4";"828.8";"64.4";"5.9";"70.2";"115.9";"10.5";"92.5";"22.2";"26.60"
"Hyun-Seok Hong";"KV Kortrijk v KAA Gent";"AM";"78.53";"11899.5";"2221.1";"858.4";"225.8";"1084.2";"81.4";"12.6";"94.0";"120.3";"8.0";"126.1";"25.2";"27.40"
"Hyun-Seok Hong";"KAA Gent v KSV Cercle Brugge";"LM";"88.00";"11719.4";"2229.5";"740.5";"230.1";"970.6";"62.4";"13.3";"75.7";"101.3";"6.1";"92.0";"22.5";"27.90"
"Hyun-Seok Hong";"KAS Eupen v KAA Gent";"CF";"94.90";"11327.3";"2040.9";"791.9";"176.4";"968.3";"68.3";"7.6";"75.9";"122.3";"2.8";"111.9";"29.4";"26.60"
"Hyun-Seok Hong";"KAA Gent v Maccabi Haifa FC";"DM";"96.37";"12020.2";"2407.6";"575.3";"38.3";"613.6";"53.2";"5.6";"58.8";"107.4";"5.6";"98.1";"15.9";"25.00"
"Hyun-Seok Hong";"KAA Gent v Royal Antwerp FC";"AM";"89.33";"11745.4";"2477.4";"977.3";"245.8";"1223.1";"86.6";"13.1";"99.7";"104.8";"5.0";"85.6";"32.2";"28.80"
"Hyun-Seok Hong";"Standard de Liège v KAA Gent";"DM";"105.79";"10961.0";"2245.1";"645.7";"127.6";"773.3";"57.9";"6.8";"64.7";"81.7";"4.3";"79.1";"17.9";"27.00"
"Hyun-Seok Hong";"Royale Union Saint-Gilloise v KAA Gent";"LM";"78.53";"12675.4";"2558.0";"840.1";"269.3";"1109.4";"71.1";"11.5";"82.5";"98.6";"6.9";"105.4";"17.2";"28.30"
"Hyun-Seok Hong";"KAA Gent v Sporting Charleroi";"AM";"96.36";"11554.5";"2122.0";"722.0";"161.6";"883.6";"59.8";"11.2";"71.0";"87.8";"4.7";"99.0";"16.8";"26.70"
"Hyun-Seok Hong";"KAA Gent v Standard de Liège";"RM";"74.20";"12506.6";"2327.6";"805.4";"215.9";"1021.3";"67.9";"8.5";"76.4";"98.2";"4.9";"99.5";"19.4";"27.90"
