"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Hugo Siquet";"KSV Cercle Brugge v KAA Gent";"RB";"79.10";"10184.5";"1459.8";"656.5";"253.7";"910.2";"64.9";"14.8";"79.6";"78.5";"8.0";"61.4";"17.1";"29.10"
"Hugo Siquet";"KSV Cercle Brugge v Oud-Heverlee Leuven";"RB";"107.74";"8950.7";"1273.9";"424.4";"152.0";"576.4";"39.3";"7.5";"46.8";"80.2";"2.5";"66.0";"15.0";"28.20"
"Hugo Siquet";"KV Mechelen v KSV Cercle Brugge";"RB";"71.50";"9923.9";"1404.8";"407.8";"46.6";"454.4";"41.5";"6.3";"47.8";"93.1";"2.5";"76.8";"13.8";"26.00"
"Hugo Siquet";"KSV Cercle Brugge v RSC Anderlecht";"RB";"100.18";"10223.6";"1609.9";"587.5";"97.9";"685.5";"53.0";"5.4";"58.4";"87.1";"3.6";"77.3";"14.4";"26.50"
"Hugo Siquet";"Club Brugge KV v KSV Cercle Brugge";"RB";"94.65";"10587.0";"1699.2";"844.4";"253.9";"1098.3";"61.8";"16.2";"78.0";"82.7";"6.7";"58.0";"23.8";"27.90"
"Hugo Siquet";"KSV Cercle Brugge v KAS Eupen";"RB";"99.37";"10265.3";"1715.4";"874.9";"324.2";"1199.2";"66.1";"13.6";"79.7";"64.3";"2.7";"67.0";"16.3";"29.50"
"Hugo Siquet";"KSV Cercle Brugge v Royal Antwerp FC";"RB";"103.83";"10317.5";"1640.0";"709.0";"243.6";"952.6";"65.9";"14.7";"80.6";"88.4";"6.9";"74.5";"21.7";"28.30"
"Hugo Siquet";"Oud-Heverlee Leuven v KSV Cercle Brugge";"RB";"104.66";"10234.0";"1622.7";"580.5";"215.8";"796.3";"49.9";"11.2";"61.1";"84.3";"3.4";"62.8";"13.8";"31.50"
"Hugo Siquet";"KSV Cercle Brugge v KV Kortrijk";"RB";"69.85";"10123.6";"1678.9";"519.3";"110.8";"630.1";"42.5";"7.7";"50.3";"88.9";"5.2";"73.4";"12.9";"27.30"
"Hugo Siquet";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"RB";"76.16";"10409.8";"1751.3";"664.1";"236.3";"900.5";"59.1";"9.5";"68.5";"104.0";"7.1";"85.1";"20.1";"26.70"
"Hugo Siquet";"KRC Genk v KSV Cercle Brugge";"RB";"97.90";"10504.9";"1824.8";"773.1";"190.3";"963.4";"57.9";"10.1";"68.0";"81.8";"2.8";"68.0";"24.8";"27.00"
