"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Hannes Van der Bruggen";"KSV Cercle Brugge v KAA Gent";"100.62";"10538.5";"2153.8";"690.5";"118.1";"808.6";"49.2";"4.5";"53.7";"69.8";"1.8";"77.8";"16.1";"26.20"
"Hannes Van der Bruggen";"Racing White Daring Molenbeek v KSV Cercle Brugge";"73.60";"10359.8";"2034.8";"563.7";"75.8";"639.5";"47.7";"3.7";"51.4";"97.8";"4.9";"84.4";"7.3";"26.40"
"Hannes Van der Bruggen";"KSV Cercle Brugge v Oud-Heverlee Leuven";"90.14";"10040.4";"1733.3";"511.2";"86.9";"598.1";"37.9";"4.0";"41.9";"92.9";"3.0";"69.9";"15.0";"25.90"
"Hannes Van der Bruggen";"KV Mechelen v KSV Cercle Brugge";"84.56";"10267.6";"1692.3";"497.0";"34.1";"531.1";"36.2";"3.2";"39.4";"97.9";"0.0";"91.5";"17.0";"25.00"
"Hannes Van der Bruggen";"KSV Cercle Brugge v KVC Westerlo";"89.14";"10164.1";"1820.4";"457.4";"78.8";"536.1";"40.4";"4.0";"44.4";"76.7";"3.0";"79.8";"10.1";"26.30"
"Hannes Van der Bruggen";"Sint-Truidense VV v KSV Cercle Brugge";"95.56";"11776.5";"2609.8";"879.7";"181.8";"1061.4";"64.0";"7.5";"71.6";"118.7";"0.9";"90.4";"18.8";"27.80"
"Hannes Van der Bruggen";"Standard de Liège v KSV Cercle Brugge";"94.27";"10426.3";"1834.9";"591.0";"19.1";"610.1";"43.0";"1.0";"43.9";"102.2";"1.9";"85.0";"12.4";"24.10"
"Hannes Van der Bruggen";"KSV Cercle Brugge v Sporting Charleroi";"95.02";"11206.0";"2410.5";"917.8";"112.7";"1030.5";"56.8";"8.5";"65.4";"71.0";"2.8";"66.3";"14.2";"25.70"
"Hannes Van der Bruggen";"Royal Antwerp FC v KSV Cercle Brugge";"75.40";"10581.6";"1828.6";"555.0";"155.2";"710.2";"48.9";"2.4";"51.3";"106.2";"1.2";"70.4";"19.1";"27.60"
"Hannes Van der Bruggen";"Club Brugge KV v KSV Cercle Brugge";"96.22";"10941.8";"2331.8";"847.4";"130.9";"978.4";"64.5";"3.7";"68.3";"95.4";"1.9";"71.1";"17.8";"25.30"
"Hannes Van der Bruggen";"Oud-Heverlee Leuven v KSV Cercle Brugge";"104.66";"10245.2";"1787.8";"563.3";"102.3";"665.6";"47.3";"6.0";"53.3";"84.3";"1.7";"77.4";"11.2";"27.80"
"Hannes Van der Bruggen";"KSV Cercle Brugge v KV Kortrijk";"98.93";"9920.7";"1550.2";"448.5";"130.1";"578.6";"31.8";"7.3";"39.1";"81.0";"1.8";"86.4";"9.1";"27.90"
"Hannes Van der Bruggen";"RSC Anderlecht v KSV Cercle Brugge";"103.36";"10200.8";"1649.2";"598.2";"60.1";"658.3";"39.2";"4.4";"43.5";"99.3";"1.7";"82.7";"13.1";"25.30"
"Hannes Van der Bruggen";"KRC Genk v KSV Cercle Brugge";"100.77";"10462.9";"2096.2";"533.2";"100.9";"634.1";"55.4";"5.4";"60.7";"100.0";"1.8";"86.6";"17.9";"27.50"
"Hannes Van der Bruggen";"KSV Cercle Brugge v Standard de Liège";"102.86";"10145.3";"1730.7";"567.9";"27.1";"595.0";"43.7";"3.5";"47.2";"93.6";"1.7";"84.0";"17.5";"25.00"
"Hannes Van der Bruggen";"KVC Westerlo v KSV Cercle Brugge";"85.74";"10229.2";"1872.6";"589.9";"213.1";"803.0";"45.1";"10.5";"55.6";"78.7";"3.1";"63.0";"19.9";"27.90"
"Hannes Van der Bruggen";"KSV Cercle Brugge v Sint-Truidense VV";"80.13";"11258.7";"2183.5";"855.9";"86.5";"942.3";"60.7";"7.9";"68.5";"94.3";"3.4";"89.9";"12.4";"25.10"
"Hannes Van der Bruggen";"KAA Gent v KSV Cercle Brugge";"96.53";"11729.9";"2346.7";"688.1";"84.8";"772.9";"55.0";"4.7";"59.7";"103.5";"2.8";"90.4";"18.6";"27.50"
"Hannes Van der Bruggen";"KSV Cercle Brugge v Club Brugge KV";"107.44";"10601.6";"2292.7";"681.9";"49.4";"731.3";"57.0";"1.7";"58.6";"74.6";"2.5";"82.1";"18.4";"24.80"
"Hannes Van der Bruggen";"KAS Eupen v KSV Cercle Brugge";"92.21";"10357.7";"1675.8";"491.9";"111.3";"603.2";"42.9";"3.9";"46.8";"116.1";"5.9";"113.2";"11.7";"26.80"
"Hannes Van der Bruggen";"KSV Cercle Brugge v Racing White Daring Molenbeek";"98.27";"10167.7";"1732.8";"594.4";"59.5";"653.9";"47.6";"2.7";"50.4";"81.5";"3.7";"66.9";"14.7";"26.10"
"Hannes Van der Bruggen";"KSV Cercle Brugge v Club Brugge KV";"104.22";"9895.5";"1808.3";"652.0";"153.7";"805.7";"50.1";"6.9";"57.0";"99.3";"3.5";"79.4";"17.3";"26.80"
"Hannes Van der Bruggen";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"104.33";"10214.6";"1857.3";"545.2";"136.3";"681.5";"50.9";"5.2";"56.1";"103.5";"6.0";"79.4";"19.8";"26.10"
"Hannes Van der Bruggen";"KRC Genk v KSV Cercle Brugge";"97.90";"11119.0";"2400.3";"840.2";"87.3";"927.6";"70.8";"3.7";"74.5";"84.6";"2.8";"80.0";"16.5";"25.90"
