"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Hans Vanaken";"Lugano v Club Brugge KV";"AM";"102.88";"9467.1";"1460.1";"520.5";"162.7";"683.2";"41.1";"6.1";"47.2";"98.0";"2.6";"89.2";"9.6";"26.40"
"Hans Vanaken";"KV Kortrijk v Club Brugge KV";"AM";"97.35";"10065.0";"1499.5";"354.1";"69.3";"423.4";"28.7";"3.7";"32.4";"86.9";"4.6";"86.9";"10.2";"25.70"
"Hans Vanaken";"Standard de Liège v Club Brugge KV";"AM";"102.82";"9526.1";"1279.7";"405.3";"46.4";"451.7";"31.5";"3.5";"35.0";"79.7";"2.6";"80.5";"9.6";"25.90"
"Hans Vanaken";"Club Brugge KV v Sint-Truidense VV";"AM";"98.42";"10704.5";"1760.3";"599.0";"133.5";"732.5";"53.0";"10.1";"63.1";"81.4";"3.7";"77.7";"12.8";"27.50"
"Hans Vanaken";"Club Brugge KV v KRC Genk";"AM";"102.25";"10719.9";"1950.5";"610.0";"170.8";"780.7";"41.4";"7.0";"48.4";"94.2";"1.8";"71.3";"11.4";"26.90"
"Hans Vanaken";"RSC Anderlecht v Club Brugge KV";"AM";"100.75";"11130.5";"1526.7";"561.9";"99.2";"661.0";"42.0";"6.3";"48.2";"93.8";"0.9";"71.5";"12.5";"26.70"
"Hans Vanaken";"Club Brugge KV v Sporting Charleroi";"AM";"100.32";"10696.5";"1845.4";"714.1";"78.1";"792.2";"53.8";"6.3";"60.1";"88.8";"2.7";"81.6";"12.6";"25.80"
"Hans Vanaken";"FK Bodo/Glimt v Club Brugge KV";"AM";"102.52";"11582.7";"2138.5";"667.2";"63.2";"730.4";"52.7";"4.4";"57.1";"115.0";"5.3";"99.2";"12.3";"25.50"
"Hans Vanaken";"Club Brugge KV v Beşiktaş Jimnastik Kulübü";"AM";"98.25";"11099.5";"1935.6";"704.4";"141.1";"845.5";"63.2";"7.3";"70.5";"83.4";"8.2";"78.8";"21.1";"27.70"
"Hans Vanaken";"KAA Gent v Club Brugge KV";"AM";"102.70";"10263.7";"1897.3";"464.5";"35.1";"499.5";"42.1";"2.6";"44.7";"76.2";"0.9";"73.6";"12.3";"24.70"
"Hans Vanaken";"Club Brugge KV v CA Osasuna";"AM";"107.52";"10530.1";"1886.7";"582.6";"93.8";"676.3";"46.0";"5.9";"51.9";"84.5";"2.5";"74.5";"7.5";"26.40"
"Hans Vanaken";"CA Osasuna v Club Brugge KV";"AM";"103.07";"10553.4";"1759.5";"402.5";"83.0";"485.5";"32.3";"6.1";"38.4";"80.3";"3.5";"76.8";"13.1";"26.00"
