"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Hugo Vetlesen";"KV Kortrijk v Club Brugge KV";"64.03";"11417.6";"1794.9";"733.7";"254.4";"988.1";"57.6";"11.2";"68.9";"99.8";"8.4";"98.4";"18.3";"28.50"
"Hugo Vetlesen";"Standard de Liège v Club Brugge KV";"65.90";"10577.4";"1659.3";"640.5";"243.1";"883.6";"41.0";"12.3";"53.3";"97.0";"5.5";"79.2";"16.4";"29.40"
"Hugo Vetlesen";"Club Brugge KV v KRC Genk";"69.00";"11390.9";"2257.8";"751.3";"236.1";"987.4";"62.6";"10.4";"73.0";"96.5";"3.9";"88.7";"13.0";"27.70"
"Hugo Vetlesen";"RSC Anderlecht v Club Brugge KV";"71.55";"11789.9";"1870.4";"612.6";"45.3";"657.9";"45.3";"2.5";"47.8";"103.1";"1.3";"69.2";"10.1";"25.00"
"Hugo Vetlesen";"Club Brugge KV v Sporting Charleroi";"70.70";"11105.5";"1839.5";"571.6";"162.9";"734.5";"42.0";"6.4";"48.4";"98.0";"3.8";"98.0";"15.3";"27.50"
"Hugo Vetlesen";"KAA Gent v Club Brugge KV";"71.80";"10259.7";"1709.7";"369.8";"17.5";"387.3";"36.4";"1.3";"37.6";"89.0";"3.8";"68.9";"7.5";"24.40"
"Hugo Vetlesen";"Club Brugge KV v Racing White Daring Molenbeek";"74.63";"11688.1";"1737.8";"478.8";"271.3";"750.1";"37.4";"8.4";"45.8";"86.8";"2.4";"91.7";"7.2";"29.80"
"Hugo Vetlesen";"KAS Eupen v Club Brugge KV";"66.42";"10700.5";"1646.3";"524.4";"178.9";"703.3";"54.2";"8.1";"62.3";"104.3";"6.8";"78.6";"12.2";"28.70"
"Hugo Vetlesen";"KVC Westerlo v Club Brugge KV";"72.55";"11746.5";"2425.2";"828.7";"218.3";"1047.0";"65.7";"8.7";"74.4";"83.1";"6.2";"84.4";"16.1";"27.80"
"Hugo Vetlesen";"Club Brugge KV v KSV Cercle Brugge";"96.22";"10406.8";"1751.0";"639.8";"272.2";"912.0";"45.8";"9.4";"55.2";"86.1";"2.8";"82.3";"15.0";"31.90"
"Hugo Vetlesen";"Oud-Heverlee Leuven v Club Brugge KV";"93.24";"11036.7";"1609.1";"423.7";"50.2";"473.9";"42.5";"5.8";"48.3";"114.9";"4.8";"86.9";"11.6";"27.10"
"Hugo Vetlesen";"Club Brugge KV v Standard de Liège";"67.12";"11149.4";"1525.9";"387.5";"138.1";"525.6";"28.2";"6.7";"34.9";"79.1";"5.4";"72.4";"17.4";"27.60"
"Hugo Vetlesen";"KV Mechelen v Club Brugge KV";"100.19";"10446.3";"1594.5";"618.9";"173.4";"792.3";"41.3";"9.9";"51.2";"100.6";"2.7";"77.3";"9.0";"28.80"
"Hugo Vetlesen";"Club Brugge KV v KAA Gent";"70.50";"11507.2";"1912.3";"759.6";"118.7";"878.3";"56.2";"7.7";"63.8";"98.3";"8.9";"86.8";"14.0";"26.50"
"Hugo Vetlesen";"Racing White Daring Molenbeek v Club Brugge KV";"69.38";"9963.8";"1345.2";"467.0";"142.7";"609.7";"35.0";"6.5";"41.5";"89.5";"2.6";"77.8";"16.9";"27.60"
"Hugo Vetlesen";"Club Brugge KV v Royale Union Saint-Gilloise";"102.38";"10540.1";"1667.6";"675.1";"274.3";"949.4";"49.2";"10.5";"59.8";"91.4";"3.5";"87.9";"12.3";"29.70"
"Hugo Vetlesen";"Club Brugge KV v KVC Westerlo";"96.33";"10916.2";"1642.5";"554.0";"123.3";"677.4";"48.6";"7.5";"56.1";"100.9";"3.7";"76.6";"18.7";"26.90"
"Hugo Vetlesen";"Sporting Charleroi v Club Brugge KV";"68.15";"11688.8";"1908.3";"574.5";"134.7";"709.2";"47.5";"6.6";"54.1";"104.3";"4.0";"96.4";"6.6";"28.00"
"Hugo Vetlesen";"Club Brugge KV v KV Kortrijk";"100.81";"11212.3";"1656.1";"532.1";"74.1";"606.2";"39.3";"5.4";"44.6";"93.7";"3.6";"85.7";"15.2";"25.20"
"Hugo Vetlesen";"Club Brugge KV v RSC Anderlecht";"99.33";"10844.8";"1767.7";"582.6";"118.7";"701.3";"47.1";"6.3";"53.5";"85.2";"3.6";"77.0";"9.1";"27.80"
"Hugo Vetlesen";"KRC Genk v Club Brugge KV";"94.36";"9992.9";"1595.7";"600.9";"145.9";"746.8";"48.6";"8.6";"57.2";"104.9";"4.8";"96.3";"11.4";"28.40"
"Hugo Vetlesen";"Club Brugge KV v Oud-Heverlee Leuven";"97.81";"10633.3";"1534.8";"457.3";"113.2";"570.5";"37.7";"6.4";"44.2";"70.9";"1.8";"76.4";"9.2";"27.30"
"Hugo Vetlesen";"Sint-Truidense VV v Club Brugge KV";"64.69";"11949.5";"1758.5";"887.6";"338.1";"1225.7";"66.8";"15.3";"82.1";"121.0";"2.8";"94.6";"19.5";"29.30"
"Hugo Vetlesen";"KSV Cercle Brugge v Club Brugge KV";"73.44";"9232.8";"1480.4";"637.3";"214.5";"851.7";"50.2";"11.0";"61.3";"99.3";"2.5";"88.2";"11.0";"28.80"
"Hugo Vetlesen";"Club Brugge KV v RSC Anderlecht";"99.68";"10805.8";"1772.4";"577.8";"105.6";"683.5";"47.0";"6.3";"53.3";"83.1";"4.5";"69.5";"15.3";"26.90"
