"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Ilay Camara";"Sporting Charleroi v Racing White Daring Molenbeek";"RWB";"79.13";"11281.6";"1692.4";"846.2";"422.0";"1268.2";"58.0";"20.5";"78.5";"95.5";"9.1";"86.4";"14.8";"29.50"
"Ilay Camara";"Racing White Daring Molenbeek v KVC Westerlo";"RWB";"83.88";"10704.9";"1513.9";"671.7";"288.6";"960.3";"50.4";"15.0";"65.5";"96.6";"7.5";"80.5";"15.0";"28.80"
"Ilay Camara";"Sint-Truidense VV v Racing White Daring Molenbeek";"RWB";"83.81";"12029.4";"1870.7";"908.5";"335.0";"1243.5";"64.4";"17.2";"81.6";"114.9";"7.5";"102.0";"15.0";"28.60"
"Ilay Camara";"Racing White Daring Molenbeek v KV Kortrijk";"RWB";"97.12";"10706.0";"1424.3";"506.9";"85.3";"592.2";"38.9";"6.5";"45.4";"108.4";"5.6";"90.8";"14.8";"27.00"
"Ilay Camara";"KAS Eupen v Racing White Daring Molenbeek";"RWB";"94.69";"11158.5";"1884.8";"681.5";"258.5";"940.0";"56.1";"11.4";"67.5";"116.9";"14.3";"112.2";"20.9";"28.50"
"Ilay Camara";"RSC Anderlecht v Racing White Daring Molenbeek";"RWB";"91.86";"10434.4";"1336.4";"538.9";"125.4";"664.3";"37.2";"7.8";"45.1";"107.8";"3.9";"87.2";"14.7";"27.70"
"Ilay Camara";"KAA Gent v Racing White Daring Molenbeek";"RWB";"99.08";"11174.6";"1685.0";"628.6";"381.5";"1010.1";"59.0";"17.3";"76.3";"116.3";"2.7";"96.3";"19.1";"30.20"
"Ilay Camara";"Racing White Daring Molenbeek v Sint-Truidense VV";"RWB";"96.47";"11740.0";"2300.6";"1150.3";"324.7";"1475.0";"87.7";"14.9";"102.6";"99.8";"7.5";"93.3";"19.6";"28.40"
"Ilay Camara";"Racing White Daring Molenbeek v Club Brugge KV";"RWB";"100.78";"10449.4";"1554.8";"615.3";"295.6";"910.9";"53.6";"15.2";"68.8";"98.2";"5.4";"71.4";"17.0";"28.40"
"Ilay Camara";"KVC Westerlo v Racing White Daring Molenbeek";"RWB";"98.20";"10958.6";"2107.0";"802.9";"328.1";"1131.0";"61.4";"14.7";"76.1";"85.2";"5.5";"82.5";"16.5";"29.80"
"Ilay Camara";"Racing White Daring Molenbeek v KAS Eupen";"RWB";"93.15";"11397.1";"1934.3";"886.0";"459.9";"1345.9";"75.4";"18.4";"93.7";"99.5";"14.5";"79.2";"22.2";"31.00"
"Ilay Camara";"KRC Genk v Racing White Daring Molenbeek";"RB";"100.53";"11087.7";"1630.3";"880.0";"383.2";"1263.2";"72.5";"17.0";"89.5";"103.0";"5.4";"75.2";"16.1";"30.90"
"Ilay Camara";"Racing White Daring Molenbeek v Oud-Heverlee Leuven";"RWB";"98.59";"10872.3";"1783.8";"742.2";"220.9";"963.1";"63.9";"15.5";"79.4";"110.5";"5.5";"86.7";"21.9";"28.00"
"Ilay Camara";"KV Kortrijk v Racing White Daring Molenbeek";"RWB";"81.74";"11482.9";"1762.8";"831.3";"448.1";"1279.4";"62.8";"16.5";"79.3";"115.6";"11.0";"87.0";"19.8";"31.00"
"Ilay Camara";"Racing White Daring Molenbeek v RSC Anderlecht";"RWB";"97.57";"11458.2";"1847.6";"814.5";"264.7";"1079.2";"60.9";"11.1";"71.9";"87.6";"6.5";"86.7";"14.8";"28.40"
"Ilay Camara";"KSV Cercle Brugge v Racing White Daring Molenbeek";"RB";"79.68";"10503.4";"1626.5";"814.4";"233.8";"1048.2";"58.7";"16.9";"75.7";"97.1";"2.3";"71.2";"18.1";"27.30"
