"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Ismaël Kandouss";"KAA Gent v Maccabi Tel Aviv FC";"RCB";"99.08";"10105.5";"1442.5";"366.1";"115.4";"481.4";"33.6";"4.5";"38.2";"90.8";"0.9";"72.7";"11.8";"28.30"
"Ismaël Kandouss";"Royal Antwerp FC v KAA Gent";"RCB";"97.79";"10071.3";"941.5";"181.3";"23.0";"204.3";"21.2";"1.8";"23.0";"86.5";"1.8";"75.5";"10.1";"25.40"
"Ismaël Kandouss";"KAA Gent v KAS Eupen";"RCB";"103.24";"9801.1";"1054.8";"259.8";"41.8";"301.6";"29.6";"5.2";"34.9";"81.9";"4.4";"80.2";"9.6";"25.90"
"Ismaël Kandouss";"Racing White Daring Molenbeek v KAA Gent";"RCB";"104.07";"9230.0";"844.0";"249.9";"52.8";"302.7";"19.9";"1.7";"21.6";"88.2";"4.3";"70.0";"11.2";"28.10"
"Ismaël Kandouss";"Oud-Heverlee Leuven v KAA Gent";"RCB";"103.58";"9330.2";"1312.0";"425.8";"125.1";"550.9";"40.0";"7.0";"46.9";"79.9";"5.2";"65.2";"9.6";"29.40"
"Ismaël Kandouss";"FC Zorya Lugansk v KAA Gent";"RCB";"94.62";"9516.5";"1105.3";"475.6";"130.3";"605.9";"39.0";"4.8";"43.8";"90.4";"2.9";"64.7";"9.5";"30.00"
"Ismaël Kandouss";"Apoel Nicosia FC v KAA Gent";"RCB";"101.22";"9093.4";"1134.6";"348.5";"70.2";"418.8";"28.5";"4.4";"32.9";"76.5";"3.6";"67.6";"8.0";"27.50"
"Ismaël Kandouss";"KAA Gent v Apoel Nicosia FC";"RCB";"96.43";"9755.1";"1113.5";"294.9";"84.9";"379.9";"28.9";"3.7";"32.7";"85.9";"4.7";"75.6";"10.3";"28.40"
"Ismaël Kandouss";"KAA Gent v Sint-Truidense VV";"RCB";"101.22";"10139.0";"1212.8";"393.9";"152.9";"546.8";"38.2";"8.9";"47.1";"85.4";"5.3";"79.1";"9.8";"28.90"
"Ismaël Kandouss";"KAA Gent v Standard de Liège";"RCB";"101.23";"9406.3";"1262.5";"322.7";"65.8";"388.5";"28.5";"2.7";"31.1";"88.9";"2.7";"63.1";"10.7";"27.80"
"Ismaël Kandouss";"Pogoń Szczecin v KAA Gent";"RCB";"98.02";"9510.5";"1208.3";"432.5";"128.5";"561.0";"37.6";"4.6";"42.2";"80.8";"1.8";"64.3";"11.9";"27.50"
"Ismaël Kandouss";"KVC Westerlo v KAA Gent";"RCB";"102.55";"9366.8";"1265.5";"314.2";"101.8";"416.0";"23.7";"5.3";"29.0";"57.9";"5.3";"50.0";"10.5";"28.20"
"Ismaël Kandouss";"KAA Gent v Pogoń Szczecin";"RCB";"95.57";"9828.7";"1234.6";"348.4";"61.2";"409.6";"34.8";"5.7";"40.5";"91.3";"7.5";"68.7";"12.2";"27.10"
"Ismaël Kandouss";"MSK Zilina v KAA Gent";"RCB";"94.33";"10162.1";"1476.0";"492.3";"220.4";"712.7";"38.2";"11.4";"49.6";"83.0";"5.7";"66.8";"14.3";"28.30"
"Ismaël Kandouss";"Sporting Charleroi v KAA Gent";"RCB";"98.35";"10254.6";"1261.9";"370.6";"76.0";"446.6";"34.8";"5.5";"40.3";"88.8";"5.5";"88.8";"11.0";"26.60"
"Ismaël Kandouss";"KAA Gent v RSC Anderlecht";"RCB";"100.55";"9767.1";"1512.7";"344.6";"88.6";"433.2";"34.0";"4.5";"38.5";"97.6";"6.3";"78.8";"12.5";"27.20"
