"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Isaac Kiese Thelin";"Malmo FF v Kalmar FF";"CF";"97.98";"9814.8";"1184.9";"522.7";"102.0";"624.6";"49.6";"6.4";"56.0";"90.9";"2.8";"79.9";"13.8";"26.90"
"Isaac Kiese Thelin";"IF Brommapojkarna v Malmo FF";"CF";"104.45";"9373.1";"1197.7";"565.2";"86.2";"651.4";"50.0";"7.8";"57.7";"97.4";"6.9";"74.1";"17.2";"27.30"
"Isaac Kiese Thelin";"IFK Göteborg v Malmo FF";"CF";"98.85";"9997.9";"1546.9";"673.7";"121.1";"794.8";"62.8";"8.2";"71.0";"93.8";"8.2";"76.5";"19.1";"27.20"
"Isaac Kiese Thelin";"Malmo FF v IFK Norrköping";"CF";"102.24";"9858.3";"1471.0";"574.8";"68.7";"643.5";"58.1";"5.3";"63.4";"96.0";"5.3";"72.2";"15.0";"26.00"
"Isaac Kiese Thelin";"Malmo FF v Hammarby IF";"CF";"95.17";"10004.3";"1445.0";"567.4";"76.6";"644.0";"53.9";"7.6";"61.5";"104.0";"8.5";"81.3";"15.1";"25.90"
"Isaac Kiese Thelin";"Malmo FF v AIK";"CF";"100.77";"8660.6";"1011.0";"537.7";"94.7";"632.3";"50.9";"5.4";"56.3";"78.6";"10.7";"64.3";"15.2";"28.30"
"Isaac Kiese Thelin";"Halmstads BK v Malmo FF";"CF";"100.20";"8675.7";"979.9";"454.5";"59.3";"513.8";"37.7";"4.5";"42.2";"62.0";"9.0";"53.0";"16.2";"26.10"
"Isaac Kiese Thelin";"Malmo FF v BK Hacken";"CF";"95.75";"9274.5";"1102.6";"486.9";"89.3";"576.2";"39.5";"5.6";"45.1";"87.4";"6.6";"72.4";"13.2";"28.20"
"Isaac Kiese Thelin";"IF Elfsborg v Malmo FF";"CF";"87.55";"8906.5";"799.8";"438.9";"206.6";"645.6";"39.1";"8.2";"47.3";"56.5";"4.1";"60.7";"12.3";"28.80"
"Isaac Kiese Thelin";"Malmo FF v IK Sirius";"CF";"89.40";"9300.0";"1191.9";"383.6";"25.2";"408.7";"46.3";"2.0";"48.3";"80.5";"10.1";"68.5";"18.1";"25.50"
