"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Igor Matanović";"Karlsruher SC v FC Schalke 04";"CF";"74.93";"10114.6";"1547.0";"609.0";"224.6";"833.6";"58.9";"13.2";"72.1";"96.1";"10.8";"84.1";"31.2";"30.10"
"Igor Matanović";"Karlsruher SC v FC Kaiserslautern";"CF";"73.36";"9474.8";"1274.7";"393.8";"98.1";"492.0";"45.4";"7.4";"52.8";"92.0";"3.7";"77.3";"15.9";"27.20"
"Igor Matanović";"Hertha BSC Berlin v Karlsruher SC";"CF";"100.40";"10298.9";"1416.3";"634.7";"146.1";"780.8";"52.0";"11.7";"63.6";"70.8";"7.2";"71.7";"28.7";"27.60"
"Igor Matanović";"Karlsruher SC v FC Nürnberg";"CF";"83.32";"10130.9";"1361.0";"643.8";"166.3";"810.1";"51.8";"9.7";"61.6";"85.3";"6.5";"64.8";"22.7";"28.80"
"Igor Matanović";"Karlsruher SC v FC Hansa Rostock";"CF";"99.37";"9664.8";"1048.8";"470.1";"192.0";"662.1";"42.6";"9.1";"51.6";"83.3";"6.3";"73.4";"19.9";"28.30"
"Igor Matanović";"Hannover 96 v Karlsruher SC";"CF";"92.65";"10703.8";"1333.7";"573.1";"150.6";"723.7";"49.5";"9.7";"59.3";"98.1";"10.7";"83.5";"17.5";"29.80"
"Igor Matanović";"Karlsruher SC v SV 07 Elversberg";"CF";"99.35";"9929.4";"1239.3";"443.9";"100.6";"544.4";"45.3";"7.2";"52.5";"110.5";"7.2";"83.3";"23.6";"26.40"
"Igor Matanović";"Karlsruher SC v SC Paderborn 07";"CF";"98.26";"10363.8";"1460.9";"637.5";"195.1";"832.6";"66.9";"17.4";"84.3";"90.7";"7.3";"74.2";"29.3";"28.40"
"Igor Matanović";"Karlsruher SC v VfL Osnabrück";"CF";"92.92";"10023.8";"1248.5";"436.8";"100.7";"537.6";"35.8";"4.8";"40.7";"97.8";"4.8";"80.4";"13.6";"27.20"
"Igor Matanović";"Hamburger SV v Karlsruher SC";"CF";"98.16";"10248.8";"1348.7";"444.7";"84.4";"529.0";"35.8";"3.7";"39.4";"98.1";"6.4";"79.8";"17.4";"26.50"
"Igor Matanović";"Karlsruher SC v SV Wehen Wiesbaden";"CF";"100.21";"9629.6";"1150.5";"406.8";"161.7";"568.5";"39.5";"8.1";"47.6";"77.2";"16.2";"68.3";"18.0";"29.90"
"Igor Matanović";"Eintracht Braunschweig v Karlsruher SC";"CF";"97.61";"9526.5";"1139.6";"449.0";"88.5";"537.5";"46.1";"8.3";"54.4";"61.8";"13.8";"58.1";"25.8";"27.10"
"Igor Matanović";"Karlsruher SC v Fortuna Düsseldorf";"CF";"93.34";"9897.7";"1454.0";"550.6";"174.5";"725.1";"48.2";"15.4";"63.6";"89.7";"9.6";"73.3";"25.1";"28.20"
"Igor Matanović";"FC Kaiserslautern v Karlsruher SC";"CF";"89.05";"10081.4";"1209.8";"603.4";"240.5";"843.9";"49.5";"13.1";"62.7";"88.9";"10.1";"75.8";"23.2";"28.50"
"Igor Matanović";"Karlsruher SC v SpVgg Greuther Fürth";"CF";"89.25";"9899.5";"1400.7";"538.5";"174.5";"712.9";"48.4";"13.1";"61.5";"102.9";"4.0";"87.7";"20.2";"29.10"
"Igor Matanović";"Holstein Kiel v Karlsruher SC";"CF";"95.68";"10474.9";"1360.2";"657.5";"164.6";"822.1";"53.6";"10.3";"64.0";"74.3";"10.3";"63.0";"23.5";"27.30"
"Igor Matanović";"Karlsruher SC v 1. FC Magdeburg";"CF";"75.12";"10508.4";"1349.0";"697.3";"283.9";"981.2";"62.3";"16.8";"79.1";"87.5";"6.0";"73.1";"20.4";"29.90"
"Igor Matanović";"FC Schalke 04 v Karlsruher SC";"CF";"94.28";"9272.1";"1089.2";"454.4";"98.3";"552.7";"38.2";"6.7";"44.9";"88.8";"6.7";"78.3";"19.1";"28.70"
"Igor Matanović";"Karlsruher SC v FC St. Pauli";"CF";"100.00";"9534.6";"1089.0";"543.6";"214.2";"757.8";"45.9";"12.6";"58.5";"99.0";"8.1";"78.3";"20.7";"28.80"
"Igor Matanović";"SC Paderborn 07 v Karlsruher SC";"CF";"80.20";"10568.8";"1455.5";"643.0";"171.7";"814.7";"51.6";"15.7";"67.3";"77.4";"10.1";"75.2";"24.7";"29.00"
"Igor Matanović";"Karlsruher SC v Hertha BSC Berlin";"CF";"80.58";"9925.9";"1286.7";"527.2";"131.8";"659.0";"45.8";"12.3";"58.1";"107.2";"3.4";"83.8";"23.5";"27.10"
