"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Ibrahim Sissoko";"ES Troyes AC v AS Saint-Étienne";"CF";"76.42";"10450.9";"1374.4";"620.6";"169.6";"790.2";"50.6";"10.6";"61.2";"90.7";"10.6";"73.0";"27.1";"28.70"
"Ibrahim Sissoko";"Stade Lavallois Mayenne FC v AS Saint-Étienne";"CF";"77.68";"10984.7";"1532.8";"648.8";"298.9";"947.7";"55.6";"22.0";"77.6";"92.7";"17.4";"70.7";"25.5";"29.80"
"Ibrahim Sissoko";"AS Saint-Étienne v AC Ajaccio";"CF";"74.39";"10508.7";"1294.5";"522.7";"176.6";"699.3";"44.8";"9.7";"54.4";"91.9";"10.9";"91.9";"29.0";"28.20"
"Ibrahim Sissoko";"AS Saint-Étienne v Valenciennes FC";"CF";"95.37";"9067.9";"944.6";"352.0";"93.4";"445.4";"36.8";"8.5";"45.3";"81.2";"3.8";"67.9";"15.1";"27.90"
"Ibrahim Sissoko";"FC Annecy v AS Saint-Étienne";"CF";"92.53";"9164.4";"962.9";"568.0";"326.8";"894.8";"41.8";"19.5";"61.3";"78.8";"6.8";"60.3";"17.5";"30.30"
"Ibrahim Sissoko";"AS Saint-Étienne v Grenoble Foot 38";"CF";"76.67";"10619.9";"1252.5";"555.2";"186.6";"741.9";"54.0";"11.7";"65.7";"54.0";"15.3";"72.8";"16.4";"26.70"
"Ibrahim Sissoko";"AS Saint-Étienne v Angers SCO";"CF";"71.22";"10101.9";"1369.8";"532.0";"103.6";"635.6";"46.8";"10.1";"56.9";"96.0";"7.6";"74.6";"19.0";"27.60"
"Ibrahim Sissoko";"AS Saint-Étienne v Paris FC";"CF";"96.49";"10203.2";"1329.2";"536.3";"136.2";"672.5";"51.3";"8.4";"59.7";"80.2";"6.5";"71.8";"21.5";"28.90"
"Ibrahim Sissoko";"AJ Auxerre v AS Saint-Étienne";"CF";"78.30";"10770.1";"1450.6";"600.0";"154.0";"754.0";"47.1";"14.9";"62.1";"87.4";"8.0";"78.2";"20.7";"26.60"
"Ibrahim Sissoko";"AS Saint-Étienne v Pau FC";"CF";"100.58";"10413.8";"1209.8";"623.7";"255.9";"879.6";"48.3";"16.1";"64.4";"60.8";"8.1";"60.0";"18.8";"28.10"
"Ibrahim Sissoko";"Amiens Sporting Club v AS Saint-Étienne";"CF";"96.98";"9551.2";"1139.6";"531.8";"226.4";"758.2";"54.8";"12.1";"66.8";"100.2";"11.1";"79.8";"23.2";"29.30"
"Ibrahim Sissoko";"Girondins de Bordeaux v AS Saint-Étienne";"CF";"82.44";"10025.1";"1329.7";"665.9";"171.4";"837.3";"55.7";"17.5";"73.1";"105.9";"10.9";"84.1";"18.6";"27.50"
"Ibrahim Sissoko";"AS Saint-Étienne v SC Bastia";"CF";"84.93";"9840.3";"1317.2";"546.8";"177.0";"723.8";"41.3";"9.5";"50.9";"101.7";"5.3";"79.5";"18.0";"28.70"
"Ibrahim Sissoko";"AS Saint-Étienne v ES Troyes AC";"CF";"69.17";"10256.9";"1657.7";"638.9";"219.9";"858.8";"67.7";"11.7";"79.4";"96.3";"3.9";"83.3";"20.8";"27.90"
"Ibrahim Sissoko";"Angers SCO v AS Saint-Étienne";"CF";"96.16";"9861.1";"1357.1";"643.0";"220.9";"863.9";"51.5";"13.1";"64.6";"84.2";"7.5";"77.7";"24.3";"29.00"
"Ibrahim Sissoko";"AS Saint-Étienne v FC Annecy";"CF";"97.62";"10072.2";"1273.2";"677.6";"260.0";"937.6";"62.7";"14.8";"77.4";"84.8";"12.0";"72.8";"18.4";"29.40"
"Ibrahim Sissoko";"Paris FC v AS Saint-Étienne";"CF";"95.10";"9971.0";"1389.3";"758.0";"182.6";"940.7";"60.6";"7.6";"68.1";"81.4";"12.3";"70.0";"18.0";"27.80"
"Ibrahim Sissoko";"AS Saint-Étienne v AJ Auxerre";"CF";"101.13";"9527.7";"1293.1";"715.5";"282.1";"997.6";"59.6";"16.9";"76.5";"92.6";"8.9";"72.1";"24.0";"30.70"
"Ibrahim Sissoko";"SC Bastia v AS Saint-Étienne";"CF";"95.93";"9432.5";"1193.4";"627.6";"325.5";"953.2";"58.2";"18.8";"76.9";"76.9";"16.9";"68.5";"15.0";"28.40"
"Ibrahim Sissoko";"Valenciennes FC v AS Saint-Étienne";"CF";"95.13";"9683.1";"1226.1";"619.7";"129.6";"749.3";"57.7";"12.3";"70.0";"94.6";"11.4";"80.4";"23.7";"28.60"
"Ibrahim Sissoko";"AS Saint-Étienne v US Concarneau";"CF";"95.54";"9185.6";"1200.1";"521.9";"114.0";"635.9";"46.2";"12.2";"58.4";"78.2";"4.7";"63.1";"21.7";"27.60"
