"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Igor Thiago Nascimento Rodrigues";"KV Kortrijk v Club Brugge KV";"CF";"97.35";"10124.2";"1373.8";"555.6";"295.8";"851.5";"44.4";"19.4";"63.8";"106.3";"7.4";"81.4";"13.9";"29.50"
"Igor Thiago Nascimento Rodrigues";"Club Brugge KV v KRC Genk";"CF";"102.25";"9911.0";"1453.2";"661.0";"286.1";"947.1";"52.8";"17.6";"70.4";"101.2";"11.4";"62.5";"24.6";"29.60"
"Igor Thiago Nascimento Rodrigues";"RSC Anderlecht v Club Brugge KV";"CF";"100.75";"10376.6";"1383.7";"699.5";"308.2";"1007.6";"64.3";"17.9";"82.2";"103.6";"7.1";"80.4";"29.5";"31.40"
"Igor Thiago Nascimento Rodrigues";"Club Brugge KV v Sporting Charleroi";"CF";"95.28";"10346.0";"1558.6";"729.2";"289.0";"1018.3";"57.6";"21.7";"79.3";"90.7";"7.6";"75.6";"20.8";"28.50"
"Igor Thiago Nascimento Rodrigues";"FK Bodo/Glimt v Club Brugge KV";"CF";"61.37";"11198.3";"1786.2";"825.6";"497.1";"1322.8";"80.7";"20.5";"101.2";"120.3";"17.6";"107.1";"27.9";"31.50"
"Igor Thiago Nascimento Rodrigues";"Club Brugge KV v Beşiktaş Jimnastik Kulübü";"CF";"98.25";"10519.7";"1697.4";"714.5";"199.7";"914.2";"63.2";"14.7";"77.9";"93.4";"12.8";"80.6";"28.4";"28.60"
"Igor Thiago Nascimento Rodrigues";"KAA Gent v Club Brugge KV";"CF";"71.80";"10034.1";"1340.0";"734.5";"215.6";"950.1";"56.4";"13.8";"70.2";"82.7";"7.5";"77.7";"12.5";"29.30"
"Igor Thiago Nascimento Rodrigues";"Club Brugge KV v CA Osasuna";"CF";"107.52";"9885.6";"1387.8";"610.2";"411.8";"1022.0";"51.1";"20.1";"71.1";"82.0";"5.9";"66.1";"20.9";"31.60"
"Igor Thiago Nascimento Rodrigues";"CA Osasuna v Club Brugge KV";"CF";"78.43";"10013.3";"1386.2";"491.1";"226.1";"717.2";"45.9";"11.5";"57.4";"84.9";"5.7";"75.7";"12.6";"30.30"
"Igor Thiago Nascimento Rodrigues";"Club Brugge KV v Racing White Daring Molenbeek";"CF";"74.63";"10819.8";"1476.1";"724.8";"285.8";"1010.6";"60.3";"19.3";"79.6";"90.4";"15.7";"72.4";"25.3";"29.60"
"Igor Thiago Nascimento Rodrigues";"KAS Eupen v Club Brugge KV";"CF";"66.42";"10097.6";"1462.1";"913.3";"349.6";"1262.9";"85.4";"27.1";"112.5";"120.6";"19.0";"89.4";"29.8";"30.00"
"Igor Thiago Nascimento Rodrigues";"KVC Westerlo v Club Brugge KV";"CF";"72.55";"11205.7";"1765.3";"815.0";"318.8";"1133.8";"68.2";"22.3";"90.6";"81.9";"13.6";"94.3";"28.5";"30.10"
"Igor Thiago Nascimento Rodrigues";"Club Brugge KV v KV Mechelen";"CF";"84.01";"10078.8";"1406.6";"790.6";"305.3";"1095.9";"66.4";"17.1";"83.6";"92.1";"13.9";"71.8";"21.4";"30.60"
"Igor Thiago Nascimento Rodrigues";"Club Brugge KV v AGF";"CF";"96.39";"11267.0";"1655.5";"662.0";"226.9";"888.9";"58.8";"18.7";"77.5";"91.5";"12.1";"95.2";"21.5";"28.40"
"Igor Thiago Nascimento Rodrigues";"Club Brugge KV v Lugano";"CF";"78.70";"9949.2";"1593.0";"734.2";"301.9";"1036.1";"64.0";"20.6";"84.6";"96.1";"19.4";"76.6";"32.0";"29.40"
"Igor Thiago Nascimento Rodrigues";"Oud-Heverlee Leuven v Club Brugge KV";"CF";"98.55";"10613.7";"1559.8";"752.5";"326.0";"1078.5";"67.6";"19.2";"86.8";"123.3";"8.2";"69.4";"34.7";"30.10"
