"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Jelle Bataille";"KV Mechelen v Royal Antwerp FC";"RB";"96.05";"11315.4";"1622.0";"758.0";"418.8";"1176.9";"56.2";"19.7";"75.9";"100.3";"4.7";"75.0";"20.6";"30.90"
"Jelle Bataille";"Royal Antwerp FC v KAA Gent";"RB";"97.79";"11020.1";"1599.6";"700.4";"284.4";"984.8";"60.7";"19.3";"80.1";"92.0";"1.8";"79.1";"23.0";"29.60"
"Jelle Bataille";"Royal Antwerp FC v Racing White Daring Molenbeek";"LB";"98.86";"10970.1";"1701.5";"771.1";"257.6";"1028.7";"60.1";"13.7";"73.7";"98.3";"6.4";"99.2";"13.7";"30.60"
"Jelle Bataille";"Sporting Charleroi v Royal Antwerp FC";"RB";"100.72";"10021.3";"1511.0";"550.4";"269.9";"820.3";"53.6";"11.6";"65.2";"95.6";"3.6";"75.1";"19.7";"29.90"
"Jelle Bataille";"Royal Antwerp FC v KAS Eupen";"RB";"98.22";"10134.4";"1569.6";"692.7";"318.0";"1010.7";"64.1";"14.7";"78.8";"105.4";"10.1";"84.3";"24.7";"29.40"
"Jelle Bataille";"KVC Westerlo v Royal Antwerp FC";"RB";"96.37";"10511.1";"1468.1";"752.7";"345.5";"1098.3";"57.9";"14.0";"71.9";"86.9";"6.5";"73.8";"16.8";"31.60"
"Jelle Bataille";"Club Brugge KV v Royal Antwerp FC";"LB";"64.20";"10706.1";"1665.4";"557.9";"43.5";"601.4";"47.7";"4.2";"51.9";"102.3";"7.0";"85.5";"11.2";"25.80"
"Jelle Bataille";"Royale Union Saint-Gilloise v Royal Antwerp FC";"RB";"101.12";"9491.3";"1352.8";"582.1";"253.7";"835.7";"50.7";"12.5";"63.2";"87.2";"5.3";"70.3";"18.7";"29.50"
"Jelle Bataille";"Oud-Heverlee Leuven v Royal Antwerp FC";"RB";"100.68";"9679.4";"1422.2";"547.1";"234.2";"781.3";"48.3";"15.2";"63.5";"84.9";"3.6";"65.3";"18.8";"30.10"
"Jelle Bataille";"Royal Antwerp FC v KV Kortrijk";"RB";"95.32";"10232.2";"1303.0";"691.1";"289.9";"981.0";"56.7";"14.2";"70.8";"102.0";"5.7";"79.3";"23.6";"30.00"
"Jelle Bataille";"RSC Anderlecht v Royal Antwerp FC";"LB";"103.34";"10243.7";"1396.1";"627.9";"183.8";"811.7";"56.6";"11.3";"67.9";"82.7";"8.7";"85.3";"21.8";"28.20"
"Jelle Bataille";"Royal Antwerp FC v KSV Cercle Brugge";"LB";"97.67";"10099.3";"1467.9";"496.7";"250.6";"747.3";"35.0";"10.1";"45.2";"93.1";"3.7";"66.3";"15.7";"30.90"
"Jelle Bataille";"Royal Antwerp FC v KRC Genk";"RB";"106.83";"9237.6";"1303.3";"552.7";"264.5";"817.2";"49.7";"11.0";"60.7";"98.6";"3.4";"70.8";"16.0";"30.40"
"Jelle Bataille";"Royal Antwerp FC v Standard de Liège";"LB";"97.24";"10349.4";"1637.3";"706.2";"341.5";"1047.7";"61.1";"18.5";"79.6";"105.5";"7.4";"88.9";"19.4";"30.10"
"Jelle Bataille";"Sint-Truidense VV v Royal Antwerp FC";"LB";"101.95";"11417.1";"2067.5";"925.2";"334.6";"1259.7";"66.2";"18.5";"84.7";"105.9";"7.1";"80.3";"20.3";"28.60"
"Jelle Bataille";"Royal Antwerp FC v RSC Anderlecht";"LB";"60.03";"10260.9";"1461.8";"620.7";"239.9";"860.6";"49.5";"19.5";"69.0";"99.0";"4.5";"79.5";"13.5";"28.20"
"Jelle Bataille";"Standard de Liège v Royal Antwerp FC";"RB";"97.75";"10399.5";"1399.5";"602.1";"300.2";"902.3";"58.0";"14.7";"72.7";"106.8";"4.6";"94.8";"18.4";"29.60"
"Jelle Bataille";"Racing White Daring Molenbeek v Royal Antwerp FC";"RB";"72.02";"9624.8";"1327.1";"656.1";"254.9";"911.0";"48.7";"11.2";"60.0";"103.7";"6.2";"82.5";"30.0";"31.20"
"Jelle Bataille";"Royal Antwerp FC v KV Mechelen";"RB";"103.01";"10628.6";"1640.8";"730.4";"348.6";"1079.0";"51.5";"19.2";"70.8";"117.9";"2.6";"76.9";"22.7";"30.50"
"Jelle Bataille";"KAA Gent v Royal Antwerp FC";"RB";"99.82";"10833.0";"1874.5";"837.6";"417.5";"1255.1";"70.3";"18.0";"88.4";"114.5";"9.0";"90.2";"23.4";"29.00"
"Jelle Bataille";"Royal Antwerp FC v Sint-Truidense VV";"RB";"97.52";"11085.7";"1580.0";"830.6";"432.8";"1263.4";"66.4";"21.2";"87.7";"95.1";"7.4";"99.7";"24.9";"29.70"
"Jelle Bataille";"KV Kortrijk v Royal Antwerp FC";"RB";"96.28";"10368.5";"1587.2";"644.1";"298.2";"942.3";"56.1";"17.8";"73.8";"112.2";"4.7";"84.1";"22.4";"29.60"
"Jelle Bataille";"Royal Antwerp FC v Royale Union Saint-Gilloise";"RB";"101.10";"10501.8";"1472.4";"576.9";"529.7";"1106.5";"49.9";"15.1";"65.0";"98.8";"3.6";"90.8";"16.0";"31.10"
"Jelle Bataille";"RSC Anderlecht v Royal Antwerp FC";"RB";"100.47";"9915.5";"1444.0";"598.4";"205.1";"803.5";"49.3";"12.5";"61.8";"102.1";"4.5";"84.2";"20.6";"28.60"
