"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Jesper Daland";"KSV Cercle Brugge v KAA Gent";"LCB";"100.62";"9161.9";"1153.8";"475.0";"187.8";"662.8";"40.3";"8.1";"48.3";"78.7";"6.3";"53.7";"10.7";"30.40"
"Jesper Daland";"KV Kortrijk v KSV Cercle Brugge";"LCB";"83.83";"9725.8";"1283.0";"453.1";"128.8";"581.9";"40.8";"7.5";"48.3";"103.1";"3.2";"77.3";"12.9";"28.90"
"Jesper Daland";"KSV Cercle Brugge v Royale Union Saint-Gilloise";"LCB";"80.43";"9732.9";"1345.0";"496.8";"202.5";"699.4";"29.1";"9.0";"38.0";"80.6";"5.6";"62.7";"12.3";"30.70"
"Jesper Daland";"Racing White Daring Molenbeek v KSV Cercle Brugge";"LCB";"90.81";"9215.1";"1122.9";"339.9";"66.4";"406.3";"31.7";"4.0";"35.7";"79.3";"5.0";"68.4";"8.9";"27.90"
"Jesper Daland";"KV Mechelen v KSV Cercle Brugge";"LCB";"100.31";"9002.7";"1156.5";"356.2";"79.9";"436.0";"34.1";"5.4";"39.5";"81.6";"3.6";"59.2";"11.7";"30.20"
"Jesper Daland";"KSV Cercle Brugge v KVC Westerlo";"LCB";"68.12";"9758.4";"1467.9";"661.9";"142.7";"804.6";"48.9";"9.2";"58.1";"71.3";"0.0";"54.2";"15.9";"27.10"
"Jesper Daland";"Sint-Truidense VV v KSV Cercle Brugge";"LCB";"95.56";"10468.3";"1704.7";"666.8";"268.4";"935.2";"47.1";"14.1";"61.2";"97.0";"7.5";"71.6";"15.1";"28.90"
"Jesper Daland";"Standard de Liège v KSV Cercle Brugge";"LCB";"103.35";"8892.9";"1158.2";"382.3";"114.1";"496.4";"32.2";"5.2";"37.4";"83.6";"2.6";"61.0";"10.4";"28.70"
"Jesper Daland";"KSV Cercle Brugge v KRC Genk";"LCB";"101.85";"9797.9";"1478.4";"560.2";"161.7";"721.9";"38.0";"11.5";"49.5";"65.4";"6.2";"60.1";"14.1";"28.40"
"Jesper Daland";"KSV Cercle Brugge v Sporting Charleroi";"LCB";"101.30";"10139.0";"1610.8";"560.6";"259.4";"820.0";"41.8";"15.1";"56.9";"65.7";"4.4";"56.0";"13.3";"30.60"
"Jesper Daland";"Royal Antwerp FC v KSV Cercle Brugge";"LCB";"97.67";"9776.8";"1354.6";"555.6";"275.5";"831.2";"44.2";"15.7";"59.9";"82.9";"3.7";"59.9";"14.7";"29.40"
"Jesper Daland";"KSV Cercle Brugge v RSC Anderlecht";"LCB";"100.18";"9309.9";"1342.2";"479.7";"83.5";"563.3";"36.8";"7.2";"44.0";"82.7";"5.4";"58.4";"10.8";"27.00"
"Jesper Daland";"Club Brugge KV v KSV Cercle Brugge";"LCB";"96.22";"10127.1";"1513.4";"540.6";"268.4";"809.1";"44.9";"12.2";"57.1";"84.2";"4.7";"62.7";"14.0";"30.70"
