"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Julien De Sart";"KSV Cercle Brugge v KAA Gent";"LM";"63.22";"10941.8";"1627.2";"512.5";"72.6";"585.1";"42.7";"5.7";"48.4";"84.0";"5.7";"79.7";"18.5";"25.80"
"Julien De Sart";"KAA Gent v Maccabi Tel Aviv FC";"DM";"99.08";"11000.2";"1689.5";"579.5";"187.1";"766.7";"50.9";"9.1";"60.0";"99.0";"2.7";"90.8";"9.1";"28.60"
"Julien De Sart";"Royal Antwerp FC v KAA Gent";"LM";"97.79";"11590.8";"1523.2";"340.5";"56.1";"396.7";"34.1";"5.5";"39.6";"74.5";"3.7";"77.3";"12.9";"26.00"
"Julien De Sart";"KAA Gent v KAS Eupen";"RM";"103.24";"11475.8";"1635.4";"503.9";"170.0";"673.9";"33.1";"7.8";"41.0";"76.7";"3.5";"91.5";"12.2";"28.10"
"Julien De Sart";"Racing White Daring Molenbeek v KAA Gent";"LM";"96.68";"10619.8";"1208.3";"310.9";"31.7";"342.6";"27.9";"1.9";"29.8";"74.5";"4.7";"92.2";"6.5";"24.80"
"Julien De Sart";"Oud-Heverlee Leuven v KAA Gent";"RM";"85.91";"9806.7";"1158.7";"428.5";"99.5";"528.0";"37.7";"6.3";"44.0";"82.8";"4.2";"81.7";"11.5";"28.10"
"Julien De Sart";"FC Zorya Lugansk v KAA Gent";"RM";"61.22";"11227.2";"1367.2";"516.0";"117.6";"633.6";"32.3";"5.9";"38.2";"94.1";"2.9";"91.1";"10.3";"27.10"
"Julien De Sart";"KAA Gent v Club Brugge KV";"RM";"102.70";"10275.9";"1397.8";"479.4";"74.5";"553.8";"42.1";"4.4";"46.4";"80.6";"3.5";"63.1";"14.0";"26.70"
"Julien De Sart";"Apoel Nicosia FC v KAA Gent";"RM";"101.22";"10032.3";"1458.2";"360.1";"40.9";"401.0";"33.8";"1.8";"35.6";"66.7";"2.7";"76.5";"15.1";"24.90"
"Julien De Sart";"KAA Gent v Apoel Nicosia FC";"LM";"96.43";"11148.5";"1568.9";"512.4";"100.8";"613.2";"39.2";"3.7";"42.9";"83.1";"4.7";"84.9";"13.1";"28.20"
"Julien De Sart";"KAA Gent v Sint-Truidense VV";"DM";"82.47";"11840.7";"1620.6";"633.0";"261.9";"894.9";"51.3";"14.2";"65.5";"88.4";"2.2";"93.9";"22.9";"28.00"
"Julien De Sart";"KAA Gent v Standard de Liège";"LM";"101.23";"10926.6";"1509.6";"688.1";"191.1";"879.3";"54.2";"8.9";"63.1";"81.8";"3.6";"65.8";"8.9";"28.20"
"Julien De Sart";"KVC Westerlo v KAA Gent";"RM";"102.55";"10192.7";"1427.9";"430.0";"94.8";"524.8";"33.3";"6.1";"39.5";"56.2";"4.4";"58.8";"10.5";"28.50"
"Julien De Sart";"KAA Gent v Pogoń Szczecin";"LM";"95.57";"11284.6";"1594.3";"503.8";"84.8";"588.6";"45.2";"6.6";"51.8";"72.5";"2.8";"78.2";"16.0";"26.60"
"Julien De Sart";"KV Mechelen v KAA Gent";"RM";"95.66";"11910.9";"1749.9";"646.4";"174.1";"820.4";"46.1";"10.3";"56.4";"93.1";"0.9";"81.9";"10.3";"27.40"
"Julien De Sart";"MSK Zilina v KAA Gent";"DM";"76.85";"11650.2";"2197.0";"701.5";"180.4";"881.8";"52.7";"9.4";"62.1";"83.1";"2.3";"84.3";"15.2";"26.80"
"Julien De Sart";"KAA Gent v KV Kortrijk";"DM";"99.27";"11799.6";"1689.9";"493.2";"172.3";"665.5";"38.1";"10.0";"48.1";"91.6";"3.6";"86.1";"18.1";"28.70"
"Julien De Sart";"KAA Gent v MSK Zilina";"DM";"93.60";"11704.8";"1482.7";"470.2";"131.7";"601.9";"34.6";"9.6";"44.2";"72.1";"3.8";"75.0";"11.5";"28.00"
"Julien De Sart";"Sporting Charleroi v KAA Gent";"LM";"98.35";"10813.7";"1564.8";"557.3";"98.8";"656.1";"44.8";"3.7";"48.5";"78.7";"3.7";"85.1";"16.5";"28.20"
"Julien De Sart";"KAA Gent v RSC Anderlecht";"LM";"100.55";"10326.5";"1444.7";"419.8";"130.7";"550.5";"36.7";"5.4";"42.1";"96.7";"3.6";"66.2";"11.6";"28.20"
"Julien De Sart";"KAA Gent v Royale Union Saint-Gilloise";"LM";"99.85";"11298.4";"1895.5";"615.6";"230.7";"846.4";"52.3";"9.9";"62.2";"78.4";"3.6";"78.4";"10.8";"28.00"
"Julien De Sart";"KAA Gent v KRC Genk";"RM";"103.98";"10568.4";"1694.7";"522.8";"186.1";"708.9";"44.1";"7.8";"51.9";"84.8";"0.9";"75.3";"19.0";"28.60"
