"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Jurgen Ekkelenkamp";"KV Mechelen v Royal Antwerp FC";"AM";"82.75";"11820.2";"1950.1";"825.5";"175.1";"1000.6";"59.8";"10.9";"70.7";"101.1";"3.3";"82.7";"18.5";"27.30"
"Jurgen Ekkelenkamp";"Royal Antwerp FC v Racing White Daring Molenbeek";"AM";"64.86";"11519.9";"1712.3";"692.4";"242.8";"935.2";"61.1";"9.7";"70.8";"99.9";"11.1";"79.1";"16.7";"29.80"
"Jurgen Ekkelenkamp";"KVC Westerlo v Royal Antwerp FC";"AM";"66.05";"10782.3";"1471.6";"412.9";"144.4";"557.3";"43.6";"4.1";"47.7";"72.2";"2.7";"84.5";"13.6";"30.00"
"Jurgen Ekkelenkamp";"Club Brugge KV v Royal Antwerp FC";"AM";"97.63";"11306.5";"1898.1";"613.0";"183.4";"796.5";"56.2";"10.1";"66.4";"83.0";"1.8";"84.8";"11.1";"27.90"
"Jurgen Ekkelenkamp";"Royale Union Saint-Gilloise v Royal Antwerp FC";"AM";"72.58";"10156.9";"1453.3";"453.8";"188.5";"642.3";"34.7";"7.4";"42.2";"69.4";"6.2";"60.8";"8.7";"28.80"
"Jurgen Ekkelenkamp";"Royal Antwerp FC v KRC Genk";"AM";"80.18";"10834.1";"1926.2";"684.7";"254.8";"939.5";"61.7";"11.2";"73.0";"96.5";"4.5";"84.2";"13.5";"28.60"
"Jurgen Ekkelenkamp";"Royal Antwerp FC v Standard de Liège";"AM";"73.59";"11518.1";"1833.3";"901.3";"188.3";"1089.7";"59.9";"15.9";"75.8";"89.3";"2.4";"81.9";"14.7";"28.20"
"Jurgen Ekkelenkamp";"Sint-Truidense VV v Royal Antwerp FC";"AM";"84.91";"12667.4";"2513.1";"713.3";"160.1";"873.4";"64.7";"8.5";"73.1";"108.1";"4.2";"83.7";"17.0";"26.80"
"Jurgen Ekkelenkamp";"Royal Antwerp FC v Oud-Heverlee Leuven";"AM";"98.19";"11059.6";"1705.8";"713.1";"287.8";"1000.9";"55.9";"15.6";"71.5";"97.2";"1.8";"83.4";"14.7";"29.30"
"Jurgen Ekkelenkamp";"KSV Cercle Brugge v Royal Antwerp FC";"AM";"80.35";"10993.8";"1842.6";"803.1";"292.3";"1095.5";"61.6";"17.9";"79.5";"94.1";"5.6";"91.8";"13.4";"28.60"
"Jurgen Ekkelenkamp";"Royal Antwerp FC v RSC Anderlecht";"AM";"89.98";"11397.5";"1678.4";"593.1";"244.1";"837.2";"49.0";"7.0";"56.0";"85.0";"3.0";"82.0";"17.0";"29.20"
"Jurgen Ekkelenkamp";"Royal Antwerp FC v KVC Westerlo";"AM";"65.07";"12236.5";"2120.3";"809.1";"154.9";"964.0";"67.8";"8.3";"76.1";"96.8";"6.9";"107.9";"16.6";"28.70"
"Jurgen Ekkelenkamp";"KRC Genk v Royal Antwerp FC";"AM";"67.90";"11751.7";"2171.1";"628.3";"111.3";"739.6";"51.7";"8.0";"59.6";"84.8";"4.0";"92.8";"19.9";"26.40"
"Jurgen Ekkelenkamp";"Royal Antwerp FC v Sporting Charleroi";"AM";"79.95";"12748.6";"2321.2";"846.5";"194.7";"1041.3";"69.8";"9.0";"78.8";"114.8";"6.8";"99.1";"16.9";"27.10"
"Jurgen Ekkelenkamp";"KAS Eupen v Royal Antwerp FC";"AM";"82.18";"11126.8";"1774.2";"659.3";"142.4";"801.7";"53.7";"6.6";"60.2";"111.7";"0.0";"85.4";"13.1";"27.10"
"Jurgen Ekkelenkamp";"KAA Gent v Royal Antwerp FC";"AM";"61.88";"12441.2";"2631.1";"744.7";"82.9";"827.6";"71.3";"5.8";"77.1";"117.8";"7.3";"85.8";"23.3";"25.80"
