"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Jusef Erabi";"AIK v Hammarby IF";"CF";"74.14";"10457.9";"1630.3";"650.7";"202.7";"853.4";"59.5";"14.6";"74.0";"108.0";"8.5";"75.3";"32.8";"28.70"
"Jusef Erabi";"IF Elfsborg v Hammarby IF";"CF";"99.57";"10432.7";"1865.6";"753.8";"282.9";"1036.8";"66.0";"15.4";"81.3";"85.0";"9.0";"69.6";"26.2";"29.30"
"Jusef Erabi";"IK Sirius v Hammarby IF";"CF";"110.40";"9229.1";"1293.8";"484.2";"192.4";"676.6";"46.5";"11.4";"57.9";"93.8";"9.0";"73.4";"16.3";"29.30"
"Jusef Erabi";"Hammarby IF v Kalmar FF";"CF";"102.77";"10421.3";"1416.1";"641.0";"276.7";"917.8";"53.4";"11.4";"64.8";"92.0";"10.5";"75.3";"19.3";"30.90"
"Jusef Erabi";"IF Brommapojkarna v Hammarby IF";"CF";"104.18";"9643.6";"1234.5";"506.2";"204.7";"711.0";"46.7";"8.6";"55.3";"74.3";"5.2";"69.1";"17.3";"30.40"
"Jusef Erabi";"Hammarby IF v IFK Norrköping";"CF";"103.23";"9483.9";"1196.2";"504.8";"350.5";"855.3";"44.5";"15.7";"60.2";"71.5";"9.6";"62.8";"15.7";"30.90"
"Jusef Erabi";"Hammarby IF v IF Elfsborg";"CF";"80.75";"10698.6";"1765.4";"712.2";"283.1";"995.3";"53.5";"12.3";"65.8";"93.6";"4.5";"71.3";"23.4";"31.10"
"Jusef Erabi";"Kalmar FF v Hammarby IF";"CF";"70.97";"10812.2";"1627.0";"593.5";"350.0";"943.5";"54.5";"15.2";"69.7";"121.7";"11.4";"86.2";"22.8";"32.80"
"Jusef Erabi";"Mjällby AIF v Hammarby IF";"CF";"70.28";"10477.8";"1587.9";"718.4";"394.4";"1112.8";"58.9";"24.3";"83.2";"93.5";"15.4";"78.1";"21.8";"29.90"
"Jusef Erabi";"Hammarby IF v AIK";"CF";"85.03";"10547.5";"1394.0";"674.2";"572.6";"1246.9";"50.8";"25.4";"76.2";"80.4";"12.7";"78.3";"27.5";"32.50"
"Jusef Erabi";"Hammarby IF v Malmo FF";"CF";"97.70";"9157.5";"1275.8";"540.7";"271.8";"812.5";"48.8";"15.7";"64.5";"80.1";"12.0";"72.8";"29.5";"30.10"
"Jusef Erabi";"Varbergs BoIS FC v Hammarby IF";"CF";"101.21";"8922.6";"1097.3";"588.7";"192.1";"780.8";"48.9";"10.7";"59.6";"97.8";"11.6";"69.4";"24.0";"28.00"
"Jusef Erabi";"Hammarby IF v IFK Göteborg";"CF";"91.37";"9719.1";"1551.4";"695.4";"391.0";"1086.5";"65.0";"16.7";"81.8";"92.6";"10.8";"84.7";"23.6";"32.40"
"Jusef Erabi";"Hammarby IF v FC Twente";"CF";"98.74";"9619.8";"1237.8";"510.4";"371.0";"881.4";"42.8";"16.4";"59.2";"80.2";"8.2";"68.4";"16.4";"31.00"
"Jusef Erabi";"FC Twente v Hammarby IF";"CF";"98.25";"9706.3";"1240.3";"518.5";"177.7";"696.2";"41.2";"11.9";"53.1";"92.5";"7.3";"66.9";"20.2";"29.60"
"Jusef Erabi";"Malmo FF v Hammarby IF";"RF";"99.08";"10043.7";"1519.7";"664.9";"254.3";"919.3";"58.1";"17.3";"75.4";"86.3";"10.9";"61.8";"24.5";"30.00"
"Jusef Erabi";"Hammarby IF v IF Elfsborg";"CF";"89.05";"10677.7";"1694.9";"767.1";"377.0";"1144.1";"70.7";"20.2";"91.0";"107.1";"11.1";"73.8";"25.3";"32.10"
