"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Joris Kayembe Ditu ";"KRC Genk v KVC Westerlo";"LB";"102.37";"9568.8";"1135.0";"540.7";"193.4";"734.1";"45.7";"12.3";"58.0";"78.2";"7.0";"65.1";"19.3";"29.70"
"Joris Kayembe Ditu ";"Royale Union Saint-Gilloise v KRC Genk";"LB";"102.55";"9058.8";"1251.5";"523.1";"151.8";"674.9";"44.8";"7.9";"52.7";"71.1";"7.0";"64.1";"16.7";"28.40"
"Joris Kayembe Ditu ";"KRC Genk v Sporting Charleroi";"LB";"101.29";"9557.1";"1261.7";"498.5";"254.1";"752.6";"42.6";"9.8";"52.4";"79.1";"5.3";"68.4";"16.9";"31.20"
"Joris Kayembe Ditu ";"KSV Cercle Brugge v KRC Genk";"LB";"101.85";"8982.3";"1048.9";"403.8";"96.3";"500.1";"42.4";"6.2";"48.6";"70.7";"9.7";"60.1";"15.0";"27.60"
"Joris Kayembe Ditu ";"KV Kortrijk v KRC Genk";"LB";"99.72";"9787.9";"1397.1";"623.6";"157.9";"781.6";"48.7";"10.8";"59.6";"91.2";"6.3";"80.3";"19.0";"28.70"
"Joris Kayembe Ditu ";"KRC Genk v Oud-Heverlee Leuven";"LB";"98.90";"9845.4";"1267.6";"615.2";"353.1";"968.3";"56.4";"14.6";"71.0";"91.0";"8.2";"81.9";"19.1";"30.50"
"Joris Kayembe Ditu ";"KRC Genk v KV Kortrijk";"LB";"93.41";"10743.9";"1554.1";"544.4";"197.5";"741.9";"54.0";"11.6";"65.5";"110.8";"6.7";"85.8";"18.3";"28.80"
"Joris Kayembe Ditu ";"RSC Anderlecht v KRC Genk";"LB";"98.19";"8945.9";"1083.4";"519.7";"223.6";"743.4";"44.9";"11.9";"56.8";"81.6";"4.6";"69.7";"20.2";"30.90"
"Joris Kayembe Ditu ";"KRC Genk v Royal Antwerp FC";"LB";"97.90";"9537.8";"1212.6";"466.1";"184.8";"650.9";"35.9";"13.8";"49.6";"90.1";"7.4";"66.2";"18.4";"28.80"
"Joris Kayembe Ditu ";"Sporting Charleroi v KRC Genk";"LB";"85.53";"9027.4";"1073.3";"358.8";"34.7";"393.5";"32.6";"4.2";"36.8";"103.1";"3.2";"70.5";"15.8";"25.50"
"Joris Kayembe Ditu ";"KRC Genk v Club Brugge KV";"LB";"99.00";"9068.2";"1250.0";"500.0";"137.3";"637.3";"47.3";"9.1";"56.4";"96.4";"9.1";"85.5";"11.8";"29.50"
"Joris Kayembe Ditu ";"KRC Genk v Standard de Liège";"LB";"96.05";"9506.0";"1334.3";"401.0";"83.4";"484.4";"38.4";"6.6";"45.0";"94.6";"4.7";"74.0";"16.9";"26.70"
"Joris Kayembe Ditu ";"KVC Westerlo v KRC Genk";"LB";"102.53";"9100.1";"1190.3";"454.7";"148.3";"603.0";"37.7";"7.0";"44.8";"74.6";"6.1";"55.3";"12.3";"28.00"
