"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Joseph Paintsil";"KRC Genk v KVC Westerlo";"LW";"86.54";"9747.7";"1467.4";"592.8";"382.7";"975.5";"51.0";"17.7";"68.6";"86.3";"9.4";"80.1";"23.9";"33.90"
"Joseph Paintsil";"Club Brugge KV v KRC Genk";"RW";"102.25";"9486.7";"1246.4";"595.9";"377.6";"973.5";"51.1";"16.7";"67.8";"88.9";"14.1";"84.5";"22.9";"31.40"
"Joseph Paintsil";"KRC Genk v Sint-Truidense VV";"RW";"101.27";"9437.2";"1167.8";"548.3";"259.5";"807.8";"51.5";"14.2";"65.8";"81.8";"16.9";"75.5";"21.3";"31.40"
"Joseph Paintsil";"KRC Genk v KV Mechelen";"LW";"89.05";"9852.0";"1330.0";"746.9";"393.1";"1140.0";"63.7";"17.2";"80.9";"78.8";"13.1";"88.9";"20.2";"32.60"
"Joseph Paintsil";"Royale Union Saint-Gilloise v KRC Genk";"RW";"61.42";"9370.7";"1052.1";"452.8";"356.1";"808.9";"44.0";"14.7";"58.6";"71.8";"16.1";"76.2";"23.4";"34.60"
"Joseph Paintsil";"KSV Cercle Brugge v KRC Genk";"RW";"93.18";"9068.6";"1002.6";"565.0";"293.6";"858.7";"53.1";"15.5";"68.6";"67.6";"11.6";"69.5";"25.1";"31.60"
"Joseph Paintsil";"Racing White Daring Molenbeek v KRC Genk";"RW";"79.24";"9424.8";"1298.2";"586.1";"256.7";"842.8";"63.6";"13.6";"77.2";"89.7";"18.2";"79.5";"22.7";"30.30"
"Joseph Paintsil";"Royal Antwerp FC v KRC Genk";"RW";"106.83";"8628.5";"1084.2";"574.6";"353.0";"927.5";"52.2";"20.2";"72.5";"85.9";"9.3";"72.5";"16.8";"32.50"
"Joseph Paintsil";"KV Kortrijk v KRC Genk";"RF";"78.27";"9696.8";"1299.3";"602.5";"379.5";"982.0";"55.2";"24.1";"79.3";"93.1";"24.1";"74.7";"29.9";"32.80"
"Joseph Paintsil";"KRC Genk v Oud-Heverlee Leuven";"RW";"98.90";"9286.7";"1284.0";"578.8";"270.3";"849.0";"55.5";"15.5";"71.0";"89.2";"15.5";"81.9";"20.9";"31.70"
"Joseph Paintsil";"Standard de Liège v KRC Genk";"LF";"75.57";"9235.8";"1151.6";"485.9";"273.9";"759.8";"46.4";"11.9";"58.4";"103.6";"7.1";"71.5";"10.7";"32.00"
"Joseph Paintsil";"KRC Genk v KAA Gent";"RW";"92.68";"9651.6";"1144.9";"697.2";"367.1";"1064.3";"56.3";"22.3";"78.7";"103.9";"16.5";"74.8";"28.2";"31.70"
"Joseph Paintsil";"KAA Gent v KRC Genk";"RW";"100.88";"9322.1";"1345.4";"648.6";"204.3";"852.9";"56.2";"11.6";"67.8";"93.7";"9.8";"79.4";"24.1";"28.40"
"Joseph Paintsil";"KAS Eupen v KRC Genk";"RW";"85.51";"9092.6";"1297.7";"633.6";"251.5";"885.2";"55.8";"17.9";"73.7";"129.5";"16.8";"84.2";"34.7";"29.80"
"Joseph Paintsil";"KRC Genk v KV Kortrijk";"RW";"77.48";"9629.6";"1291.7";"660.9";"303.2";"964.1";"52.3";"19.7";"72.0";"101.1";"18.6";"84.8";"23.2";"31.50"
"Joseph Paintsil";"RSC Anderlecht v KRC Genk";"RW";"98.19";"8932.2";"1266.7";"538.0";"236.5";"774.5";"54.1";"16.5";"70.6";"86.2";"18.3";"71.5";"24.7";"31.10"
"Joseph Paintsil";"Sint-Truidense VV v KRC Genk";"RW";"105.45";"9333.7";"1292.2";"507.0";"263.7";"770.7";"52.9";"11.9";"64.9";"105.0";"11.9";"92.2";"17.9";"32.80"
"Joseph Paintsil";"KRC Genk v Royale Union Saint-Gilloise";"RW";"95.74";"9769.0";"1263.4";"546.2";"307.4";"853.6";"47.9";"16.9";"64.9";"75.2";"7.5";"64.9";"25.4";"30.80"
"Joseph Paintsil";"KV Mechelen v KRC Genk";"RW";"100.15";"9366.7";"1183.5";"632.7";"301.0";"933.7";"48.5";"20.7";"69.2";"96.2";"15.3";"78.2";"23.4";"33.10"
