"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Jorne Spileers";"KV Kortrijk v Club Brugge KV";"LCB";"97.35";"9817.3";"1305.4";"485.4";"224.7";"710.0";"32.4";"12.9";"45.3";"92.4";"6.5";"74.9";"11.1";"28.80"
"Jorne Spileers";"Standard de Liège v Club Brugge KV";"LCB";"102.82";"9317.7";"1081.0";"512.1";"124.3";"636.4";"40.3";"7.0";"47.3";"79.7";"6.1";"64.8";"12.3";"29.10"
"Jorne Spileers";"Club Brugge KV v KRC Genk";"LCB";"92.60";"10180.9";"1464.7";"519.0";"300.3";"819.3";"41.8";"9.7";"51.5";"82.6";"6.8";"72.9";"15.6";"28.10"
"Jorne Spileers";"RSC Anderlecht v Club Brugge KV";"LCB";"100.75";"10421.2";"1370.3";"385.9";"184.9";"570.8";"29.5";"8.9";"38.4";"87.5";"8.9";"68.8";"15.2";"30.10"
"Jorne Spileers";"Club Brugge KV v Sporting Charleroi";"LCB";"100.32";"10147.4";"1414.8";"457.5";"122.0";"579.5";"35.9";"6.3";"42.2";"85.2";"8.1";"64.6";"12.6";"29.90"
"Jorne Spileers";"Club Brugge KV v Royal Antwerp FC";"LCB";"97.63";"9978.1";"1280.4";"406.5";"85.7";"492.3";"30.4";"6.5";"36.9";"78.4";"4.6";"59.9";"14.7";"27.70"
"Jorne Spileers";"Club Brugge KV v Racing White Daring Molenbeek";"LCB";"96.75";"10239.1";"1361.9";"417.7";"155.3";"573.0";"35.3";"7.4";"42.8";"73.5";"6.5";"58.6";"8.4";"31.30"
"Jorne Spileers";"KAS Eupen v Club Brugge KV";"LCB";"76.27";"9304.4";"1172.9";"372.9";"93.2";"466.1";"36.6";"4.7";"41.3";"108.6";"7.1";"83.8";"8.3";"26.90"
"Jorne Spileers";"KVC Westerlo v Club Brugge KV";"LCB";"95.65";"10450.0";"1451.9";"472.3";"245.6";"717.9";"41.4";"8.5";"49.9";"69.6";"11.3";"73.4";"10.4";"29.30"
"Jorne Spileers";"Club Brugge KV v KV Mechelen";"LCB";"101.31";"10561.7";"1576.8";"523.2";"278.9";"802.2";"39.1";"14.2";"53.3";"86.2";"7.1";"74.6";"16.0";"31.10"
"Jorne Spileers";"Royale Union Saint-Gilloise v Club Brugge KV";"LCB";"99.22";"9747.4";"1387.8";"471.7";"138.8";"610.5";"33.6";"6.3";"39.9";"92.5";"5.4";"73.5";"12.7";"28.10"
"Jorne Spileers";"Oud-Heverlee Leuven v Club Brugge KV";"RCB";"98.55";"10269.4";"1523.3";"463.9";"49.3";"513.2";"45.7";"7.3";"53.0";"105.0";"5.5";"74.9";"16.4";"26.90"
"Jorne Spileers";"Club Brugge KV v Standard de Liège";"RCB";"99.98";"9397.9";"1127.0";"266.5";"25.2";"291.7";"25.2";"1.8";"27.0";"72.0";"4.5";"63.0";"10.8";"25.40"
"Jorne Spileers";"KV Mechelen v Club Brugge KV";"RCB";"100.19";"9336.0";"1313.3";"373.7";"126.7";"500.3";"35.0";"8.1";"43.1";"94.3";"1.8";"71.0";"8.1";"30.10"
"Jorne Spileers";"Racing White Daring Molenbeek v Club Brugge KV";"RCB";"100.78";"8884.8";"962.7";"306.3";"195.6";"501.9";"27.7";"7.1";"34.8";"76.8";"5.4";"63.4";"11.6";"31.20"
"Jorne Spileers";"Club Brugge KV v Royale Union Saint-Gilloise";"RCB";"78.48";"9617.0";"1345.2";"348.6";"133.0";"481.7";"34.4";"5.7";"40.1";"94.0";"6.9";"70.0";"11.5";"29.50"
"Jorne Spileers";"Club Brugge KV v KVC Westerlo";"RCB";"96.33";"10091.2";"1308.9";"409.2";"82.2";"491.4";"32.7";"7.5";"40.2";"86.9";"4.7";"72.9";"12.1";"26.30"
"Jorne Spileers";"Sporting Charleroi v Club Brugge KV";"RCB";"101.10";"9938.3";"1361.1";"436.2";"98.8";"535.0";"38.3";"6.2";"44.5";"84.6";"4.5";"68.5";"11.6";"27.20"
"Jorne Spileers";"Club Brugge KV v KV Kortrijk";"RCB";"100.81";"9568.7";"1212.4";"386.6";"92.0";"478.5";"30.4";"6.2";"36.6";"86.6";"3.6";"74.1";"8.9";"27.90"
"Jorne Spileers";"Royal Antwerp FC v Club Brugge KV";"RCB";"105.02";"9088.3";"1342.9";"251.1";"106.3";"357.4";"25.7";"6.9";"32.6";"98.6";"4.3";"75.4";"12.0";"29.40"
"Jorne Spileers";"Club Brugge KV v KAS Eupen";"RCB";"89.50";"9399.2";"1275.1";"413.3";"161.9";"575.2";"32.2";"11.1";"43.2";"71.4";"7.0";"62.3";"16.1";"29.80"
"Jorne Spileers";"Club Brugge KV v RSC Anderlecht";"RCB";"99.33";"9609.8";"1404.4";"386.9";"90.6";"477.5";"31.7";"8.2";"39.9";"73.4";"4.5";"62.5";"11.8";"26.80"
