"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Jarne Steuckers";"Oud-Heverlee Leuven v Sint-Truidense VV";"RF";"95.80";"10497.5";"1423.3";"725.3";"287.5";"1012.7";"63.9";"16.9";"80.8";"88.3";"9.4";"68.6";"16.9";"28.70"
"Jarne Steuckers";"Club Brugge KV v Sint-Truidense VV";"RM";"70.02";"11723.7";"2046.3";"845.8";"221.1";"1066.8";"72.0";"12.9";"84.8";"93.8";"5.1";"72.0";"12.9";"28.30"
"Jarne Steuckers";"Sint-Truidense VV v KV Mechelen";"RF";"73.05";"11287.9";"2093.2";"777.4";"213.1";"990.6";"75.2";"12.3";"87.5";"113.3";"8.6";"85.0";"17.2";"29.50"
"Jarne Steuckers";"Sint-Truidense VV v Royale Union Saint-Gilloise";"RF";"98.43";"10340.4";"1434.6";"525.8";"125.3";"651.0";"51.2";"7.3";"58.5";"102.4";"4.6";"78.6";"13.7";"28.10"
"Jarne Steuckers";"Sint-Truidense VV v Racing White Daring Molenbeek";"AM";"87.26";"11958.1";"2126.7";"770.5";"205.2";"975.7";"53.6";"11.3";"65.0";"104.2";"8.3";"92.8";"16.5";"28.80"
"Jarne Steuckers";"Sporting Charleroi v Sint-Truidense VV";"RM";"99.63";"10421.9";"1677.5";"630.5";"141.8";"772.4";"48.8";"8.1";"56.9";"89.4";"9.9";"82.2";"16.3";"27.70"
"Jarne Steuckers";"Sint-Truidense VV v KSV Cercle Brugge";"AM";"95.56";"10554.0";"1587.0";"857.1";"361.7";"1218.7";"71.6";"16.0";"87.6";"102.7";"10.4";"72.5";"17.0";"30.40"
"Jarne Steuckers";"KAA Gent v Sint-Truidense VV";"RM";"96.18";"10825.6";"1652.5";"766.4";"146.9";"913.3";"62.7";"8.4";"71.1";"102.0";"5.6";"81.4";"20.6";"27.50"
"Jarne Steuckers";"Sint-Truidense VV v RSC Anderlecht";"AM";"99.51";"10102.5";"1669.6";"560.7";"208.0";"768.8";"46.1";"6.3";"52.5";"95.0";"9.9";"73.3";"7.2";"29.10"
"Jarne Steuckers";"KV Kortrijk v Sint-Truidense VV";"RF";"94.65";"11349.6";"1882.7";"749.3";"250.1";"999.4";"62.8";"9.5";"72.3";"110.3";"5.7";"93.2";"15.2";"28.60"
"Jarne Steuckers";"Sint-Truidense VV v Standard de Liège";"RF";"93.33";"12092.6";"2058.8";"873.7";"253.6";"1127.3";"66.5";"19.3";"85.8";"105.1";"5.8";"67.5";"20.3";"28.40"
