"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Jordan Torunarigha";"KSV Cercle Brugge v KAA Gent";"LCB";"100.62";"8998.2";"1053.7";"339.0";"153.8";"492.8";"32.2";"7.2";"39.4";"70.7";"5.4";"59.9";"12.5";"28.80"
"Jordan Torunarigha";"Royal Antwerp FC v KAA Gent";"LCB";"97.79";"9285.3";"849.5";"206.2";"83.8";"289.9";"23.0";"4.6";"27.6";"75.5";"5.5";"78.2";"11.0";"29.80"
"Jordan Torunarigha";"Racing White Daring Molenbeek v KAA Gent";"LCB";"104.07";"8584.0";"845.8";"270.7";"120.2";"390.9";"18.2";"5.2";"23.3";"79.6";"1.7";"69.2";"7.8";"28.90"
"Jordan Torunarigha";"Oud-Heverlee Leuven v KAA Gent";"LCB";"103.58";"8254.5";"891.5";"403.2";"194.6";"597.8";"32.1";"7.8";"40.0";"80.8";"8.7";"67.8";"9.6";"31.50"
"Jordan Torunarigha";"FC Zorya Lugansk v KAA Gent";"LCB";"94.62";"9123.7";"1135.7";"410.9";"222.6";"633.5";"36.1";"10.5";"46.6";"82.8";"5.7";"68.5";"12.4";"30.00"
"Jordan Torunarigha";"KAA Gent v Club Brugge KV";"CB";"102.70";"8512.8";"989.4";"257.6";"105.2";"362.8";"25.4";"5.3";"30.7";"73.6";"1.8";"59.6";"9.6";"28.20"
"Jordan Torunarigha";"Apoel Nicosia FC v KAA Gent";"LCB";"86.25";"8332.2";"860.9";"323.5";"134.6";"458.1";"26.1";"5.2";"31.3";"66.8";"2.1";"63.7";"9.4";"28.50"
"Jordan Torunarigha";"KAA Gent v Apoel Nicosia FC";"LCB";"80.95";"8723.2";"1114.0";"378.0";"53.4";"431.4";"32.2";"4.4";"36.7";"90.1";"6.7";"71.2";"13.3";"28.10"
"Jordan Torunarigha";"KAA Gent v Standard de Liège";"LCB";"101.23";"8716.4";"989.5";"483.7";"161.8";"645.5";"38.2";"10.7";"48.9";"81.8";"8.0";"63.1";"9.8";"28.80"
"Jordan Torunarigha";"Pogoń Szczecin v KAA Gent";"LCB";"98.02";"8653.8";"1073.4";"429.7";"118.4";"548.2";"37.6";"8.3";"45.9";"76.2";"4.6";"63.4";"14.7";"27.20"
