"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Jan Vertonghen";"Standard de Liège v RSC Anderlecht";"LCB";"103.00";"8525.5";"1027.6";"303.2";"81.3";"384.5";"22.7";"4.4";"27.1";"75.1";"5.2";"61.2";"7.9";"28.60"
"Jan Vertonghen";"RSC Anderlecht v KV Mechelen";"LCB";"99.40";"9271.6";"1187.0";"398.4";"163.9";"562.3";"31.7";"7.2";"38.9";"69.7";"7.2";"69.7";"11.8";"28.60"
"Jan Vertonghen";"KAS Eupen v RSC Anderlecht";"LCB";"99.37";"9429.3";"1220.0";"372.2";"79.7";"451.9";"44.4";"4.5";"48.9";"119.6";"6.3";"87.9";"15.4";"27.70"
"Jan Vertonghen";"RSC Anderlecht v Club Brugge KV";"LCB";"100.75";"9092.0";"1058.6";"322.5";"38.4";"360.9";"28.6";"3.6";"32.2";"84.9";"3.6";"68.8";"10.7";"26.10"
"Jan Vertonghen";"KV Kortrijk v RSC Anderlecht";"LCB";"101.27";"8546.8";"990.0";"294.2";"40.0";"334.2";"27.6";"2.7";"30.2";"88.0";"5.3";"59.5";"11.6";"25.60"
"Jan Vertonghen";"RSC Anderlecht v Oud-Heverlee Leuven";"LCB";"100.40";"8677.3";"1069.4";"390.8";"121.9";"512.7";"29.6";"4.5";"34.1";"86.1";"3.6";"60.1";"11.7";"29.40"
"Jan Vertonghen";"KRC Genk v RSC Anderlecht";"LCB";"101.52";"8354.6";"961.0";"273.9";"56.7";"330.7";"26.6";"2.7";"29.3";"69.1";"3.5";"61.2";"8.0";"27.30"
"Jan Vertonghen";"RSC Anderlecht v Sporting Charleroi";"LCB";"99.38";"9364.1";"1206.3";"326.9";"86.9";"413.9";"35.3";"7.2";"42.6";"88.8";"3.6";"66.1";"8.2";"26.10"
"Jan Vertonghen";"RSC Anderlecht v KVC Westerlo";"LCB";"101.40";"9142.9";"1148.5";"323.1";"60.4";"383.4";"29.3";"4.4";"33.7";"73.7";"1.8";"57.7";"10.7";"26.50"
"Jan Vertonghen";"Sint-Truidense VV v RSC Anderlecht";"LCB";"99.51";"8592.1";"877.3";"215.3";"87.7";"303.0";"25.3";"2.7";"28.0";"78.7";"0.0";"67.8";"7.2";"30.00"
"Jan Vertonghen";"RSC Anderlecht v Royal Antwerp FC";"LCB";"103.34";"9144.6";"1133.9";"349.2";"123.7";"472.9";"34.0";"3.5";"37.4";"81.9";"3.5";"63.6";"12.2";"30.70"
"Jan Vertonghen";"Royale Union Saint-Gilloise v RSC Anderlecht";"LCB";"101.28";"8294.4";"993.5";"331.5";"102.2";"433.6";"30.2";"4.4";"34.7";"74.6";"5.3";"60.4";"7.1";"28.20"
"Jan Vertonghen";"KSV Cercle Brugge v RSC Anderlecht";"LCB";"90.48";"8249.0";"911.1";"266.6";"23.9";"290.5";"22.9";"3.0";"25.9";"79.6";"5.0";"73.6";"9.0";"25.10"
"Jan Vertonghen";"KAA Gent v RSC Anderlecht";"LCB";"100.55";"8426.3";"885.2";"300.7";"26.9";"327.6";"29.5";"2.7";"32.2";"95.8";"1.8";"69.8";"10.7";"25.50"
