"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v KAA Gent";"CF";"100.62";"9254.0";"1179.8";"509.8";"143.1";"653.0";"46.5";"8.9";"55.5";"76.0";"8.1";"68.0";"19.7";"29.00"
"Kévin Ahoueke Denkey";"KV Kortrijk v KSV Cercle Brugge";"CF";"104.28";"8466.6";"1049.5";"403.0";"139.0";"542.0";"42.3";"9.5";"51.8";"101.0";"7.8";"79.4";"18.1";"28.30"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v Royale Union Saint-Gilloise";"CF";"100.15";"8992.8";"1026.3";"405.3";"64.7";"470.0";"40.4";"5.4";"45.8";"73.7";"6.3";"68.3";"18.9";"27.10"
"Kévin Ahoueke Denkey";"Racing White Daring Molenbeek v KSV Cercle Brugge";"CF";"103.21";"8331.2";"830.2";"344.4";"82.8";"427.3";"29.6";"5.2";"34.9";"79.4";"6.1";"74.1";"13.1";"28.00"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v Oud-Heverlee Leuven";"CF";"107.74";"8538.1";"989.0";"416.0";"172.9";"588.9";"36.8";"8.4";"45.1";"72.7";"8.4";"68.5";"11.7";"29.10"
"Kévin Ahoueke Denkey";"KV Mechelen v KSV Cercle Brugge";"CF";"100.31";"8891.4";"1060.5";"528.5";"130.1";"658.6";"45.8";"9.0";"54.7";"90.6";"9.9";"76.3";"15.3";"28.60"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v KVC Westerlo";"CF";"89.14";"9050.5";"1213.6";"676.5";"182.7";"859.2";"53.5";"10.1";"63.6";"72.7";"9.1";"66.6";"14.1";"29.40"
"Kévin Ahoueke Denkey";"Sint-Truidense VV v KSV Cercle Brugge";"CF";"95.56";"10136.8";"1611.4";"605.6";"29.2";"634.8";"62.2";"6.6";"68.8";"114.0";"10.4";"83.8";"13.2";"25.60"
"Kévin Ahoueke Denkey";"Standard de Liège v KSV Cercle Brugge";"CF";"102.15";"8947.1";"1041.4";"412.3";"82.8";"495.2";"40.5";"5.3";"45.8";"93.4";"15.9";"74.0";"20.3";"28.40"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v KRC Genk";"RF";"101.85";"8911.6";"1041.8";"454.2";"129.9";"584.1";"45.1";"8.8";"53.9";"63.6";"13.3";"60.1";"15.0";"28.40"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v Sporting Charleroi";"CF";"101.30";"9567.7";"1330.9";"544.6";"222.1";"766.7";"48.0";"8.9";"56.9";"74.6";"4.4";"59.5";"14.2";"29.60"
"Kévin Ahoueke Denkey";"Royal Antwerp FC v KSV Cercle Brugge";"RF";"97.67";"9024.0";"1070.7";"355.7";"136.4";"492.1";"36.9";"5.5";"42.4";"79.2";"9.2";"66.3";"12.9";"29.50"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v RSC Anderlecht";"CF";"100.18";"8764.6";"953.2";"407.9";"145.5";"553.4";"42.2";"9.9";"52.1";"84.4";"11.7";"62.9";"12.6";"28.80"
"Kévin Ahoueke Denkey";"Club Brugge KV v KSV Cercle Brugge";"CF";"96.22";"9724.9";"1303.9";"556.5";"246.9";"803.5";"52.4";"11.2";"63.6";"80.4";"12.2";"65.5";"18.7";"33.40"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v KAS Eupen";"CF";"99.37";"9088.8";"1009.0";"441.1";"301.6";"742.7";"42.6";"13.6";"56.2";"66.1";"12.7";"59.8";"21.7";"29.50"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v Royal Antwerp FC";"CF";"103.83";"9331.1";"1335.7";"431.7";"99.7";"531.3";"45.1";"8.7";"53.7";"79.7";"7.8";"67.6";"11.3";"27.40"
"Kévin Ahoueke Denkey";"Oud-Heverlee Leuven v KSV Cercle Brugge";"CF";"104.66";"9165.1";"1174.7";"473.0";"101.5";"574.4";"41.3";"9.5";"50.7";"84.3";"6.0";"75.7";"12.9";"27.30"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v KV Kortrijk";"CF";"98.93";"8798.0";"1021.6";"467.6";"209.2";"676.8";"38.2";"10.9";"49.1";"74.6";"6.4";"70.0";"12.7";"29.00"
"Kévin Ahoueke Denkey";"KRC Genk v KSV Cercle Brugge";"RF";"101.72";"9330.9";"1168.8";"540.6";"299.1";"839.7";"53.1";"15.9";"69.0";"92.9";"13.3";"76.1";"16.8";"30.30"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v Standard de Liège";"CF";"102.86";"8286.9";"818.1";"300.1";"130.4";"430.5";"31.5";"7.9";"39.4";"85.7";"8.7";"67.4";"11.4";"27.60"
"Kévin Ahoueke Denkey";"KVC Westerlo v KSV Cercle Brugge";"CF";"102.37";"8792.5";"1021.6";"559.1";"201.3";"760.5";"48.4";"9.7";"58.0";"65.1";"4.4";"61.5";"15.8";"29.20"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v Sint-Truidense VV";"CF";"101.46";"9190.7";"1064.5";"455.9";"199.6";"655.5";"47.0";"10.6";"57.7";"65.6";"5.3";"69.2";"15.1";"28.40"
"Kévin Ahoueke Denkey";"KAA Gent v KSV Cercle Brugge";"CF";"75.33";"9719.2";"1068.1";"353.6";"114.7";"468.3";"35.8";"6.0";"41.8";"99.2";"8.4";"63.3";"19.1";"30.10"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v Club Brugge KV";"CF";"107.44";"9629.1";"1227.2";"573.8";"229.5";"803.3";"50.3";"13.4";"63.7";"87.1";"8.4";"65.3";"15.1";"29.70"
"Kévin Ahoueke Denkey";"KAS Eupen v KSV Cercle Brugge";"CF";"100.38";"8750.7";"901.1";"359.5";"109.4";"468.9";"33.2";"6.3";"39.5";"121.0";"4.5";"87.9";"19.7";"29.10"
"Kévin Ahoueke Denkey";"Sporting Charleroi v KSV Cercle Brugge";"CF";"103.40";"9174.1";"1048.0";"454.4";"91.4";"545.7";"41.8";"7.0";"48.7";"86.2";"8.7";"68.8";"14.8";"26.60"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v Racing White Daring Molenbeek";"CF";"98.27";"9012.8";"1028.5";"398.4";"89.8";"488.1";"38.5";"6.4";"44.9";"71.4";"11.9";"57.7";"14.7";"28.30"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge v Club Brugge KV";"CF";"104.22";"8839.4";"1179.6";"620.9";"158.9";"779.8";"55.3";"9.5";"64.8";"100.2";"7.8";"73.4";"15.5";"27.60"
