"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Kasper Dolberg";"Standard de Liège v RSC Anderlecht";"CF";"103.00";"9604.7";"1266.1";"425.5";"236.8";"662.3";"42.8";"11.4";"54.2";"76.9";"5.2";"74.3";"15.7";"29.80"
"Kasper Dolberg";"RSC Anderlecht v KV Mechelen";"CF";"83.58";"10510.8";"1384.8";"524.4";"126.0";"650.4";"44.1";"10.8";"54.9";"73.2";"4.3";"84.0";"17.2";"26.50"
"Kasper Dolberg";"KV Kortrijk v RSC Anderlecht";"CF";"101.27";"9739.4";"1164.2";"567.0";"102.2";"669.2";"48.9";"5.3";"54.2";"93.3";"6.2";"67.5";"23.1";"27.50"
"Kasper Dolberg";"RSC Anderlecht v Oud-Heverlee Leuven";"CF";"91.52";"9805.4";"1342.3";"385.5";"185.9";"571.4";"42.3";"11.8";"54.1";"106.2";"5.9";"77.7";"22.6";"29.60"
"Kasper Dolberg";"KRC Genk v RSC Anderlecht";"CF";"71.10";"10287.3";"1607.6";"540.5";"62.0";"602.5";"51.9";"2.5";"54.4";"89.9";"6.3";"70.9";"17.7";"26.00"
"Kasper Dolberg";"RSC Anderlecht v Sporting Charleroi";"CF";"80.38";"10330.2";"1418.6";"649.4";"220.6";"870.0";"54.9";"9.0";"63.8";"101.9";"9.0";"76.1";"29.1";"28.50"
"Kasper Dolberg";"RSC Anderlecht v KVC Westerlo";"CF";"87.65";"10094.6";"1458.1";"712.6";"211.5";"924.1";"62.6";"11.3";"73.9";"80.1";"7.2";"68.8";"21.6";"29.10"
"Kasper Dolberg";"Sint-Truidense VV v RSC Anderlecht";"CF";"90.86";"10644.3";"1561.1";"723.1";"256.5";"979.6";"57.5";"11.9";"69.3";"97.1";"3.0";"83.2";"14.9";"28.70"
"Kasper Dolberg";"RSC Anderlecht v Royal Antwerp FC";"CF";"89.65";"10532.0";"1322.1";"461.8";"131.5";"593.3";"49.2";"7.0";"56.2";"70.3";"4.0";"82.3";"11.0";"28.90"
"Kasper Dolberg";"Royale Union Saint-Gilloise v RSC Anderlecht";"CF";"101.28";"8960.9";"1146.3";"479.9";"179.5";"659.4";"43.5";"11.6";"55.1";"72.0";"6.2";"61.3";"10.7";"29.10"
"Kasper Dolberg";"KSV Cercle Brugge v RSC Anderlecht";"CF";"90.48";"9812.7";"1432.4";"547.1";"101.5";"648.5";"51.7";"8.0";"59.7";"90.5";"9.0";"63.7";"16.9";"27.70"
"Kasper Dolberg";"KAA Gent v RSC Anderlecht";"CF";"89.60";"10597.1";"1578.0";"494.2";"152.7";"646.9";"46.2";"7.0";"53.2";"94.4";"5.0";"79.4";"10.0";"28.70"
"Kasper Dolberg";"KVC Westerlo v RSC Anderlecht";"CF";"86.77";"10565.2";"1341.1";"636.9";"281.1";"917.9";"53.9";"13.5";"67.4";"74.7";"8.3";"58.1";"16.6";"29.40"
"Kasper Dolberg";"RSC Anderlecht v Standard de Liège";"CF";"69.01";"9283.0";"1092.9";"371.7";"44.3";"416.0";"32.6";"2.6";"35.2";"95.2";"2.6";"71.7";"14.3";"27.30"
"Kasper Dolberg";"Royal Antwerp FC v RSC Anderlecht";"CF";"87.28";"10897.3";"1291.0";"475.4";"166.0";"641.4";"47.4";"8.2";"55.7";"87.6";"5.2";"67.0";"13.4";"28.90"
"Kasper Dolberg";"RSC Anderlecht v KRC Genk";"CF";"93.07";"10025.0";"1217.5";"501.9";"160.5";"662.4";"41.6";"10.6";"52.2";"75.4";"8.7";"64.8";"18.4";"27.30"
"Kasper Dolberg";"Oud-Heverlee Leuven v RSC Anderlecht";"CF";"89.74";"9389.1";"1235.6";"517.5";"170.5";"688.0";"44.1";"9.0";"53.2";"82.2";"7.0";"76.2";"17.0";"30.20"
"Kasper Dolberg";"RSC Anderlecht v Royale Union Saint-Gilloise";"CF";"72.79";"10872.0";"1710.0";"708.5";"131.1";"839.5";"64.3";"3.7";"68.0";"87.8";"4.9";"89.0";"18.5";"26.80"
"Kasper Dolberg";"KV Mechelen v RSC Anderlecht";"CF";"74.80";"10396.9";"1514.8";"406.7";"67.4";"474.1";"46.9";"6.0";"52.9";"97.5";"6.0";"85.4";"13.2";"25.60"
"Kasper Dolberg";"Sporting Charleroi v RSC Anderlecht";"CF";"66.35";"10523.3";"1762.0";"553.4";"62.4";"615.8";"58.3";"5.4";"63.8";"86.8";"6.8";"77.3";"13.6";"25.10"
"Kasper Dolberg";"RSC Anderlecht v Sint-Truidense VV";"CF";"72.68";"11605.4";"1918.1";"634.0";"180.8";"814.8";"59.4";"7.4";"66.9";"87.9";"2.5";"80.5";"19.8";"29.50"
"Kasper Dolberg";"Club Brugge KV v RSC Anderlecht";"CF";"94.32";"10274.8";"1636.5";"741.4";"282.4";"1023.9";"67.7";"18.1";"85.9";"77.3";"3.8";"67.7";"15.3";"27.80"
"Kasper Dolberg";"RSC Anderlecht v KAS Eupen";"CF";"80.65";"10610.3";"1506.5";"757.7";"216.5";"974.2";"62.5";"13.4";"75.9";"96.0";"4.5";"74.8";"17.9";"29.30"
"Kasper Dolberg";"Racing White Daring Molenbeek v RSC Anderlecht";"CF";"97.57";"10118.9";"1485.1";"501.8";"175.3";"677.1";"47.0";"6.5";"53.5";"71.9";"8.3";"69.2";"21.2";"28.80"
"Kasper Dolberg";"RSC Anderlecht v KV Kortrijk";"LF";"102.80";"10843.8";"1596.9";"587.5";"111.2";"698.6";"52.5";"9.6";"62.2";"78.8";"0.9";"65.7";"21.0";"26.90"
"Kasper Dolberg";"RSC Anderlecht v Royal Antwerp FC";"CF";"85.85";"9928.8";"1315.7";"386.8";"57.7";"444.5";"39.8";"5.2";"45.1";"88.1";"2.1";"76.5";"18.9";"28.30"
